cultural_score,relational_score,demographic_score,article_name,abstract,jstor_url,year,journal_title,edited_filename
0,1,0,Where Do Interorganizational Networks Come From?,"Organizations enter alliances with each other to access critical
                    re‐sources, but they rely on information from the network of prior
                    alli‐ances to determine with whom to cooperate. These new alliances
                    modify the existing network, prompting an endogenous dynamic be‐tween
                    organizational action and network structure that drives the emergence of
                    interorganizational networks. Testing these ideas on alliances formed in three
                    industries over nine years, this research shows that the probability of a new
                    alliance between specific organi‐zations increases with their
                    interdependence and also with their prior mutual alliances, common third
                    parties, and joint centrality in the alliance network. The differentiation of
                    the emerging network structure, however, mitigates the effect of interdependence
                    and en‐hances the effect of joint centrality on new alliance
                    formation.",https://www.jstor.org/stable/10.1086/210179,1999,American Journal of Sociology,10.1086_210179
1,0.5,1,Civil Rights Law at Work: Sex Discrimination and the Rise of Maternity,"By the time Congress passed the Family and Medical Leave Act of 1993, many employers had created maternity leave programs. Analysts argue that they did so in response to the feminization of the workforce. This study charts the spread of maternity leave policies between 1955 and 1985 in a sample of 279 organizations. Sex discrimination law played a key role in the rise of maternity leave policies. Building on neoinstitutional theory, this article explores how the separation of powers shapes employer response to law. Details of the law are often specified in administrative rulings‐the weakest link in the law because they can be overturned by the courts and by Congress. Yet an administrative ruling requiring employers with disability leave programs to permit maternity leave, which employers successfully fought in the courts, was at least as effective as the identical congressional statute that replaced it. In the American context, the legal vulnerability of administrative rulings can draw attention to them, thus making the weakest link in the law surprisingly powerful.",https://www.jstor.org/stable/10.1086/210317,1999,American Journal of Sociology,10.1086_210317
0,1,0,Between Markets and Politics: Organizational Responses to Reform in China,"In China's economic transition, firms diversify assets through investments in the rapidly expanding service sector in response to organizational uncertainty. Using data from a random sample of firms in Shanghai, the author shows that there are two situations that cause this uncertainty: economic instability, where weak firms struggle to survive in the rapidly changing market system, and administrative instability, where large firms that were the most protected are now being forced to handle the responsibilities that were previously handled by the state. The result is that both types of firm seek stability by spreading out risk through investment in low‐risk, fast‐return markets, revealing much about the economic reforms.",https://www.jstor.org/stable/10.1086/231084,1997,American Journal of Sociology,10.1086_231084
1,0,0,World Society and the Nation‐State,"The authors analyze the nation‐state as a worldwide institution constructed by worldwide cultural and associational processes, developing four main topics: (1) properties of nation‐states that result from their exogenously driven construction, including isomorphism, decoupling, and expansive structuration; (2) processes by which rationalistic world culture affects national states; (3) characteristics of world society that enhance the impact of world culture on national states and societies, including conditions favoring the diffusion of world models, expansion of world‐level associations, and rationalized scientific and professional authority; (4) dynamic features of world culture and society that generate expansion, conflict, and change, especially the statelessness of world society, legitimation of multiple levels of rationalized actors, and internal inconsistencies and contradictions.",https://www.jstor.org/stable/10.1086/231174,1997,American Journal of Sociology,10.1086_231174
1,1,0,Kinship Networks and Entrepreneurs in China’s Transitional Economy,"This research draws insights from two theoretical traditions: one is new institutionalism, which emphasizes the role of institutions, both formal and informal, in economic growth; the other is social network analysis, which highlights the role of interpersonal relations in producing and enforcing informal norms. Integrating these two approaches yields the thesis that social networks affect economic growth via enforcing informal institutions. The article focuses on the economic payoff of kinship networks in the context of China’s rural industrialization to argue that kin solidarity and kin trust played an important role in protecting the property rights of private entrepreneurs and reducing transaction costs during the early stages of market reform, when formal property rights laws were ineffective and market institutions underdeveloped. Data from 366 villages show that the strength of kinship networks has large positive effects on the count and workforce size of private rural enterprises and insignificant effects on collective enterprises.",https://www.jstor.org/stable/10.1086/382347,2004,American Journal of Sociology,10.1086_382347
1,0,0,What Is Organizational Imprinting? Cultural Entrepreneurship in the Founding of the Paris Opera,"Organization theorists have long recognized that organizations take on elements from their environments in the course of being founded. This observation, articulated by Stinchcombe in 1965 and known today as the “organizational imprinting hypothesis,” is frequently cited but remains little understood. Advances in cultural sociology and entrepreneurship studies have provided tools for unpacking this process. The author draws on these tools to underscore the role played by entrepreneurs in selecting and incorporating historically specific elements that may remain for decades or even centuries as fundamental features of the organization in question. The founding of the Paris Opera under Louis XIV serves as the basis for theorizing organizational imprinting at founding as an outcome of cultural entrepreneurship.",https://www.jstor.org/stable/10.1086/517899,2007,American Journal of Sociology,10.1086_517899
1,0,1,"Homeward Bound? Interest, Identity, and Investor Behavior in a Third World Export Platform","Are indigenous investors in Third World export platforms more stable than their allegedly “footloose” foreign rivals? While mainstream economists hold that investor behavior is independent of investor identity and therefore call for the parallel treatment of domestic and foreign firms, their critics hold that indigenous investors are more dedicated than their foreign counterparts and therefore call for industrial policies designed to cultivate and defend native entrepreneurs. Who is correct? The author uses a unique combination of qualitative and quantitative data to document and account for the relative stability and dynamism of indigenous investors in the Dominican Republic’s largest export processing zone and thereby brings economic sociology back from the margins of development theory—and development theory back into the heartland of sociology.",https://www.jstor.org/stable/10.1086/588742,2008,American Journal of Sociology,10.1086_588742
0,1,0,Corporate Unity in American Trade Policy: A Network Analysis of Corporate-Dyad Political Action,"This essay examines factors that produce political unity among large U.S. corporations advocating free trade. Expanding on old debates, these data and analyses validate the importance of organizational and class cohesion approaches to corporate political action. Methodologically, the political unity of pairs (dyads) of firms in trade policy activism is analyzed with quadratic assignment procedure regression. Shared membership in prominent policy networks and board interlocks positively predict corporate political unity across three areas of trade policy influence, from the executive branch to the legislature. Non-network organizational indicators also significantly predicted corporate trade policy activism. The findings support business unity accounts of corporate political action and suggest that higher levels of firm embeddedness within intercorporate networks facilitate collective corporate political action.",https://www.jstor.org/stable/10.1086/657524,2011,American Journal of Sociology,10.1086_657524
1,0,0,The Credit Crisis as a Problem in the Sociology of Knowledge,"This article analyzes the role in the credit crisis of the processes by which market participants produce knowledge about financial instruments. Employing documentary sources and 87 predominantly oral history interviews, the article presents a historical sociology of the clusters of evaluation practices surrounding ABSs (asset-backed securities, most importantly mortgage-backed securities) and CDOs (collateralized debt obligations). Despite the close structural similarity between ABSs and CDOs, these practices came to differ substantially and became the province (e.g., in the rating agencies) of organizationally separate groups. In consequence, when ABS CDOs (CDOs in which the underlying assets are ABSs) emerged, they were evaluated in two separate stages. This created a fatally attractive arbitrage opportunity, large-scale exploitation of which sidelined previously important gatekeepers (risk-sensitive investors in the lower tranches of mortgage-backed securities) and eventually magnified and concentrated the banking system’s calamitous mortgage-related losses.",https://www.jstor.org/stable/10.1086/659639,2011,American Journal of Sociology,10.1086_659639
0,0,0,"Science, Health, and Nationhood",In this article I invoke the productive potential of critical irritation to disrupt and intervene within contemporary discourses regarding educational research. Utilizing George Canguilhem's (1991) theorization of the,https://www.jstor.org/stable/10.1525/irqr.2011.4.3.199,2011,International Review of Qualitative Research,10.1525_irqr.2011.4.3.199
