cultural_score,relational_score,demographic_score,article_name,abstract,jstor_url,year,journal_title,edited_filename,culture_word2vec_cosine,culture_ngram_count.1,cultural_author_count,relational_word2vec_cosine,relational_ngram_count.1,relational_author_count,demographic_word2vec_cosine,demographic_ngram_count.1,demographic_author_count
1,0,0,"Intersecting Three Muddy Roads: Stability, Legitimacy, and Change","Several decades of research by multiple academic disciplines studying institutional theory, organizational legitimacy, and environmental enactment have resulted in a multiplicity of conceptual definitions. While this can be helpful, it may also confuse scholars who are attempting to conduct research in these areas. This narrative reflects on these three interrelated streams of research and provides a useful framework for comparing them. The framework provides a basis for comparing and contrasting these constructs and their attributes. Although this study attempts to provide a theoretical integration, it is also careful to leave theoretical distinctions intact. Brief examples are included to clarify the salient features of each theory while integrating their similarities and attending to their differences.",https://www.jstor.org/stable/25822540,2011,Journal of Managerial Issues,10.2307_25822540,0.75448668,227,7,0.613030136,33,1,0.560982883,119,0
1,0,0,Rational Decision Making as Performative Praxis: Explaining Rationality's Éternel Retour,"Organizational theorists built their knowledge of decision making through a progressive critique of rational choice theory. Their positioning towards rationality, however, is at odds with the observation of rationality persistence in organizational life. This paper addresses this paradox. It proposes a new perspective on rationality that allows the theorizing of the production of rational decisions by organizations. To account for rationality's éternel retour, we approach rational decision making as performative praxis—a set of activities that contributes to turning rational choice theory into social reality. We develop a performative praxis framework that explains how theory, actors, and tools together produce rationality within organizations through three mechanisms: rationality conventionalization, rationality engineering, and rationality commodification. This framework offers new avenues of research on rational decision making and points to the factors that underlie the manufacture of rationality in organizations.",external-fulltext-any,2011,Organization Science,10.2307_20868880,0.721939445,55,6,0.588276327,16,1,0.534615278,2,0
1,1,0,From Fiefs to Clans and Network Capitalism: Explaining China's Emerging Economic Order,"China's rapid economic development is being accomplished through a system of industrial governance and transaction that differs from Western experience. Here, we identify the broad institutional nature of this distinctiveness within a framework of information codification and diffusion. The emergent features of China's economic order are analyzed with reference to the business system developing there, in particular, the nature of market arrangements, the form of capitalism, and the role of government within that system. The limited extent of codification of information in China and its communal property rights and organization of economic transactions suggest that decentralization from the former state-command system is giving rise to a distinctive institutional form--network capitalism.",https://www.jstor.org/stable/2393869,1986,Administrative Science Quarterly,10.2307_2393869,0.71511054,73,0,0.644378424,66,0,0.530408263,17,0
1,1,0,The Collective Strategy Framework: An Application to Competing Predictions of Isomorphism,"This paper investigates empirically the competing predictions of three perspectives on the determinants of organizational isomorphism-population ecology, institutionalization, and strategic choice-through a collective strategy framework, which categorizes organizations in an interorganizational field by their relationships with one another. The methodological approach, based on a network analysis of multiple organizational relations in a population of voluntary social service organizations, operationalizes the collective strategy typology and links homogeneity among organizations to their location in the organizational field. The results of the investigation offer strongest support for a strategic choice perspective and suggest that the environment is not highly deterministic in shaping organizational characteristics.",https://www.jstor.org/stable/2392643,1984,Administrative Science Quarterly,10.2307_2392643,0.702605546,114,9,0.671079099,88,2,0.674600244,124,9
1,0,0,"Political Institutional Change, Obsolescing Legitimacy, and Multinational Corporations: The Case of the Central American Banana Industry","This paper studies the practice of integration of influential host country actors to a multinational corporation as a strategy to decrease problems of legitimacy to the foreign firm before the host country's society. By developing the concept of obsolescing legitimacy, we argue that this strategy provides legitimacy to the foreign firm only in the absence of institutional changes at the macro-political level in the host country. Once these changes take place, an alliance by the multinational to an elite or a political system no longer ruling the host country will become a liability and will generate problems of legitimacy for the multinational. We illustrate our argument with the case of the US multinational United Fruit Company in Central America.",https://www.jstor.org/stable/41682289,2012,MIR: Management International Review,10.2307_41682289,0.688240469,218,1,0.692662239,111,0,0.586081386,98,0
1,0,0,Culture and Meaning: Making Sense of Conflicting Realities in the Workplace,None,https://www.jstor.org/stable/40397128,1989,International Studies of Management & Organization,10.2307_40397128,0.670459926,17,1,0.538936317,16,0,0.492331415,4,0
1,0,0,Linking Organizational Values to Relationships with External Constituents: A Study of Nonprofit Professional Theatres,"This study explores the organizational values that characterize firms in the nonprofit professional theatre industry, and examines the links between firms' organizational values and their relationships with external constituents. Using grounded research methods, we uncover five value dimensions that are relevant to arts organizations: prosocial, artistic, financial, market, and achievement. Using a sample of 97 nonprofit theatres, we extend our qualitative inquiry with an empirical investigation of how firms enact their organizational values to build and maintain relationships with external constituents. Results from a two-wave survey design indicate consistent patterns of association between organizational values and (1) perceptions of values congruence with external constituents, (2) human resource allocation and programming decisions that firms make to support relationships with external constituents, and (3) the level of financial resources that firms obtain from their relationships with different external constituents. Interestingly, results from both investigations hint at underlying tensions between competing values in cultural firms, such as pressures to be both artistic- and market-oriented.",https://www.jstor.org/stable/2640266,1995,Organization Science,10.2307_2640266,0.660346031,92,0,0.677091122,85,0,0.567885876,1,0
1,0,0,Beyond the red tape: How victims of terrorism perceive and react to organizational responses to their suffering,"We use a storyteller perspective to examine how victims of terrorism perceive the way that organizations react and respond to their needs in the aftermath of terrorist attacks. Analysis of the data shows that organizations in Israel are often perceived as ineffective to respond in a humane or compassionate manner to the suffering caused by terrorism. Instead, victims perceive that a more bureaucratic approach is taken. However, to create optimal public value, compassionate responses on the part of organizations in times of trauma, such as terrorist attacks, may be required. We build a theoretical model to show how positive deviance can bring about such responses, as well as positive outcomes for victims.",external-fulltext-any,2011,Journal of Organizational Behavior,10.2307_41415713,0.659104168,17,0,0.542345881,8,0,0.517119646,5,0
1,0,0,Embedding Sustainability Across the Organization: A Critical Perspective,"This article is a response to Haugh and Talwar's (2010) ""How Do Corporations Embed Sustainability Across the Organization?"" where the authors offer a number of prescriptions that enable organizations to learn about sustainability. I argue that the authors' prescriptions do little to address the challenges posed by sustainability because their approach is input driven rather than output focused. I discuss ongoing conflicts between corporations and Indigenous communities over land and resources to highlight the weaknesses of Haugh and Talwar's approach and extend their discussion about embedding sustainability in an organization to the larger political economy of sustainability and the governance of sustainability.",https://www-jstor-org.proxy.library.georgetown.edu/stable/23100442?seq=1#metadata_info_tab_contents,2011,Academy of Management Learning & Education,10.2307_23100442,0.654123783,18,0,0.632543981,24,0,0.530608594,8,0
1,1,0,When Experience Meets National Institutional Environmental Change: Foreign Entry Attempts of U.S. Firms in the Central and Eastern European Region,"We develop an institutional change perspective to examine the tension that can exist between evolving external environmental influences and internal organizational influences on foreign entry attempts. Using data on the entries of 215 U.S. public firms made into 11 Central and Eastern European transition economies during the period of 1990–2003, we find that shifts in national institutional environments, from a socialist to a market economy, reduce the extent of challenges encountered to make a hierarchical entry, which leads to an increase in foreign hierarchical entry attempts but not necessarily to a decrease in relational entry attempts as institutional transformation. We find evidence of inertial influences as experienced entrants tend to follow their previous decisions when making subsequent entry attempts. Further, they are less responsive in their foreign entry strategies to the institutional transformation in a given host country than inexperienced firms. We also find that the experience gained from relational entries results in more hierarchical entry attempts, but hierarchical entry experience results in fewer relational entry attempts.",https://www.jstor.org/stable/27735492,2009,Strategic Management Journal,10.2307_27735492,0.638905942,174,3,0.671659827,64,0,0.615820825,50,5
