"Barley, Stephen R.  1983.  Semiotics and the study of occupational and organizational cultures.  Administrative Science Quarterly, 28:  393-413."
"Barney, Jay B.  1986.  Organizational culture:  Can it be a source of sustained competitive advantage?  Academy of Management Review, 11:  656-665."
"Castilla, Emilio J., and Stephen Benard.  2010.  The paradox of meritocracy in organizations.  Administrative Science Quarterly, 55:  543-576."
"Dutton, Jane E., and Janet M. Dukerich.  1991.  Keeping an eye on the mirror:  Image and identity in organizational adaptation.  Academy of Management Journal, 34 (3):  517-544."
"Fine, Gary Alan.  1984.  Negotiated orders and organizational cultures.  Annual Review of Sociology, 10:  239-262."
"Fiol, C. Marlene.  2002.  Capitalizing on paradox:  The role of language in transforming organizational identities.  Organization Science, 13 (6):  653-666."
"Goldberg, Amir, Sameer B. Srivastava, V. Govind Manian, William Monroe, and Christopher Potts.  2016.  Fitting in or standing out?  The tradeoffs of structural and cultural embeddedness.  American Sociological Review, 81 (6):  1190-1222."
"Morrill, Calvin.  1991.  Conflict management, honor, and organizational change.  American Journal of Sociology, 97 (3):  585-621. "
"Ouchi, William G., and Alan L. Wilkins.  1985.  Organizational culture.  Annual Review of Sociology, 11:  457-483."
"Pettigrew, Andrew M.  1979.  On studying organizational cultures.  Administrative Science Quarterly, 24:  570-581."
"Rafaeli, Anat, and Michael G. Pratt.  1993.  Tailored meanings:  A look at dress.  Academy of Management Review, 18 (1):  32-55."
"Rivera, Lauren A.  2012.  Hiring as cultural matching:  The case of elite professional service firms.  American Sociological Review, 77 (6):  999-1022. "
"Schein, Edgar H.  1996.  Culture:  The missing concept in organization studies.  Administrative Science Quarterly, 41 (2):  229-240."
"Sørensen, Jesper B.  2002.  The strength of corporate culture and the reliability of firm performance.  Administrative Science Quarterly, 47:  70-91."
"Trice, Harrison M., and Janice M. Beyer.  1984.  Studying organizational culture through rites and ceremonies.  Academy of Management Journal, 9:  653-669."
"Van den Steen, Eric.  2010.  Culture clash:  The costs and benefits of homogeneity.  Management Science, 56:  1718-1738."
"Van Maanen, John.  1992.  Displacing Disney:  Some notes on the flow of culture.  Qualitative Sociology."
"Adler, Patricia A., and Peter Adler.  1994.  Social reproduction and the corporate other:  The institutionalization of afterschool activities.  Sociological Quarterly, 35:  309-328."
"Ahmadjian, Christina L., and Gregory E. Robbins.  2005.  A clash of capitalisms:  Foreign shareholders and corporate restructuring in 1990s Japan.  American Sociological Review, 70:  451-471."
"Ahmadjian, Christina L., and Patricia Robinson.  2001.  Safety in numbers:  Downsizing and the deinstitutionalization of permanent employment in Japan.  Administrative Science Quarterly, 46:  622-654."
"Barley, Stephen R., and Gideon Kunda.  1992.  Design and devotion:  Surges of rational and normative ideologies of control in managerial discourse.  Administrative Science Quarterly, 37:  363-399."
"Barley, Stephen R., Gordon W. Meyer, and Debra C. Gash.  1988.  Cultures of culture:  Academics, practitioners, and the pragmatics of normative control.  Administrative Science Quarterly, 33:  24-60."
"Baron, James N., Frank R. Dobbin, and P. Devereaux Jennings.  1986.  War and peace:  The evolution of modern personnel administration in U.S. industry.  American Journal of Sociology, 92:  350-383."
"Bartley, Tim.  2007.  Institutional emergence in an era of globalization: The rise of transnational private regulation of labor and environmental conditions.  American Journal of Sociology, 113:  297-351."
"Basu, Onker N., Mark W. Dirsmith, and Parvenu P. Gupta.  1999.  The coupling of the symbolic and the technical in an institutionalized context:  The negotiated order of the GAO’s audit reporting process.  American Sociological Review, 64:  506-526."
"Baum, Joel A.C., and Christine Oliver.  1991.  Institutional linkages and organizational mortality.  Administrative Science Quarterly, 36:  187-218."
"Berman, Elizabeth Popp  2006.  Before the professional project:  Success and failure at creating an organizational representative for English doctors.  Theory & Society, 35:  157-191."
"Bielby, William T., and Denise D. Bielby.  1994.  “All hits are flukes”:  Institutionalized decision-making and the rhetoric of network prime-time program development.  American Journal of Sociology, 99:  1287-1313."
"Bitekine, Alex, and Patrick Haack.  2015.  The “macro” and “micro” of legitimation:  Toward a multilevel theory of the legitimacy process.  Academy of Management Review, 40 (1):  49-75."
"Briscoe, Forrest, and Sean Safford.  2008.  The Nixon-in-China effect:  Activism, imitation, and the institutionalization of contentious practices.  Administrative Science Quartlery, 53:  460-491."
"Carroll, Glenn R., Jerry Goodstein, and Antal Gyenes.  1988.  Organizations and the state:  Effects of the institutional environment on agricultural cooperatives in Hungary.  Administrative Science Quarterly, 33:  233-256."
"Carroll, Glenn R., Jerry Goodstein, and Antal Gyenes.  1990.  Managing the institutional environment:  Evidence from Hungarian agricultural cooperatives.  European Sociological Review, 6:  73-86."
"Chaves, Mark.  1993.  Intraorganizational power and internal secularization in Protestant denominations. American Journal of Sociology, 99:1-48."
"Clemens, Elisabeth S.  1993.  Organizational repertoires and institutional change:  Women’s groups and the transformation of U.S. politics, 1890-1920.  American Journal of Sociology, 98:  755-798."
"Clemens, Elisabeth S., and James M. Cook.  1999.  Politics and institutionalism:  Explaining durability and change.  Annual Review of Sociology, 25:  441-466. "
"Colyvas, Jeannette A., and Stefan Jonsson.  2011.  Ubiquity and legitimacy:  Disentangling diffusion and institutionalization.  Sociological Theory, 29 (1):  27-53."
"Cook, Karen S., Stephen M. Shortell, Douglas A. Conrad, and Michael A. Morrissey.  1983.  A theory of organizational response to regulation:  The case of hospitals.  Academy of Management Review, 8:  193-205."
"Covaleski, Mark A., and Mark W. Dirsmith.  1988.  An institutional perspective on the rise, social transformation, and fall of a university budget category.  Administrative Science Quarterly, 33:  562-587."
"Crilly, Donal, Morten Hansen, and Maurizio Zollo.  2016.  The grammar of decoupling:  A cognitive-linguistic perspective on firms’ sustainability claims and stakeholders’ interpretation.  Academy of Management Journal, 59 (2):  705-729."
"D’Aunno, Thomas, Melissa Succi, and Jeffrey A. Alexander.  2001.  The role of institutional and market forces in divergent organizational change.  Administrative Science Quarterly, 45:  679-703."
"Dacin, M. Tina.  1997.  Isomorphism in context:  The power and prescription of institutional norms.  Academy of Management Journal, 40:  46-81."
"David, Robert J., Wesley D. Sine, and Heather A. Haveman.  2013.  Seizing opportunity in emerging fields:  How entrepreneurs legitimated the professional form of management consulting.  Organization Science, 24 (2):  356-377."
"Davis, Gerald F., Kristina A. Diekmann, and Catherine H. Tinsley.  1994.  The decline and fall of the conglomerate firm in the 1980s:  The deinstitutionalization of an organizational form.  American Sociological Review, 59:  547-570."
"Davis, Gerald F., Kristina A. Diekmann, and Catherine H. Tinsley.  1994.  The decline and fall of the conglomerate firm in the 1980s:  The deinstitutionalization of an organizational form.  American Sociological Review, 59:  547-570."
"DiMaggio, Paul J., and Walter W. Powell.  1983.  The iron cage revisited:  Institutional isomorphism and collective rationality in organizational fields.  American Sociological Review, 48:  147-160. "
"DiMaggio, Paul.  1997.  Culture and cognition.  Annual Review of Sociology, 23:  263-287."
"Dobbin, Frank R., and Timothy Dowd.  2000.  The market that antitrust built:  Public policy, private coercion, and railroad acquisitions, 1825 to 1922.  American Sociological Review, 65:  635-657. "
"Dobbin, Frank R., John R. Sutton, John W. Meyer, and W. Richard Scott.  1993.  Equal opportunity law and the construction of internal labor markets.  American Journal of Sociology, 99:  396-427."
"Edelman, Lauren B.  1990.  Legal environments and organizational governance:  The expansion of due process in the American workplace.  American Journal of Sociology, 95:  1401-1440."
"Edelman, Lauren B.  1992.  Legal ambiguity and symbolic structures:  Organizational mediation of civil rights law.  American Journal of Sociology, 97:  1531-1576."
"Edelman, Lauren B., Christopher Uggen, and Howard S. Erlanger.  1999.  The endogeneity of legal regulation:  Grievance procedures as rational myth.  American Journal of Sociology, 105:  406-454."
"Edelman, Lauren B., Linda H. Krieger, Scott R. Eliason, Catherine R. Albiston, and Virginia Mellema.  2011.  When organizations rule:  Judicial deference to institutionalized employment structures.  American Journal of Sociology, 117:  888-954."
"Edelman, Lauren B., Sally Riggs Fuller, and Iona Mara-Drita.  2001.  Diversity rhetoric and the managerialization of law.  American Journal of Sociology, 106:  1589-1641."
"Elsbach, Kimberly D.  1994.  Managing organizational legitimacy in the California cattle industry:  The construction and effectiveness of verbal accounts.  Administrative Science Quarterly, 39:  57-88."
