"Boeker, Warren.  1989.  The development and institutionalization of subunit power in organizations.  Administrative Science Quarterly, 34:  388-410."
"Burris, Val.  2005.  Interlocking directorates and political cohesion among corporate elites.  American Journal of Sociology, 111 (1):  249-283."
"Burt, Ronald S.  1978.  A structural theory of interlocking corporate directorates.  Social Networks, 1:  415-435."
"Burt, Ronald S.  1980.  Autonomy in a social topology.  American Journal of Sociology, 85:  892-925."
"Burt, Ronald S.  1980.  Cooptive corporate actor networks:  A reconsideration of interlocking directorates involving American manufacturing.  Administrative Science Quarterly, 25:  557-582."
"Burt, Ronald S.  1987.  Social contagion and innovation:  Cohesion versus structural equivalence.  American Journal of Sociology, 92:  1287-1335."
"Burt, Ronald S.  1988.  The stability of American markets.  American Journal of Sociology, 94:  356-395."
"Burt, Ronald S., and Ilan Talmud.  1993.  Market niche.  Social Networks, 15:  133-149."
"Burt, Ronald S., Kenneth P. Christman, and Harold C. Kilburn Jr.  1980.  Testing a structural theory of corporate co-optation:  Interorganizational directorate ties as a strategy for avoiding market constraints of prices.  American Sociological Review, 45:  821-841."
"Casciaro, Tiziana, and Mikolaj Jan Piskorski.  2005.  Power imbalance, mutual dependence, and constraint absorption:  A closer look at resource dependence theory.  Administrative Science Quarterly, 50:  167-199."
"Davis, Gerald F.  1991.  Agents without principles?  The spread of the poison pill through the intercorporate network.  Administrative Science Quarterly, 36:  583-613."
"Davis, Gerald F., and Henrich R. Greve.  1997.  Corporate elite networks and governance changes in the 1980s.  American Journal of Sociology, 103:  1-37."
"Davis, Gerald F., and Mark S. Mizruchi.  1999.  The money center cannot hold:  Commercial banks in the U.S. system of governance.  Administrative Science Quarterly, 44:  215-239."
"Fligstein, Neil.  1987.  The intraorganizational power struggle:  Rise of finance personnel to top leadership in large corporations, 1919-1979.  American Sociological Review, 52:  44-58."
"Galaskiewicz, Joseph, and Ronald S. Burt.  1991.  Interorganizational contagion in corporate philanthropy.  Administrative Science Quarterly, 36:  88-105."
"Galaskiewicz, Joseph, and Stanley S. Wasserman.  1981.  A dynamic study of change in a regional corporate network.  American Sociological Review, 46:  475-484."
"Gargiulo, Martin.  1993.  Two-step leverage: Managing constraint in organizational politics.  Administrative Science Quarterly, 38 (1):  1-19."
"Greve, Henrich R., and Cyndi Man Zhang.  2017.  Institutional logics and power sources:  Merger and acquisition decisions.  Academy of Management Journal, 60 (2):  671-694."
