Name,Params,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,train_accuracy
DecisionTree under,"{'model__criterion': 'gini', 'model__max_depth': 11, 'model__min_samples_split': 7}",0.571380970011107,0.577548690671031,0.4949171700101128,0.4257698428654783,0.5973846153846154,0.8247728422311124
DecisionTree over,"{'model__criterion': 'entropy', 'model__max_depth': 11, 'model__min_samples_split': 14}",0.5647908182154757,0.536913188761593,0.412268574645917,0.3888221531671742,0.44461538461538463,0.8770607440106681
DecisionTree smote,"{'model__criterion': 'gini', 'model__max_depth': 16, 'model__min_samples_split': 7}",0.5702332469455756,0.540636524822695,0.41114315986107774,0.39028714233078843,0.44200000000000006,0.9795369476249597
RandomForest under,"{'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': 'auto', 'model__n_estimators': 100}",0.560625694187338,0.5691827605019094,0.48730862477742204,0.4133660781258035,0.5972307692307692,0.8538685795741943
RandomForest over,"{'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': 'auto', 'model__n_estimators': 100}",0.6288226582747131,0.5606783278777959,0.3838329756493847,0.4605874743255279,0.3352307692307693,0.9902977422173173
RandomForest smote,"{'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': 'auto', 'model__n_estimators': 200}",0.5988522769344687,0.566204037097654,0.44216514292333864,0.4323954487402763,0.45723076923076933,0.9698337701751967
PassiveAggressive under,"{'model__C': 0.03162277660168379, 'model__loss': 'squared_hinge'}",0.5617734172528692,0.5411404118930714,0.40333249612517497,0.4216243935813607,0.4670769230769231,0.6628877546328228
PassiveAggressive over,"{'model__C': 0.03162277660168379, 'model__loss': 'hinge'}",0.5919844502036282,0.5500681260229132,0.38761146566448546,0.4014103214996072,0.4127692307692308,0.6815089437623579
PassiveAggressive smote,"{'model__C': 0.03162277660168379, 'model__loss': 'hinge'}",0.5851351351351352,0.563035597381342,0.4430606806129195,0.41727114356382644,0.4912307692307693,0.6586418816388467
AdaBoost under,"{'model__learning_rate': 0.01, 'model__n_estimators': 600}",0.5346723435764532,0.5474301009274414,0.4677934638532264,0.39125308085915583,0.5892307692307692,0.7151717478272865
AdaBoost over,"{'model__learning_rate': 0.01, 'model__n_estimators': 1000}",0.5782487967419475,0.5532558647026733,0.43713017663590925,0.41585505012229146,0.468923076923077,0.7958164344507288
AdaBoost smote,"{'model__learning_rate': 0.001, 'model__n_estimators': 600}",0.5415957052943353,0.5697006955810148,0.4991087587661195,0.40592516293002656,0.6610769230769231,0.5902765898744655
MultiLayerPerceptron under,"{'model__activation': 'tanh', 'model__alpha': 0.05, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate': 'adaptive', 'model__solver': 'adam'}",0.5700666419844503,0.56627304964539,0.4713695272879398,0.4175284549857354,0.554,0.7186556766450545
MultiLayerPerceptron over,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (100,), 'model__learning_rate': 'constant', 'model__solver': 'adam'}",0.5837282487967419,0.5749386252045826,0.4712703436998883,0.42680967323075547,0.5461538461538462,0.7492794408424152
MultiLayerPerceptron smote,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50, 50), 'model__learning_rate': 'constant', 'model__solver': 'adam'}",0.6163828211773417,0.5807392253136934,0.4461550083583508,0.4624300120972788,0.4607692307692308,0.7938506460661242
