Name,Params,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,train_accuracy
DecisionTree under,"{'model__criterion': 'gini', 'model__max_depth': 16, 'model__min_samples_split': 7}",0.6818428184281843,0.6659004768160366,0.7364177482387059,0.7564161692866013,0.7277149321266968,0.89776090473315
DecisionTree over,"{'model__criterion': 'entropy', 'model__max_depth': 16, 'model__min_samples_split': 7}",0.7517765733212887,0.7027039848197344,0.8113362042820518,0.7542862698228431,0.8941176470588236,0.9473134211526849
DecisionTree smote,"{'model__criterion': 'gini', 'model__max_depth': 16, 'model__min_samples_split': 7}",0.7468383017163505,0.7000474383301707,0.8039462310821499,0.7507399537154517,0.8823529411764707,0.9505872639575366
RandomForest under,"{'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.7088979223125565,0.6966978056731378,0.7550724698676474,0.7857095331125941,0.7432880844645551,0.8962592907357294
RandomForest over,"{'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.7544414333032219,0.70662871600253,0.8135439836004524,0.7621371242269092,0.8941176470588236,0.9541369400398094
RandomForest smote,"{'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': 'auto', 'model__n_estimators': 200}",0.7802469135802469,0.7493801391524353,0.8255983822682076,0.8084642391928387,0.8705882352941176,0.9505880094528809
PassiveAggressive under,"{'model__C': 3162.2776601683795, 'model__loss': 'hinge'}",0.5528003613369467,0.5665941711672262,0.5189882373705437,0.6826447057777203,0.5195324283559577,0.6075742326989169
PassiveAggressive over,"{'model__C': 0.03162277660168379, 'model__loss': 'squared_hinge'}",0.5723878349894609,0.5595500656838418,0.6043262618825525,0.6950709690991022,0.6100678733031674,0.6743355772743199
PassiveAggressive smote,"{'model__C': 10.0, 'model__loss': 'squared_hinge'}",0.580788919000301,0.5685193159149516,0.5842111878882411,0.7127910962731141,0.6227375565610859,0.6290236247474634
AdaBoost under,"{'model__learning_rate': 0.01, 'model__n_estimators': 1000}",0.5959048479373682,0.5794830438378826,0.6622251111339961,0.6888409358316685,0.6435897435897436,0.7708121799029365
AdaBoost over,"{'model__learning_rate': 0.01, 'model__n_estimators': 1000}",0.6254441433303222,0.5975892813701162,0.6968165396231715,0.6965207442208575,0.7061463046757165,0.8053507928342988
AdaBoost smote,"{'model__learning_rate': 0.01, 'model__n_estimators': 1000}",0.620460704607046,0.5991013477351238,0.6865485317841971,0.7018741431773152,0.6825037707390649,0.7880150440960496
MultiLayerPerceptron under,"{'model__activation': 'relu', 'model__alpha': 0.05, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate': 'adaptive', 'model__solver': 'adam'}",0.6929238181270702,0.671469980051574,0.7472639406003427,0.7568943832807711,0.7550904977375567,0.8923038788122767
MultiLayerPerceptron over,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (50, 50), 'model__learning_rate': 'adaptive', 'model__solver': 'adam'}",0.7419753086419754,0.6890607210626185,0.8058149342461579,0.7455076452019821,0.8960784313725491,0.9530455348556348
MultiLayerPerceptron smote,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (50, 50), 'model__learning_rate': 'adaptive', 'model__solver': 'adam'}",0.7481330924420355,0.6967615433270083,0.8098419649102633,0.7485262886756145,0.8980392156862745,0.9522271673413398
