Name,Params,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,train_accuracy
DecisionTree under,"{'model__criterion': 'gini', 'model__max_depth': 16, 'model__min_samples_split': 7}",0.5264587525150904,0.5318144499178983,0.485673273448416,0.4328582065314007,0.5588669950738917,0.8904581716576325
DecisionTree over,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__min_samples_split': 7}",0.5431589537223339,0.5334154351395731,0.45369530977339234,0.4397617387697174,0.4834975369458128,0.8035462515920738
DecisionTree smote,"{'model__criterion': 'entropy', 'model__max_depth': 6, 'model__min_samples_split': 7}",0.517665995975855,0.5308702791461413,0.5018415245206129,0.4380418485273216,0.6022167487684729,0.7417723112467047
RandomForest under,"{'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': 'log2', 'model__n_estimators': 300}",0.520261569416499,0.5249384236453201,0.4792445472533859,0.426831502894396,0.5498768472906403,0.9055441189538224
RandomForest over,"{'model__criterion': 'entropy', 'model__max_depth': 2, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.555814889336016,0.5399425287356323,0.4516959512852295,0.4550866785410722,0.45369458128078816,0.7532493113355647
RandomForest smote,"{'model__criterion': 'gini', 'model__max_depth': 2, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.5246680080482897,0.5181239737274221,0.4492875237226858,0.42430652398756363,0.48386699507389164,0.7444610645419271
PassiveAggressive under,"{'model__C': 1000000.0, 'model__loss': 'hinge'}",0.4764386317907444,0.5100985221674877,0.4785905313131842,0.4023161398518223,0.6844827586206896,0.5822867608581895
PassiveAggressive over,"{'model__C': 3162.2776601683795, 'model__loss': 'hinge'}",0.5061971830985915,0.5090927750410508,0.3878821424758755,0.44050395262003617,0.5205665024630541,0.6013311710751064
PassiveAggressive smote,"{'model__C': 0.03162277660168379, 'model__loss': 'hinge'}",0.5076861167002014,0.5148809523809523,0.47035518875148064,0.41680208939412805,0.5535714285714286,0.6168429055221508
AdaBoost under,"{'model__learning_rate': 0.01, 'model__n_estimators': 1000}",0.5133802816901408,0.5195402298850575,0.4757287910011659,0.4234292513531467,0.5509852216748768,0.7718007957900141
AdaBoost over,"{'model__learning_rate': 0.001, 'model__n_estimators': 1000}",0.5204828973843059,0.5181239737274221,0.457225980644883,0.4225013707366648,0.5052955665024631,0.6430906469990028
AdaBoost smote,"{'model__learning_rate': 0.01, 'model__n_estimators': 1000}",0.5191750503018108,0.5105911330049261,0.4363909968980038,0.4145250534833078,0.464039408866995,0.7774621604810285
MultiLayerPerceptron under,"{'model__activation': 'tanh', 'model__alpha': 0.05, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate': 'constant', 'model__solver': 'adam'}",0.5358752515090542,0.530008210180624,0.4520104646682837,0.4466704382995566,0.49334975369458134,0.7086477987421383
MultiLayerPerceptron over,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (50, 50), 'model__learning_rate': 'adaptive', 'model__solver': 'adam'}",0.5487122736418512,0.5358784893267652,0.4473536574837237,0.4442144825537321,0.46699507389162564,0.7325128600061215
MultiLayerPerceptron smote,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate': 'adaptive', 'model__solver': 'adam'}",0.5416700201207243,0.5334975369458127,0.4513183938158464,0.4398721937079215,0.48842364532019705,0.7152357750066645
