,stance twd. cult_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
0,,,,Analyzing Cross-National Management and Organizations: A Theoretical Framework,"The differential social control embedded in core and periphery values indigenous to a cultural setting, and the availability of resources in that setting, are discussed as critical factors for the effective adaptation of organizations and management practices transferred across cultural boundaries. The relationships between these factors and organizational structure, processes, and behavior, are analyzed and specified in a theoretical framework. The framework postulates the importance of congruent or, at least, accommodative relationships between the core values dominating the local setting, and those underlying transferred practices for the effectiveness of ""imported"" organizational practices. Four main contingencies of local-imported values' incongruence are described, and their implications for ""entry"" and ""coping"" strategies of cross-national organizations are discussed. The framework also offers a scheme for generating hypotheses regarding the effects of values on structures and behavior in cross-national organizations. The theoretical and managerial implications of the scheme are discussed and illustrated.",https://www.jstor.org/stable/2632844,Management Science,10.2307_2632844,Management & Organizational Behavior,1994.0,1,0.9748116135597229,1,0.868808925151825,0,0.000692417670506984
1,,,,Television representations of food: A case study,"This paper describes the results of a semiotic analysis of one popular television food programme: 'Rick Stein's Taste of the Sea'. The analysis suggests that this programme produces a number of conventional meanings within which specific messages about food are embedded. These findings indicate that television food programmes offer the hospitality provider important insights into the contemporary cultural formation of the consumer and into the ways by which key product concepts can be marketed, which can be of benefit to the hospitality industry. In addition, the categorisation of concepts and discourses upon which food programmes draw for their meanings offers a methodological and conceptual framework for future research of the genre.",https://www.jstor.org/stable/42919209,International Journal of Tourism and Hospitality Research,10.2307_42919209,Management & Organizational Behavior,1999.0,1,0.9563668370246887,0,0.00505705364048481,0,9.099447925109416e-05
2,,,,Arbiter of science: Institutionalization and status effects in FDA drug review 1990-2004,"In this article the author proposes that firm status has a significant effect on the regulatory evaluation process. Regulators rely on external signals of quality such as status to resolve uncertainty, and the tendency to be infused with 'value beyond the technical requirements of the task at hand' (Selznick, 1957) causes status positions in institutionalized domains to be particularly salient. Using review times for 839 New Drug Applications approved by the Food and Drug Administration between 1990 and 2004, the author finds that firms with higher status in the scientific knowledge domain receive faster approval for their drugs. The effect of status strengthened when products address underserved disease areas, and when following a major product withdrawal in the industry. Status in areas unrelated to the therapy category had a stronger effect on approval speed than therapy-specific status, implying that status effects are driven by values in addition to technical concerns.",https://www.jstor.org/stable/43581858,Strategic Organization,10.2307_43581858,Management & Organizational Behavior,2012.0,1,0.9999837875366211,1,0.9652894735336304,0,0.00016803026665002108
3,,,,Institutionalizing Executive Development and Attendant Problems,"There are difficulties in creating an executive development program that has top-level support and that is attractive to state executives themselves. Two successful programs, in Virginia and Texas, are examined for the lessons they may provide.",https://www.jstor.org/stable/3380631,Public Productivity & Management Review,10.2307_3380631,Management & Organizational Behavior,1992.0,1,0.9972562193870544,0,0.00014109791663940996,0,0.08931025862693787
4,,,,Between work and non-work: Institutional settings of boundary management in case of German self-employed lawyers,"Drawing on the boundary theory (Nippert-Eng, 1996a) and the concept of institutional framework according to Piszczek and Berg (2014), we explore in this paper the link between institutional settings and boundary management practices in the case of self-employed German lawyers. Qualitative empirical results on the basis of 12 interviews reveal that the institutional context in case of self-employed lawyers combine ""discretionary"", ""bureaucratic"" and ""greedy"" (Nippert-Eng, 1996a) elements which consist of legal requirements, expectations of clients and family-related demands. Ways of dealing with institutional requirements (complying, resisting, and negotiating) in terms of boundary management of self-employed lawyers are discussed.",https://www.jstor.org/stable/24570298,Management Revue,10.2307_24570298,Management & Organizational Behavior,2015.0,1,0.9999136924743652,0,0.0014350742567330599,0,0.001429955125786364
5,,,,"Creating the Context for Corporate Responsibility: The Experience of Instituto Ethos, Brazil","Referring to recent initiatives at global, industry-wide and societal levels to create the context for the development and diffusion of practices around corporate responsibility, Waddock (2006) coined the notion of ‘institutional infrastructure for corporate responsibility’. This article focuses on a form of this infrastructure: namely, the creation and diffusion of conversations and practices around corporate responsibility in a developing country. The article highlights the experience of the Ethos Institute in Brazil. Between 1998 and 2007, Ethos has successfully convened 1,250 member business organisations around conversations and forums on corporate responsibility. Here, the focus is on four interrelated dimensions of the experience of the Ethos Institute in convening these organisations: its leadership, its deliberative council, its organisation per se, and the context in which it has emerged from and is currently contributing to change.",https://www.jstor.org/stable/jcorpciti.30.95,Journal of Corporate Citizenship,10.2307_jcorpciti.30.95,Management & Organizational Behavior,2008.0,1,0.9999140501022339,0,0.002697223797440529,0,0.0001516516786068678
6,,,,Chefs and occupational culture in a hotel chain: A grid-group analysis,"A fierce recession in the UK between 1991 and 1995 led the hotel group Forte, like most companies, to initiate urgent turnaround and survival policies. This paper reports on a study of chefs' behaviour within Forte Crest Hotels, London, the strain placed on their occupation during this recession and the aftermath of Forte's levered corporate change policies in 1994—95. The enquiry was carried out before the hostile take-over of Forte by Granada in January 1996. Using grid-group analysis, a qualitative study based on structured interviews was undertaken. These interviews were analysed for commonalities and differences within a grid-group analysis framework, which addresses organisational, individual and group behavioural phenomena in a given social context. The findings reveal behavioural insights into the occupational identity of chefs and the allegiance they give to their occupation when faced with a programme of radical change initiated by management.",https://www.jstor.org/stable/23746718,Tourism and Hospitality Research,10.2307_23746718,Management & Organizational Behavior,2001.0,1,0.9991713762283325,0,0.00022952837753109634,1,0.8172746896743774
7,,,,"A Comparison of Managerial Structures in German Subsidiaries in France, India, and the United States","This paper presents part of the results of an empirical research into the organizational effectiveness of foreign subsidiaries of German MNCs. More specifically, the relationships between the internal organizational structures of the subsidiaries and organizational effectiveness -- economic as well as social effectiveness -- have been analyzed in 15 foreign affiliates. Comparing delegation of decisionmaking and coordination mechanisms employed across the countries studied, contextual and socio-cultural factors are identified as factors explaining the structural differences. Relating the findings to performance, it could be observed that a positive correspondence between differentiation and integration did not necessarily lead to above average effectiveness, as has been suggested before. The findings show how this relationship has to be specified according to the cultural context of the company.",https://www.jstor.org/stable/40227584,Management International Review,10.2307_40227584,Management & Organizational Behavior,1981.0,1,0.9121480584144592,0,0.0006917385617271066,0,0.004018561914563179
8,,,,Top Management Team Prestige and Organizational Legitimacy: An Examination of Investor Perceptions,"In this study we use survey data to examine the influence of two intangible resources, top management team (TMT) prestige and organizational legitimacy, on investor perceptions of a firm's future financial performance and future financial performance risk. Results show that investors' general perceptions of TMT prestige and organizational legitimacy are associated with their perceptions of future financial performance. We also find that organizational legitimacy partially mediates the relationship between TMT prestige and firm financial performance. We find no such effects when examining investor perceptions of future financial performance risk.",https://www.jstor.org/stable/40604582,Journal of Managerial Issues,10.2307_40604582,Management & Organizational Behavior,2007.0,1,0.8615682125091553,0,0.016132788732647896,0,0.029312636703252792
9,,,,"Total Quality Management: Empirical, Conceptual, and Practical Issues","In recent years, total quality management (TQM) has become something of a social movement in the United States. This commentary returns to the writings of the movement's founders-W. Edwards Deming, Joseph Juran, and Kaoru Ishikawa-to assess the coherence, distinctiveness, and likely perseverance of this provocative management philosophy. We identify a number of gaps in what is known about TQM processes and outcomes and explore the congruence between TQM practices and behavioral science knowledge about motivation, learning, and change in social systems. The commentary concludes with a prognosis about the future of TQM-including some speculations about what will be needed if TQM is to take root and prosper in the years to come.",https://www.jstor.org/stable/2393640,Administrative Science Quarterly,10.2307_2393640,Management & Organizational Behavior,1995.0,1,0.9864208698272705,1,0.7366896271705627,0,0.00032442566589452326
10,,,,Exploratory study of quality and excellence approaches and continuous improvement from the perspective of new institutionalism,"This paper is based on the findings of empirical research conducted in 110 Slovenian companies. Using statistical methods, we examine the effect of the EFQM Excellence Model on the institutionalization of total quality management (TQM) tools and approaches, as well as financial results to motivate TQM implementation. Within the whole group of companies, special attention was paid to the results of applicants for the Slovenian Business Excellence Prize (SBEP), which were compared with other companies. The SBEP group showed better results compared with the other companies with regards to benchmarking, peer assessment, participation in quality and excellence awards, knowledge sharing, self-assessments and financial results. Dieser Artikel basiert auf den Ergebnissen einer empirischen Untersuchung in 110 Slowenischen Unternehmen. Durch die Anwendung statistischer Methoden untersuchten wir die Wirkung des EFQM Excellence Modells auf die Institutionalisierung der Total Quality Management (TQM) - Werkzeuge und Ansätze sowie finanzielle Ergebnisse, um eine Umsetzung des TQM zu motivieren. Innerhalb der gesamten Gruppe von Unternehmen wurde besonderes Augenmerk auf die Ergebnisse der Bewerber für den Slowenischen Business Exzellenz Preis (SBEP) gerichtet. Die SBEP Gruppe zeigte bessere Resultate bezüglich Benchmarking, Peer-Beurteilung, Teilnahme am Wettbewerb für die Qualität und Exzellenz Preise, Stimulation des Wissenstransfers, Selbstbewertung und finanziellen Ergebnissen.",https://www.jstor.org/stable/23281715,Journal of East European Management Studies,10.2307_23281715,Management & Organizational Behavior,2012.0,1,0.9999830722808838,0,0.0004558276559691876,0,0.04677194356918335
11,,,,THE THREE ECOLOGIES IN MINAKATA KUMAGUSU'S ENVIRONMENTAL MOVEMENT,"This article introduces an environmental movement in Japan in the early 20th century, when the country was going through the process of rapid modernization. The movement, generally known as the Anti-Amalgamation of Shrines Movement, was carried out by Minakata Kumagusu, an encyclopedic naturalist. The author translates several excerpts from Minakata's letter, which was addressed to a professor of botany, into English and explicates the opinions stated there in terms of the three ecologies: the ecology of biology, the ecology of society, and the ecology of mind. Minakata's scientific knowledge of biotic factors in the densely forested Kumano region where he lived, his extensive understanding of the folklore-imagination rooted in the land, and his Buddhistic insight into the universe are closely interconnected to support his passionate appeal to save the forest from devastation.",https://www.jstor.org/stable/26161512,Organization & Environment,10.2307_26161512,Management & Organizational Behavior,1999.0,1,0.897876501083374,0,0.00013570932787843049,0,0.0055824448354542255
12,,,,Democratization and Participative Research in Developing Local Theory,Interest in participative work research began to emerge in Norway almost a decade ago as part of the further development of the Norwegian Industrial Democracy Programme. Enactment of an innovative work environment law in 1977 based on workers actively participating in studying and changing their own workplace increased the need for participatory work research techniques. A primary prerequisite is the indigenous evolution of `local theory'. Three case studies illustrating the technique of `organizational mapping' to develop local theory are described. These descriptions support the necessity of worker-produced theory in democratizing organizational change.,https://www.jstor.org/stable/3000224,Journal of Occupational Behaviour,10.2307_3000224,Management & Organizational Behavior,1983.0,1,0.9128289818763733,0,0.0003328783786855638,0,0.00020128437608946115
13,,,,A Subjectivist Essay on Modern Labor Economics,"Subjectivist methodology has attracted an increasing number of adherents as a result of the recent reemergence of the Austrian school. The new Austrian school has challenged the methodological approach of neoclassical economics in many areas. This essay seeks to extend that challenge into the area of labor economics. Modern labor economics, viewed from a subjectivist perspective, is argued to merit a mixed review. However, it is also argued that neoclassical labor economists (as compared with neoclassicists in other specialized areas) seem quite amenable to incorporation of subjective elements into their analysis.",https://www.jstor.org/stable/2487291,Managerial and Decision Economics,10.2307_2487291,Management & Organizational Behavior,1983.0,1,0.9491069912910461,1,0.9931479096412659,0,0.0016103268135339022
14,,,,The Institutionalization of Cost-Benefit Analysis,"This article examines efforts by the Nixon, Ford, Carter, and Reagan administrations to make regulatory agencies conduct cost-benefit analyses as part of decision making. It concludes that this requirement has not yet been fully met at the agency level.",https://www.jstor.org/stable/3380247,Public Productivity Review,10.2307_3380247,Management & Organizational Behavior,1987.0,1,0.9998726844787598,0,0.00017372757429257035,0,0.00018714123871177435
15,,,,"GREENING ORGANIZATIONS: Purchasing, Consumption, and Innovation","The use of consumer pressure in greening the economy has long been advocated by environmentalists. This article takes the view that the traditional image of the consumer as the primary agent of environmental change is inadequate. Efforts to green the economy require an understanding of corporations and public organizations as consumers as well as an understanding of individuals as consumers. The article sets out the arguments for treating all organizations as consumers and as a dominant but underemphasized force in greening the economy. It then considers organizational consumption in the context of supply chains, with respect to the issue of agency within the organization and with respect to the transmissions of market signals for innovation. The discussion makes clear the importance of considering the interorganizational context and ways in which this context both constrains and enables green purchasing initiatives. Reference is made to examples from a range of organizations.",https://www.jstor.org/stable/26161745,Organization & Environment,10.2307_26161745,Management & Organizational Behavior,2000.0,0,0.0046758451499044895,0,0.0005142838344909251,0,0.00010999859659932554
16,,,,Making the marriage work: the benefits of strategy's takeover of entrepreneurship for strategic organization,None,https://www.jstor.org/stable/23727519,Strategic Organization,10.2307_23727519,Management & Organizational Behavior,2007.0,0,1.715480539132841e-05,0,0.0003640072827693075,0,0.002191350096836686
17,,,,The influence of temporary time offs from work on employer attractiveness – An experimental study,"By offering temporary time off programs, companies aim at increasing their employer attractiveness. However, little is known about whether temporary time off programs increase the attractiveness of employers and to what extent this effect is shaped by how temporary time off programs are designed. Using signaling theory, we propose that potential employees receive signals from temporary time off programs that influence the employer attractiveness and that this influence is moderated by risk aversion. Against this background, our article presents an experimental investigation of the influence of temporary time off programs on employer attractiveness. It was shown that only paid temporary time off programs have a positive effect on employer attractiveness, and that risk-averse individuals perceive companies that offer paid temporary time off programs as more attractive. The results indicate that the design of temporary time off programs and the level to which potential employees are risk-averse have a general effect on employer attractiveness.",https://www.jstor.org/stable/24570261,Management Revue,10.2307_24570261,Management & Organizational Behavior,2015.0,0,0.0002387255517533049,0,0.00033416037331335247,0,0.1601683646440506
18,,,,Reinventing Government: The Gore Vision and the Australian Reality,"The Australian lesson for Washington, D.C. reformers is that effective reform requires any resistance to change to be broken down, which requires time, political (bipartisan) reform commitment, and adroit executive public managers who are capable of managing the ambiguities of change. In essence, the dominant culture must be shifted from one that emphasizes adherence to rules, order, stability, and input controls to one that emphasizes guidelines, change, and performance accountability.",https://www.jstor.org/stable/3380578,Public Productivity & Management Review,10.2307_3380578,Management & Organizational Behavior,1996.0,0,0.016438350081443787,0,0.004082472529262304,0,2.7697769837686792e-05
19,,,,"Context, Behavior, and Evolution: Challenges in Research on Boards and Governance","In this article, we present an overview of empirical research on boards and governance in leading U. S. and international academic journals in general management. Samples, methods, theories, and main concepts are presented and compared. The contributions are positioned with respect to contingency perspectives, behavioral perspectives, and evolutionary perspectives. Through an analysis of 127 empirical articles, we find that most studies on boards and governance have been influenced by a research tradition that treats the board of directors as an isolated ""black box. ""Only few studies explore boards in context or explore behavioral perspectives of boards. Almost no studies include evolutionary perspectives. Based on our analysis, we explore alternative research streams and outline various directions for future research.",https://www.jstor.org/stable/40397590,International Studies of Management & Organization,10.2307_40397590,Management & Organizational Behavior,2004.0,0,0.00014519330579787493,0,0.0001404407521476969,0,0.00013272312935441732
20,,,,Impact of Growth Opportunities and Competition on Firm-Level Capability Development Trade-offs,"How should managers prioritize among production, product development, branding, internationalization, and other capabilities and resources? This question is central to the resource-based view, and the answer depends not only on the direct returns on investment in each capability but also on the trade-offs in using those returns for future growth or survival in a competitive market. Through simulation experiments, this study examines firm-level capability development trade-offs in the context of a firm's market-level competition and growth. It is found that investing in operational capabilities (which enhance short-term performance) gains priority over investing in long-term dynamic capabilities when the operational capability investment strengthens the reinforcing loop between performance, investment flow, and capability development.Such operational capability investment provides growth opportunities and competitive advantage. Moreover, in strategic competition, firms anticipating rivals' focus on short-term growth need to further ignore dynamic (long-term) capability building in order to survive. Testable propositions are offered as to how trade-offs between short-term and long-term investments depend on different firm and industry characteristics. The results may explain why short-term-focused firm behavior persists in firms even in the absence of discounting, short-term managerial incentives, decision biases, or learning failures.",external-fulltext-any,Organization Science,10.2307_41429022,Management & Organizational Behavior,,0,7.169695891207084e-06,0,0.0003771822666749358,0,0.00021349513554014266
21,,,,Bigger and Safer: The Diffusion of Competitive Advantage,"Research on the diffusion of technologies that give competitive advantage is needed to understand the role of technology in competition. Predictions on which firms first obtain useful technologies are made by cluster theory, which holds that the diffusion is geographically bounded, and network theory, which holds that adoption is more rapid in central network positions. These predictions can be evaluated using data on the diffusion of supplier innovations that give competitive advantage to firms in the buyer industry. Here, the diffusion of new ship types is studied using the heterogeneous diffusion model and data on shipping firm- shipbuilder networks, showing that valuable innovations remain rare because they are not adopted by distant firms in geographical and network space. The strong influence of geographically dispersed interfirm networks on technology diffusion justifies a greater role of interorganizational networks in the theory of competitive advantage.",https://www.jstor.org/stable/40060244,Strategic Management Journal,10.2307_40060244,Management & Organizational Behavior,2009.0,0,5.6195312936324626e-05,0,0.0009369105682708323,1,0.7864751219749451
22,,,,Job Control and Occupational Health: The Moderating Role of National R&D Activity,"Workers (n = 17 275) from 14 European Union (EU) member states provided data on job control, job dissatisfaction, perceived risk of occupational stress, and absence. For each state, level of research and development (R&D) activity was assessed. Associations between individual levels of control and occupational health were stronger where national R&D activity was higher. The moderation occurred for individuals' levels of control in relation to job dissatisfaction, perceived risk of occupational stress, and absence. The findings with job dissatisfaction and absence were replicated in a sample of workers from 10 Eastern European former Communist countries (n = 7926).",https://www.jstor.org/stable/30164471,Journal of Organizational Behavior,10.2307_30164471,Management & Organizational Behavior,2007.0,0,8.260244612756651e-06,1,0.63045734167099,0,0.03764760494232178
23,,,,"Generalists, Specialists, and the Reproduction of Managerial Structures",None,https://www.jstor.org/stable/40396858,International Studies of Management & Organization,10.2307_40396858,Management & Organizational Behavior,1980.0,0,0.00010060764907393605,0,0.00018958105647470802,0,0.0015146249206736684
24,,,,"Transaction Costs, Mistakes, and Performance: Assessing the Importance of Governance",None,https://www.jstor.org/stable/2488008,Managerial and Decision Economics,10.2307_2488008,Management & Organizational Behavior,1993.0,0,1.3236675840744283e-05,0,0.00019570997392293066,0,3.211481816833839e-05
25,,,,"Contrasting Control Modes in the Multinational Corporation: Theory, Practice, and Implications",None,https://www.jstor.org/stable/40396928,International Studies of Management & Organization,10.2307_40396928,Management & Organizational Behavior,1982.0,1,0.9994966983795166,0,0.11446493864059448,0,0.0011092815548181534
26,,,,Internationalisation of Russia's Gazprom,"This article explores the specific features of the institutional environment and their implications for business operations of Russian companies on foreign markets. The author gives some insights into the relationships between internationalisation and firm behaviour. In order to analyse how and how far internationalisation can influence enterprise behaviour, this article deals with the business activities of the Russian gas monopoly Gazprom on foreign markets. It hypothesises that the different institutional settings on the various markets influence the enterprise behaviour of Gazprom, i.e. that internationalisation disseminates international norms and practices. Der Artikel beleuchtet die spezifischen Merkmale der institutionellen Umgebung und ihre Verwicklungen für Geschäftshandlungen von russischen Unternehmen auf ausländischen Märkten. Der Autor gibt Einblick in die Beziehungen zwischen Internationalisierung und Firmenverhalten. Zwecks der Analyse, wie und inwieweit Internationalisierung das Unternehmensverhalten beeinflusst, behandelt der Artikel die Geschäftstätigkeiten des russischen Gasmonopolisten Gazprom in ausländischen Märkten. Er stellt die Hypothese auf, dass die unterschiedlichen institutionalen Bedingungen auf den unterschiedlichen Märkten das Unternehmensverhalten von Gazprom beeinflussen, d.h., dass Internationalisierung die Verbreitung von internationalen Normen und Praktiken zur Folge hat.",https://www.jstor.org/stable/23280643,Journal of East European Management Studies,10.2307_23280643,Management & Organizational Behavior,2003.0,1,0.9999831914901733,1,0.6046708822250366,0,0.0001595203939359635
27,,,,CAREER PATTERNS OF COMPANY PRESIDENTS AND CONTROL OF THE FIRM,None,https://www.jstor.org/stable/41575613,International Studies of Management & Organization,10.2307_41575613,Management & Organizational Behavior,1974.0,1,0.9159730672836304,0,0.0005588449421338737,0,0.0008458017837256193
