,stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
0,,,,Sustainable Entrepreneurship in the Apparel Industry: The Case of manomama,"During the last decade, pressure on companies to transcend the focus on economic success and technological innovation in order to address more ecologically and socially desirable outcomes has increased. Commitment to sustainability-oriented innovation is still rare in the textile and apparel industry, but there exist first case examples of highly eco-innovative companies. This article presents an in-depth case study of the sustainable company manomama which manufactures individualised clothes for women, men and children in Southern Germany. Ecologically harmless material, most of which is organic, is procured only regionally, and highly experienced workers from the ancient textile region have been provided with secure full- and part-time jobs. The article discusses the major challenges of manomama when entering business (knowledge and experience, site and machinery, suppliers, staff and supporters) and presents the innovative solutions the founder identified to address these. In addition, the article derives implications for traditional companies.",https://www.jstor.org/stable/jcorpciti.45.123,Journal of Corporate Citizenship,10.2307_jcorpciti.45.123,Management & Organizational Behavior,2012.0,0,0.0011413758620619774,0,0.0002704263024497777,0,0.0019271437777206302
1,,,,Strengthening Accountability: Incorporating Strategic Planning and Performance Measurement into Budgeting,"Disclosing purpose, direction, and impact as part of budgetary information expands the concept of account and strengthens oversight. An examination of criminal punishment policies illustrates the value of merging strategic planning with performance measurement.",https://www.jstor.org/stable/3380655,Public Productivity & Management Review,10.2307_3380655,Management & Organizational Behavior,1994.0,0,9.084666089620441e-05,0,0.019378753378987312,0,5.175032856641337e-05
2,,,,Social Support and Managerial Affective Responses to Job Stress,"This research examines the moderating or buffering effects of two social support variables-support from the work group and from the supervisor-on the relationships of role conflict and ambiguity to intrinsic job satisfaction, job involvement and job anxiety. Data were collected from a sample of 89 middle-lower managerial personnel in a large, heavy equipment manufacturing firm in the Midwest. The moderated regression technique was used in data analysis. Significant interactions were obtained between the role variables and both social support variables. The results were in the predicted direction for positive work outcomes (i.e. job satisfaction and involvement) and contrary to prediction for negative work outcome (i.e. job anxiety). Implications of the findings for future research, the management of stress and leadership behaviour are discussed.",https://www.jstor.org/stable/3000115,Journal of Occupational Behaviour,10.2307_3000115,Management & Organizational Behavior,1982.0,0,6.945418590476038e-06,0,0.003371620550751686,0,0.006232316140085459
3,,,,The Behavior of Public Managers in Adopting New Technologies,"The development of an information network is a project of prime importance for industrialized countries. Managing a technological change of this magnitude requires many forms of expertise. In such a context, the behavior of managers is an important factor to consider. But, can managers resort to various types of behavior? If so, what impact do these forms of behavior have on the adoption process? A questionnaire was developed to identify the characteristics of managers' behavior in the process of adopting a new technology. It was sent to 600 managers of various public organizations. The study shows that there are many entrepreneurs working in public organizations. It also highlights that there is a positive correlation between consideration of the social component and success in the adoption of new technology, and that entrepreneurs are much less inclined to take this social component into consideration.",https://www.jstor.org/stable/3381223,Public Performance & Management Review,10.2307_3381223,Management & Organizational Behavior,2001.0,0,0.0017097146483138204,0,0.00015370536129921675,0,5.117047840030864e-05
4,,,,Multinational Corporations: Their Development and Universal Role,None,https://www.jstor.org/stable/40227206,Management International Review,10.2307_40227206,Management & Organizational Behavior,1975.0,0,0.0006300755776464939,0,0.2614947557449341,0,0.0008188242791220546
5,,,,Churches and statues: Cultural tourism in Finland,"Tourism in Finland is chiefly oriented towards nature, but culture has an important role to play as well. Almost every cultural attraction with more than 100,000 visitors per year is situated in the major cities. Typically, the most popular cultural attraction in the cities is a church or a museum. In the rural areas, almost the only significant attractions are short-term festivals. It seems that successful cultural attractions do require a large population catchment surrounding them. Normally, local residents also enjoy culture attractions. The paper considers the relationship between cultural attractions and the location.",https://www.jstor.org/stable/23747361,Tourism and Hospitality Research,10.2307_23747361,Management & Organizational Behavior,2002.0,0,0.00023263735056389123,0,0.00033741473453119397,0,0.0024383084382861853
6,,,,Executive accountability around the World: Sources of cross-national variation in firm performance-CEO dismissal sensitivity,"In this study, the authors investigate why CEOs seem to be held more accountable for poor firm performance in some countries than others. The article integrates research from comparative corporate governance and agency theory to identify and evaluate four fundamental assumptions underlying most theoretical arguments linking performance and dismissal: (1) CEOs are personally responsible for firm performance outcomes; (2) boards/owners have the power to dismiss CEOs; (3) firm performance measures are meaningful; and (4) suitable alternative candidates for the CEO role are available. The authors argue that CEO accountability will vary in line with the extent to which these assumptions are more or less valid from one country to the next. They provide robust evidence - across both marketbased and accounting-based measures - that CEOs are more likely to be dismissed following poor firm performance in countries where managerial discretion is high, where firm performance measures are more meaningful, and where the CEO labor market is more developed. However, the authors do not find support for their prediction that CEO accountability varies in line with cross-national differences in CEO power asymmetry.",https://www.jstor.org/stable/43581892,Strategic Organization,10.2307_43581892,Management & Organizational Behavior,2013.0,0,1.8788010493153706e-05,1,0.9997349381446838,0,0.01713395118713379
7,,,,PERCEPTIONS OF ORGANIZATIONAL POLITICS: A META-ANALYSIS OF THEORETICAL ANTECEDENTS,"This study presents a quantitative review of research examining variables thought to influence the development of perceptions of organizational politics (POP). The results provide support for most of the relationships proposed in theoretical models (e.g., Ferris et al., 1989; Ferris et al., 2002). Job/work environment influences are found to have the strongest and most consistent relationship with politics perceptions (e.g., trust, participation in decision-making, leader-member exchange, met expectations, and opportunity for development). Organizational influences which are found to be related to perceptions of organizational politics include centralization, formalization, and procedural justice. Demographic variables are found to have little or no relationship with politics perceptions, although personality variables (i.e., Machiavellianism, locus of control, positive affect, and negative affect) exhibit moderate to moderately strong relationships.",https://www.jstor.org/stable/25822527,Journal of Managerial Issues,10.2307_25822527,Management & Organizational Behavior,2010.0,0,4.220347909722477e-05,0,0.0005220319726504385,0,0.0009287414723075926
8,,,,Organizational Hiring Standards,"Organizational hiring criteria help determine which individuals enter organizational labor markets as well as serving as an important component of organizational control systems-more effort placed on screening workers at entry means that less emphasis may be placed on training and socialization or on monitoring them once in the organization. The determinants of organizational selectivity in hiring, including the use of educational credentials, written and unwritten tests, and screening on the basis of workers' characteristics were examined using a sample of 254 establishments in the San Francisco Bay Area. The analyses suggested that hiring standards for different occupations (both white and blue collar) within establishments were positively correlated with each other and were affected by the same set of factors. Formal hiring standards were positively related to the presence of a personnel department, to the amount of training and technological change, and to the presence of an internal labor market. The proportion of the workforce covered by collective bargaining was negatively related to organizational selectivity, and there was no effect of economic sector (core versus periphery) and organizational size once other organizational factors were controlled. The results indicate that hiring standards reflect not only organizations' skill requirements but also the preferences of various groups for such standards and their ability to enforce these preferences.",https://www.jstor.org/stable/2392763,Administrative Science Quarterly,10.2307_2392763,Management & Organizational Behavior,1986.0,0,2.769819002423901e-05,0,0.00027012068312615156,1,0.9996594190597534
9,,,,Business Model Innovation through Second Hand Retailing: A Fashion Industry Case,"The issue of business model innovation for sustainability is becoming increasingly relevant for fashion companies. This paper investigates how the resell of a fashion brand's own product can facilitate business model adaption towards sustainability. Based on a single revelatory case study the article highlights a premium fashion brand's endeavours in prolonging their products’ life through resell activities and the main issues, challenges and opportunities the brand can encounter in integrating this strategy into its existing business model.",https://www.jstor.org/stable/jcorpciti.57.11,Journal of Corporate Citizenship,10.2307_jcorpciti.57.11,Management & Organizational Behavior,2015.0,0,0.0001436794555047527,0,0.00169029226526618,0,0.000541024433914572
