,stance twd. cult_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score,org_score,org_pred
0,,,,"Storytelling As Oppositional Culture: Race, Class, and Gender in the Borderlands","Bonnie Mitchell and Joe Feagin, influenced by the work of Robert Blauner (1972) and Michael Hechter (1975,1978), build on the theory of oppositional culture, arguing that African Americans, American Indians, and Mexican Americans draw on their own cultural resources to resist domination under internal colonialism. Patricia Hill Collins (1991) expands the politics of domination to include interlocking systems of race, class, and gender oppression among others and also discusses cultures of resistance to oppression. One of the cultural resources these theorists stress is storytelling. This paper suggests that Gloria Anzaldúa's prose and poetry is a conscious form of oppositional culture, in that Anzaldúa's storytelling serves as a social critique of domination as well as a cultural tool for empowerment of oppressed groups. A brief analysis of Anzaldúa's Borderlands/La Frontera: The New Mestiza is provided.",https://www.jstor.org/stable/41674894,"Race, Gender & Class",10.2307_41674894,Sociology,1999.0,1,0.9998366832733154,0,0.0002567230840213597,0,0.01792990230023861,0.997531533241272,1
1,,,,Civil Rights in Reverse: Regressive policies that imperil our communities,None,https://www.jstor.org/stable/41554391,"Race, Poverty & the Environment",10.2307_41554391,Sociology,2003.0,1,0.8263587355613708,0,0.005125766154378653,1,0.9291930198669434,0.999998927116394,1
2,,,,Global-market building as state building: China's entry into the WTO and market reforms of China's tobacco industry,"This article analyzes how China's increasing engagement in the global market induced significant institution-building in China's tobacco industry and enabled a power shift from the local authorities to the central authority in controlling this market. During this process of ""getting onto the international track,"" the central government reorganized the industrial tobacco system and broke up the ""monopolies"" set up by local governments in order to enhance the competitive capacities of China's tobacco industry in the global market. Given such a concrete institutional change in China's tobacco industry, I propose the theory of ""global-market building as state building"" to explain the interactions among the global market, the nation-states, and the domestic marketbuilding projects. I suggest that nation-states strategically seek to engage themselves in the global market and that, under certain circumstances by taking advantage of their global market engagement, the nation-states can enhance their abilities to govern the domestic market.",https://www.jstor.org/stable/40587515,Theory and Society,10.2307_40587515,Sociology,2009.0,1,0.9999163150787354,0,0.0005759710329584777,0,3.758236198336817e-05,0.9999926090240479,1
3,,,,Democracy and Facism: From Europe to America,None,https://www.jstor.org/stable/20006792,"State, Culture, and Society",10.2307_20006792,Sociology,1984.0,1,0.9659264087677002,1,0.9994383454322815,0,0.0076838294044137,0.9999963045120239,1
4,,,,Situated Identities and Social Influence,"Situated identity theory postulates a process for establishing the definition of a situation and its normative structure. The normative structure is hypothesized to predict precisely the distribution of anticipated responses. A simulation study of a well-known social influence experiment illustrates the paradigm for investigating these ideas, and the results are supportive. The generality and power of situated identity theory encourage an interface between the sociological ideas of symbolic interactionists and the psychological tradition of experimentation in the approach to social psychological problems.",https://www.jstor.org/stable/3033529,Sociometry,10.2307_3033529,Sociology,1977.0,1,0.9975784420967102,0,0.00017578512779437006,0,0.00037681907997466624,0.9999988079071045,1
5,,,,Brothers and Breadwinners: Legislating Living Wages in the Fair Labor Standards Act of 1938,"Attention to the implicit and explicit wage theories articulated by economic actors and embedded in public policy reveals the underlying social norms and values in specific historical and industrial contexts. The Fair Labor Standards Act of 1938 (FLSA), the first federal minimum wage legislation in the United States, legitimated and institutionalized the idea that living standards and workers' needs matter in setting wages. They matter not simply in generating labor supply, but as the basis for government intervention in market mechanisms. Rather than viewing market mechanisms and government regulations dichotomously, economic actors debating the FLSA treated both market mechanisms and socially defined living standards as legitimate elements of wage-setting. Wage regulations also, by necessity, must grapple with issues of identity, that is, which workers (especially as defined by class, gender, and race-ethnicity) are deserving of particular living standards. Debates over the language in the FLSA reveal the contested nature of masculinity during the period of economic crisis in the 1930s. Advocates responded by defining a multiplicity of living wages corresponding with different living standards, as well as a multiplicity of strategies for achieving them.",https://www.jstor.org/stable/29770250,Review of Social Economy,10.2307_29770250,Sociology,2004.0,1,0.9576497673988342,0,0.0003605302481446415,0,0.32319095730781555,0.8586689829826355,1
6,,,,GEMEINSCHAFT AND GESELLSCHAFT IN HIGHER EDUCATION,"Large complex organizations incorporate into their framework many fields of specialization. These specialities tend to integrate, formulate common policies, regulate life conditions and uphold standards of excellence often in opposition to the large — complex organizations which require their services. In small, less complex organizations, there tends to be a closer identification with the organization and less with the speciality. The research problem was to test the validity of this theory of role complementation and conflict as related to academic organizations, the professors of smaller institutions of higher learning (colleges) were hypothesized to have a different composition of attitudes with regard to their institutions and professions than the professors of larger institutions of higher learning (universities). Samples were drawn of professors in the social sciences in contrasting institutional settings: a large university and four small colleges, all located in a large city in the midwestern United States. A questionnaire was drawn up to test six hypotheses concerning institutional and professional orientations which were theorized to differ as between the two sample groups. For five of the six hypotheses the findings were statistically significant by X² test at the .05 level. Such characteristics as age, rank, length of stay in a particular, institution, etc., of the two groups study failed to show any positive or negative relationship to professionalism. The differences between the sample groups, in short, were found to be due to institutional location. Neither the college nor the university professors were found to be exclusively professionally or institutionally oriented but responsive to both. However, differences in size, complexity, and milieu sometimes constrained one of these demands to be met at the expense of the other. Of the seven variables used to assess professional vs. institutional orientation — demands of professionalization, emphasis on teaching versus research, loyalty, conflict, publication, involvement, and independence, the findings revealed that social scientists in universities had a significantly higher professional orientation on six of these variables than those in the colleges.",https://www.jstor.org/stable/41420476,International Review of Modern Sociology,10.2307_41420476,Sociology,1973.0,1,0.997710108757019,0,0.0015109832165762782,0,0.13835972547531128,0.959470808506012,1
7,,,,q & a: the poetry of politics,None,external-fulltext-any,Contexts,10.2307_41960441,Sociology,,1,0.9610595107078552,0,0.00048434745986014605,0,0.0010851300321519375,0.9999977350234985,1
8,,,,On Norms: A Typology with Discussion,"There is a lack of consensus in the literature, spanning multiple fields, on what exactly a norm is and furthermore on the characteristics differentiating types of norms. This paper provides definitions and a simple typology of norms with a focus on useful, objective distinctions. It is hoped that such a typology will add to the scientific rigor of communication, modeling, and clarity of thought on norms within economics and possibly other disciplines. The viability of ""more complete"" typologies, which often suffer from a lack of clear criteria for differentiating types of norms, is questioned. Two main properties of a norm are emphasized: (1) whether or not the behavior is simply what is done or whether it is what one should do, and (2) the source of sanctions for violating a norm, whether oneself, others, both or neither.",external-fulltext-any,American Journal of Economics and Sociology,10.2307_41329193,Sociology,,1,0.9781479835510254,1,0.9996607303619385,0,0.0013237560633569956,0.9958922863006592,1
9,,,,Response to Commentaries,None,external-fulltext-any,Social Science History,10.2307_1171598,Sociology,,1,0.9585834741592407,0,0.0004701660363934934,0,0.33823448419570923,0.9997040629386902,1
