,stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score,org_score,org_pred
0,,,,THE TIBETAN CULTURAL PRAXIS: BODHICITTA THOUGHT TRAINING,"Over twelve centuries of Buddhist civilization, the Tibetan people have developed a comprehensive system of ethical practices which they employ to train themselves in ""the altruistic mind of enlightenment"" (bodhicitta). These ethical practices are based in large part on epistemological investigations which are aimed at disclosing the nature of understanding and the structure of perception, philosophical investigations which have much in common with Western philosophical traditions, including Phenomenology. Where the Phenomenologists pursue such inquiries without extensive consideration of the ethical consequences they might have, the Tibetan philosophers are concerned with applying these philosophical insights to ethical domains, providing for their ethical practices a sound philosophical basis, in addition to the religious basis they also have. This cultural praxis of the Tibetans is not merely a relic of South Asian civilization recorded in written texts, but constitutes a body of ordinary practices for the Tibetan people.",https://www.jstor.org/stable/23262661,Humboldt Journal of Social Relations,10.2307_23262661,Sociology,1986.0,0,0.00016018432506825775,0,0.00020082620903849602,0,0.0019346715416759253,0.7491468787193298,1
1,,,,Marital Dissolution and Work Disability: A Longitudinal Study of Administrative Data,"This study uses Norwegian administrative data in an analysis of sick leaves and receipt of health-related benefits over a period of five years surrounding marital dissolution. Expanding the literature on the poorer health of divorced compared with married individuals, it examines previously unexplored indicators of poor health and employs data collected at more frequent intervals than most prior studies. Results indicate that the selection of the less healthy into the divorced status is more important than health problems that result from marital dissolution itself; moreover, the latter effect is relatively short-lived. These results vary, however, by age, gender, and the presence of children, with stronger, negative effects of divorce found among parents and young men. Our findings are compared with the results from studies utilizing more conventional measures of health from survey data.",https://www.jstor.org/stable/3559519,European Sociological Review,10.2307_3559519,Sociology,2005.0,0,1.2982095540792216e-05,0,0.0007749610813334584,1,0.933169424533844,0.9997401833534241,1
2,,,,Strife in Nazareth: Struggles over the religious meaning of place,"This article is an ethnographic account of the two-year siege by Muslim activists of the plot adjoining a shrine in Nazareth, and the ensuing efforts by a variety of local, regional and national players to bring the crisis to a peaceful resolution before the historic visit of Pope John Paul II in March 2000. It documents the efficacy of the consecration of space by personal sacrifice and collective passion, and demonstrates the roles played by local history, demography, class and politics in struggles over the meaning of place.",https://www.jstor.org/stable/24047720,Ethnography,10.2307_24047720,Sociology,2001.0,0,0.0041122580878436565,1,0.7952229380607605,0,0.001631780294701457,0.9999994039535522,1
3,,,,Industrial Restructuring and the Casualisation of Labour: A Case Study of Subcontracted Labour in the Process Industries,"This article reports some research findings on the use of subcontracted labour in the petro-chemical industry in Durban. A review of the international literature is undertaken, and the arguments of 'Flexible Specialisation' theorists criticised. The study argues that subcontracting of labour is a complex pehonomenon which defies simplistic analysis, and attempts to demonstrate the benefits to employers of the use of subcontracted labour, the effects on the work-force, and the obstacles to its indefinite expansion.",https://www.jstor.org/stable/44461279,South African Sociological Review,10.2307_44461279,Sociology,1994.0,0,0.00581694720312953,0,0.0002767994883470237,0,0.0008724328363314271,0.9999983310699463,1
4,,,,"Intersections Among Tribalism, Ethnicity and Gender in the Light of African Data",None,https://www.jstor.org/stable/23619886,Sociological Bulletin,10.2307_23619886,Sociology,2000.0,0,5.453017365653068e-05,0,0.00024080240109469742,0,0.3894123435020447,0.9977769255638123,1
5,,,,The Social Construction of Alaska Native Vulnerability to Climate Change,"The effects and severity of anthropogenic climate change are being increasingly realized, with international efforts through the United Nations Framework Convention on Climate Change (UNFCCC) aimed at mitigation of greenhouse gas emissions and adaptation to current and future changes. Many of these adaptation measures focus on helping communities in developing nations, grounded in an inter-national framework that notes national disparities in responsibility and impact. While consideration of international inequality is an important and salient framework, it can have the unintentional effect of masking intra-national inequality, and eclipsing the role that factors such as race, class, and gender also play in shaping individual and community vulnerability to climate change. To highlight the role of such social factors in vulnerability, this paper looks at the Alaska Native village of Kivalina, an Inupiat community that must relocate due to climate change. It will be argued that while Kivalina shares many similarities with other global communities heavily impacted by climate change, due to common historic injustices, Kivalina also faces unique challenges by being located in the US, including longstanding resistance by US government and corporate interests to recognizing and acting on climate change, lack of adaptation measures, and cuts to federal disaster management. These challenges raise questions about how governments in ""developed"" countries can be held accountable when they do not adequately assist their people in danger from climate change.",https://www.jstor.org/stable/43496860,"Race, Gender & Class",10.2307_43496860,Sociology,2012.0,0,9.677011803432833e-06,0,0.0006432493100874126,1,0.9972510933876038,0.9999790191650391,1
6,,,,EROTOMETER : A TECHNIQUE FOR THE MEASUREMENT OF HETEROSEXUAL LOVE,"Although there are myriads of definitions of love in literature, philosophy, psychology, religion, sociology, and other fields, we have no quantitative technique for the measurement of heterosexual love. Therefore, the present study was aimed at the construction of such an instrument. The method employed was the Likert scaling technique, and the survey of opinions resulted in 500 items, which were derived from three sources (the literature of various disciplines, a heterogeneous group of 350 Americans, and the author himself), and which covered 18 components of heterosexual love (respect, loyalty, moral support, empathy and sympathy, sacrifice, communication, companionship, cooperation, security, physical love, and so forth). The criterion of internal consistency gave a final scale of 50 highly discriminatory statements, with a theoretical range of scores from 0 (absence of love) to 100 (complete love). A series of statistical tests enabled the writer to state the ""principle of instrumental parsimony ;"" that is, ""scientific instruments are not to be complicated without necessity"" Four tests involving happily married persons, engaged subjects, casual dates, and broken dates established the validity of the instrument. (For all values, pl. 001. Two test-retests and three split-halves also revealed the scale's reliability (all coefficients, pl. 001). The Erotometer may be employed by researchers in order to test various hypotheses and theories regarding heterosexual love ; by counselors in order to explore more systematically an important sector of a client's life; by teachers in order to facilitate relevant discussion in class; and by individual subjects in order to ascertain the nature, extent, and development of their heterosexual love.",https://www.jstor.org/stable/41495916,International Review of Sociology,10.2307_41495916,Sociology,1971.0,0,1.408108710165834e-05,0,0.00024808550369925797,0,0.0005015259957872331,0.9986990690231323,1
7,,,,TOWARD A NEW NORMATIVE (ECONOMIC) THEORY OF POLITICS,None,https://www.jstor.org/stable/29769047,Review of Social Economy,10.2307_29769047,Sociology,1981.0,1,0.9712384939193726,0,0.00038792224950157106,0,7.517770427512005e-05,0.9980362057685852,1
8,,,,"Class, Race and Gender: The Triangle of Oppression",None,https://www.jstor.org/stable/41680097,"Race, Sex & Class",10.2307_41680097,Sociology,1994.0,0,1.0982075764331967e-05,0,0.00032004917738959193,1,0.9994789958000183,0.9999991655349731,1
9,,,,"Communication Breakdown: The Chilean State and the Media, 1973-1980",None,https://www.jstor.org/stable/41035446,Berkeley Journal of Sociology,10.2307_41035446,Sociology,1991.0,1,0.9982701539993286,0,0.00011706693476298824,0,0.0008258215384557843,0.9999892711639404,1
10,,,,Social Welfare System,"The social welfare system in Korea has become a public issue recently. Before the 1997 financial crisis, policy makers as well as the general public were mainly interested in pursuing economic growth and largely downplaying welfare needs. In the wake of the crisis, however, the demand for welfare increased significantly, and this in turn has brought changes in the welfare structure, along with an expansion in welfare expenditures. This paper highlights the features of the Korean welfare system in terms of social insurance, pubic assistance, and social service. It examines the basic limitations and key issues surrounding the system. It compares the size of social welfare expenditures in Korea to other Organization for Economic Cooperation and Development (hereinafter the OECD) countries. In sum, welfare coverage, expenditures, and benefit levels are among the barriers to surmount especially in these times of high aspirations toward national unification and globalization.",https://www.jstor.org/stable/27527096,Social Indicators Research,10.2307_27527096,Sociology,2003.0,0,2.5425928470212966e-05,0,0.0814673900604248,0,0.001812573173083365,0.9999992847442627,1
11,,,,"Age, Sex, and Social Factors in Fear of Crime","The joint or combined effects of age level, sex differences, and social factors in fear of crime are systematically investigated using elaboration analysis with 1976 NORC data. Findings reveal that while the elderly are somewhat more likely to report fear of crime when compared with young and middle-aged groups, many more women express apprehension than men at each age level. Fear of being victimized is especially prevalent among those segments of the population that are the most isolated and vulnerable, notably elderly and middle-aged black women, unmarried older women living alone, elderly women in poor health, and women of all ages who had been burglarized.",https://www.jstor.org/stable/20831143,Sociological Focus,10.2307_20831143,Sociology,1980.0,0,1.6760743164923042e-05,0,0.0033704948145896196,1,0.9903776049613953,0.9999994039535522,1
12,,,,The Perils of Single Life in Contemporary Japan,"A comparison of mortality patterns by marital status in 16 industrialized countries revealed that levels of mortality experienced by single Japanese have been staggeringly high in comparison with those of married Japanese or of singles elsewhere. In this paper, we use a variety of data sources to explore several explanations for the Japanese mortality pattern. Evidence from anthropological studies and attitudinal surveys indicates that marriage is likely to have been and probably continues to be more selective with regard to underlying health characteristics in Japan than elsewhere. However, causal explanations related to the importance of marriage and the family in Japanese society probably contribute to the excess mortality of the single population.",https://www.jstor.org/stable/352968,Journal of Marriage and Family,10.2307_352968,Sociology,1993.0,0,1.8946529962704517e-05,0,0.0004874078731518239,1,0.9699977040290833,0.9999977350234985,1
13,,,,Improving School Climate for LGBT Youth: How You Can Make Change Now!,None,https://www.jstor.org/stable/10.14321/qed.0037,QED: A Journal in GLBTQ Worldmaking,10.14321_qed.0037,Sociology,2013.0,0,0.0006830237107351422,0,0.0003907034988515079,1,0.873214066028595,0.9999986886978149,1
14,,,,GLOBAL CAPITALISM AND IRAQ: THE MAKING OF A NEOLIBERAL STATE,"The 2003 invasion of Iraq and its subsequent occupation effectively erased the country's existing political and economic system, turning Iraq into a tabula rasa. The initial invasion of Iraq, beyond geo-political and other conjunctural explanations, and at a more explanatory structural level, was a response by the United States to transnational crises of over accumulation. One of the central goals of invading Iraq was to more fully integrate the country into the global capitalist system. The occupation regime attempted to formally integrate Iraq into the global economy by imposing a hyper neoliberal legal framework and policies that effectively transnationalized the Iraqi state and facilitated the development of new transnational accumulation circuits in Iraq. This article details this by analyzing the 112 laws that were imposed by the American occupation in Iraq as well as the permanent constitution that was passed in 2005. It shows that these laws opened Iraq to investors irrespective of its national origins. It concludes that this is evidence of the U.S. acting on behalf of transnational, rather than national economic interests.",https://www.jstor.org/stable/43499905,International Review of Modern Sociology,10.2307_43499905,Sociology,2014.0,0,0.004268394783139229,0,0.0001624461729079485,0,0.003605474950745702,0.9999992847442627,1
