,stance twd. demog persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
0,,,,Rotation of Expatriates in MNCs,"The article analyzes the recently highly criticized policy of rotation of expatriates in MNCs. It is based on an international comparative study of 51 MNCs and of diagnostic studies of 10 wholly-owned subsidiaries. The research clarifies that high officials at HQ are well aware of the advantages of rotation, but are not sufficiently familiar with the factors essential for its successful implementation, nor with the negative impact on the expatriates and the subsidiaries. Following the presentation of the different points of view of HQ officials, of expatriates and of senior host-country managers, the concluding part suggests several Steps whichmay increase the effectiveness of rotation and limit its inherent dysfunctions. /// Le présent article analyse la politique, récemment fort critiquée, de renouvellement des expatriés dans les sociétés multinationales. Il se base sur une étude comparative internationale de 51 sociétés multinationales etsur des études diagnostiques de 10 succursales leur appartenant entièrement. La recherche affirme que leshauts fonctionnaires des sièges centraux connaissent bien les avantages du renouvellement régulier, mais ilsne sont pas suffisamment au courant des facteurs essentiels pour leur mise en oeuvre efficace, ni de l'influence négative sur les expatriés et les succursales. Suivant la présentation des différents points de vue desfonctionnaires des sièges centraux, des expatriés et des managers supérieurs des pays-hôtes, la partie finale propose plusieurs mesures qui pourraient augmenter l'efficacité de la rotation et limiter les inconvénients qui lui sont inhérents. /// Der Beitrag befaßt sich mit dem neuerdings heftig kritisierten Arbeitsplatzwechsel von Stammhausangestellten in multinationalen Unternehmen. Er basiert auf einer international vergleichenden Untersuchung von 51 multinationalen Unternehmen und 10 im Alleinbesitz von Obergesellschaften befindlichen Tochtergesellschaften. Die Studie zeigt, daß leitende Angestellte im Stammhaus sich der Vorteile des Arbeitsplatzwechsels zwar bewußt sind, aber weder mit den für die Durchführung wichtigen Faktoren noch mit dennegativen Auswirkungen auf die Stammhausangestellten und die Auslandsniederlassung vertraut sind. Nach Prüfung der geäußerten Ansichten der leitenden Angestellten im Stammhaus, der Stammhausangestellten und der höheren Landesangestellten in der Auslandsniederlassung werden Vorschläge gemacht, welche die Effizienz des Arbeitsplatzwechsels erhöhen und mögliche Mißstände beseitigen helfen könnten.",https://www.jstor.org/stable/40227276,Management International Review,10.2307_40227276,Management & Organizational Behavior,1976.0,0,9.350369509775192e-05,0,0.0019578104838728905,0,0.30748093128204346
1,,,,Does experience matter? The effect of founding team experience on the survival and sales of newly founded ventures,"While earlier researchers have argued that the founding team's industry and start-up experience should positively affect new venture performance, robust empirical support for these arguments has been lacking. Moreover, theory suggests that the relationship between founding team experience and new venture performance may be more complex than previous empirical research suggests. We test specific hypotheses about the effect of founding team industry and start-up experience on the survival and sales of 223 new ventures initiated by a representative sample of Swedish new ventures, using a methodology that overcomes the limitations to previous research. Our results show that founding team experience enhances both new venture survival and sales, but that the effects are non-linear, and vary with venture age.",https://www.jstor.org/stable/23727583,Strategic Organization,10.2307_23727583,Management & Organizational Behavior,2006.0,0,1.2939377484144643e-05,0,0.00036737145273946226,1,0.9566771984100342
2,,,,"Balanced Scorecard, Activity-Based Costing And Company Performance: An Empirical Analysis","This study examined the complementarity effects of balanced scorecard (BSC) and activity based costing (ABC) on organizational performance. Survey data were collected from 83 U.S. manufacturing business units. Four measures of BSCperspectives were used, namely, customer satisfaction perspective, internal process perspective, financial perspective and learning and growth perspective. One measure of ABC was used. The results indicate that, except for internal process perspective, the BSC perspectives and ABC interaction has a positive significant effect on organizational perform-ance. The implications, limitations and directions for future research are discussed.",https://www.jstor.org/stable/40604433,Journal of Managerial Issues,10.2307_40604433,Management & Organizational Behavior,2003.0,0,1.0819591807376128e-05,0,0.09207551926374435,0,5.351561776478775e-05
3,,,,The Long Tail: Myth or Reality?,"In 2004 the editor-in-chief of Wired magazine, Chris Anderson, made the assumption that the Internet was bringing together scattered markets for cultural products that had not hitherto been lucrative due to their narrow market appeal. With sales of these products aggregated, he argued, they were now becoming profitable. This assumption, referred to as the ""long tail,"" proved to be persuasive. It opened up prospective new markets for cultural goods, promoting the idea that online sales could increase cultural diversity. This article examines the initial research on the long tail assumption, drawing on the results of both published and unpublished works. It concludes that, despite the appeal of this argument, the data only partially support Anderson's assumption. En 2004, Chris Anderson, rédacteur en chef de la revue Wired, a émis l'hypothèse selon laquelle internet était en train de réunir des marchés dispersés pour des produits culturels qui jusqu'alors n'étaient pas lucratifs en raison de leur faible audience. Leurs ventes regroupées, ces produits devenaient rentables. Appelée « longue traîne » (long tail), cette hypothèse s'est avérée convaincante. Elle a ouvert de nouveaux marchés prometteurs pour les biens culturels, faisant valoir l'idée que les ventes en ligne pouvaient favoriser la diversité culturelle. L'article examine la recherche initiale sur l'hypothèse de la longue traîne en s'appuyant sur des travaux publiés et non publiés. Les auteurs concluent que, malgré l'attrait de l'argumentation, les données n'appuient que partiellement l'hypothèse d'Anderson. En 2004, el redactor en jefe de la revista Wired Magazine, Chris Anderson, supuso que la Internet estaba reuniendo mercados productos culturales dispersos que no habían sido lucrativos a causa de su limitada penetración al mercado. Argumentaba, sin embargo, que al estar reunidos empezaban a ser rentables. Esta suposición, conocida como la ”larga estela” parece haber sido persuasiva. Abrió nuevas perspectivas de mercado para bienes culturales, promoviendo la idea de que la venta en línea podría incrementar la diversidad cultural. Este artículo examina la investigación inicial sobre la hipótesis de la larga estela, basándose en los resultados publicados tanto como los que no lo han sido. Concluye qué, a pesar de lo atractivo que puede parecer este argumento, los datos recolectados solo sostienen parcialmente la hipótesis de Anderson.",https://www.jstor.org/stable/41065027,International Journal of Arts Management,10.2307_41065027,Management & Organizational Behavior,2010.0,0,0.0008987842011265457,0,0.011769331991672516,0,0.0007348487270064652
4,,,,"SELF-DETERMINATION, ACCOUNTABILITY MECHANISMS, AND QUASI-GOVERNMENTAL STATUS OF BUSINESS IMPROVEMENT DISTRICTS IN THE UNITED STATES","Business improvement districts (BIDs) are special districts established by government with a nonprofit that sets policy and carries out services. Traditionally in BID literature, this arrangement is considered to be publicly authorized but privately initiated and managed. This paper argues that a more proper way of describing BIDs is that they are quasi-governmental entities, or organizations that have features of both government and private organizations. This structure lets them be more than public and more than private, one of the keys to their success. This theory that BIDs are quasi-governmental entities is supported by a survey that shows that BIDs are private entities that provide governmental services with substantial policy-setting independence from government. It also argues that quasi-governmental entities such as BIDs are created in situations where both the private market and government fail to adequately provide needed goods or services. This theory is backed up with interviews and research into why BIDs are created.",external-fulltext-any,Public Performance & Management Review,10.2307_40586800,Management & Organizational Behavior,,0,2.566053080954589e-05,0,0.00023411819711327553,0,9.061417949851602e-05
5,,,,The Transparency Paradox: A Role for Privacy in Organizational Learning and Operational Control,"Using data from embedded participant-observers and a field experiment at the second largest mobile phone factory in the world, located in China, I theorize and test the implications of transparent organizational design on workers' productivity and organizational performance. Drawing from theory and research on learning and control, I introduce the notion of a transparency paradox, whereby maintaining observability of workers may counterintuitively reduce their performance by inducing those being observed to conceal their activities through codes and other costly means; conversely, creating zones of privacy may, under certain conditions, increase performance. Empirical evidence from the field shows that even a modest increase in group-level privacy sustainably and significantly improves line performance, while qualitative evidence suggests that privacy is important in supporting productive deviance, localized experimentation, distraction avoidance, and continuous improvement. I discuss implications of these results for theory on learning and control and suggest directions for future research.",https://www.jstor.org/stable/43548317,Administrative Science Quarterly,10.2307_43548317,Management & Organizational Behavior,2012.0,0,0.0001797227159840986,0,0.1050160601735115,0,0.002541309455409646
6,,,,Television representations of food: A case study,"This paper describes the results of a semiotic analysis of one popular television food programme: 'Rick Stein's Taste of the Sea'. The analysis suggests that this programme produces a number of conventional meanings within which specific messages about food are embedded. These findings indicate that television food programmes offer the hospitality provider important insights into the contemporary cultural formation of the consumer and into the ways by which key product concepts can be marketed, which can be of benefit to the hospitality industry. In addition, the categorisation of concepts and discourses upon which food programmes draw for their meanings offers a methodological and conceptual framework for future research of the genre.",https://www.jstor.org/stable/42919209,International Journal of Tourism and Hospitality Research,10.2307_42919209,Management & Organizational Behavior,1999.0,1,0.9563668370246887,0,0.00505705364048481,0,9.099447925109416e-05
7,,,,ENTREPRENEURIAL WAY TO COOL THE EARTH,None,https://www.jstor.org/stable/43295024,Hitotsubashi Journal of Commerce and Management,10.2307_43295024,Management & Organizational Behavior,2010.0,0,0.00019903237989638,0,0.00031231195316649973,0,0.0001523049286333844
8,,,,Expert System Technology for Managerial Applications: A Typology,"Expert systems, computer programs emulating human expert decision processes, are being deployed in a variety of organizations. However, little is known about the effects of expert systems on organizational decision making. Instead, most expert system research focuses on development, implementation, and programming issues. This paper proposes an expert system typology centered on organizational decision making and founded on Simon's intelligence, design, and choice model.",https://www.jstor.org/stable/3380116,Public Productivity Review,10.2307_3380116,Management & Organizational Behavior,1989.0,0,0.0004518105706665665,0,0.00022485843510366976,0,0.00010155339987250045
9,,,,INTERNATIONAL COMPARISON OF PERSONAL VALUES AND JOB PERFORMANCE WITHIN AN INTERNATIONAL FIRM,None,https://www.jstor.org/stable/41103829,International Studies of Management & Organization,10.2307_41103829,Management & Organizational Behavior,1976.0,0,2.2766036636312492e-05,0,0.0003414660750422627,0,0.014527911320328712
