stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Averting Expected Challenges Through Anticipatory Impression Management: A Study of Hospital Billing,"Existing theory and research on organizational impression management focuses on how spokespersons use remedial tactics, following image-threatening events, to put their organization in the best possible light. By contrast, little theory or research has considered how organizations use impression management tactics to avert undesirable responses to upcoming events. This paper uses a qualitative and inductive study of billing procedures at three large hospitals to develop theory about how organization members use impression management tactics to fend off specific, expected challenges to organizational practices that are ambiguously negative. We found that hospitals use anticipatory impression management tactics to: (1) distract, diminish, or overwhelm patients' attention to hospital charges; and (2) to induce emotions that lead patients to simplify their information processing of those charges. Hospitals appear to use such anticipatory obfuscations both to fend off patients' initial challenges and to prevent their existing challenges from escalating. We discuss these findings in terms of their contributions to theories of symbolic management, social influence, and routine service encounters.",https://www.jstor.org/stable/2640422,Organization Science,10.2307_2640422,Management & Organizational Behavior,1998.0,1,0.9969891905784607,0,0.0005817821947857738,0,0.0013747219927608967
,,,CONTEXTS AND CORPORATE VOLUNTARY ENVIRONMENTAL BEHAVIORS: Examining the EPA's Green Lights Voluntary Program,"Why do an increasingly large number of firms choose to spend their own money and resources to protect the environment beyond the extant regulatory requirements? This article addresses this question by examining the EPA's Green Lights (GL) voluntary program in which a firm's policy makers made an early commitment to limiting greenhouse gases through the installation of energy-efficient lighting technology in its facilities. Two theoretical perspectives—resource-based theory and neo-institutional theory—are adopted to investigate the contexts by which a firm is encouraged to undertake voluntary environmental actions and evaluate environmental strategies associated with them. Accordingly, the authors focus on two major contexts: market contexts in which a firm adopts voluntary actions as a strategic response to market pressures and to advance competitiveness; and institutional contexts in which a firm takes voluntary postures as a strategic response to institutional pressures, to obtain institutional legitimacy and weaken regulatory scrutiny. The research results partially support both contexts and their associated strategic behaviors.",https://www.jstor.org/stable/26161964,Organization & Environment,10.2307_26161964,Management & Organizational Behavior,2007.0,1,0.9999685287475586,0,0.032635923475027084,0,6.951316026970744e-05
,,,"Taking off: Category contrast and organizational mortality in the UK airline industry, 1919-64","This study analyzes the role of Category contrast in the context of an emerging industry. The level of contrast, the degree to which a category stands out from its background, appears to be an important aspect of the legitimation process, but as of yet poorly understood. The article explores three potential roles: as providing legitimacy to the category as such, as allowing for legitimacy spillovers to peripheral members, and as strengthening density-dependent legitimation. The study investigates these potential roles using longitudinal data on organizational naming patterns in the early passenger airline industry in the United Kingdom.",https://www.jstor.org/stable/43581891,Strategic Organization,10.2307_43581891,Management & Organizational Behavior,2013.0,1,0.9999653100967407,1,0.9633453488349915,1,0.8433064818382263
,,,Institutional Change in Italian Museums: Does the Museum Director Have a Role to Play?,"Consistent with the increasing managerialization of the Italian museum sector, in 1999 the National Museum of Science and Technology (NMST) was transformed into a private foundation. In 2001 the museum hired a director with managerial experience who adopted a market-oriented strategy. Recent findings in new institutional theory, the framework on which this study is based, show that organizational leaders can play a critical role in the pattern of adopting institutional changes/practices. Nevertheless, the conditions under which a museum director is able to adopt institutional changes/practices are still unclear and the effects of change on organizational, social and technical performance remain under-explored. The NMST is an ideal case for investigating these issues because of its recent transformation. This study found that the relationship among the director's background, the adopted strategy and institutional pressures created the conditions for adopting institutional changes/practices, with positive effects on both social and technical performance. Suivant la « managérialisation » croissante du secteur muséal en Italie, en 1999 le Musée national des sciences et de la technologie (MNST) est devenu une fondation privée. En 2001, il embauchait un directeur avec expérience de gestion qui a adopté une stratégie axée sur le marché. De récentes conclusions de la nouvelle théorie institutionnelle, dont s'inspire la présente étude, montrent que les leaders organisationnels peuvent jouer un rôle critique dans le type de réponse à la pression institutionnelle. Néanmoins, les conditions dans lesquelles un directeur de musée peut réagir à ce genre de pression restent obscures et les effets du changement sur le rendement organisationnel, social et technique restent à explorer sérieusement. Le MNST est un cas idéal pour l'étude de ces questions en raison de sa récente transformation. Cette étude a révélé que le rapport entre les antécédents du directeur, la stratégie adoptée et les pressions institutionnelles a créé les conditions nécessaires pour répondre à ces pressions et influencé positivement le rendement sur les plans social et technique. De la mano de la creciente transformación hacia la gestión comercial en el sector de los museos en Italia, en 1999 el Museo Nacional de Ciencia y Tecnología (MNCT) pasó a ser una fundación privada. En 2001, el museo contrató a un director con experiencia en gestión, el cual adoptó una estrategia orientada hacia el márketing. Los avances recientes en el campo de la nueva teoría institucional, que forman el marco que da sustento conceptual a este trabajo, señalan que los líderes dentro de la organización pueden desempeñar un papel vital en la conformación de la respuesta ante la presión institucional. No obstante, no hay total claridad aún sobre las condiciones que deben reunirse para que el director de un museo pueda responder a la presión institucional, y queda mucho por examinar respecto de los efectos del cambio sobre el desempeño organizativo, social, y técnico. El MNCT, con su reciente transformación, se presenta como un caso ideal para la investigación de estas cuestiones. El presente estudio concluye que la relación entre los antecedentes del director, la estrategia adoptada y las presiones institucionales crearon las condiciones idóneas para responder a la presión institucional, generando efectos positivos tanto en el desempeño social como en el técnico.",https://www.jstor.org/stable/41064883,International Journal of Arts Management,10.2307_41064883,Management & Organizational Behavior,2006.0,1,0.9999926090240479,0,0.01236715167760849,0,0.0005071859923191369
,,,Regressive Values and Public Administration,"Public administration in Western nations functions within a liberal-democratic societal context that shapes the roles and work of public service academicians and practitioners. In recent decades, values enacted in the societal context have increasingly been regressive, emphasizing aggressiveness, premodern belief, economics as an end in itself, great social inequality, and Earth as a resource pool for business activities. This trend is in contrast to the progressive values of cooperation, knowledge of and openness to alternatives, economics as means, limited inequality, and Earth as a home to be protected. The emphasis on regressive values is particularly apparent in the United States, which may be used to illustrate the nature of the phenomenon. This paper discusses the potential for public administration academicians to counter the spread of regressive values and encourage enactment of progressive values.",https://www.jstor.org/stable/20447659,Public Performance & Management Review,10.2307_20447659,Management & Organizational Behavior,2007.0,1,0.9985039234161377,0,0.0032280106097459793,0,0.0001254177332157269
,,,Toward a Psychological and Cultural Model of Downsizing,"Organizational downsizing is often counterproductive and applied irrespective of past financial performance. The popularity of this tactic leads to the question of whether an executive's propensity to downsize is linked to characteristics such as uncertainty avoidance and risk tolerance, which can be examined at either an individual or societal level.",https://www.jstor.org/stable/4093868,Journal of Organizational Behavior,10.2307_4093868,Management & Organizational Behavior,2005.0,1,0.9626127481460571,0,0.0011284125503152609,1,0.9267858862876892
,,,The Effect of National Culture on the Choice between Licensing and Direct Foreign Investment,"This paper argues that national differences in levels of trust impact perceptions of transactions costs and thereby influence the desirability of internalization and the choice of foreign market entry mode. The paper tests this framework on industry level data from the United States Commerce Department's Benchmark Survey of operations of U.S.-based manufacturing multinational corporations in 1977 and 1982, and shows that cultural differences in trust do influence perceptions of transaction costs and the preference for direct foreign investment across countries.",https://www.jstor.org/stable/2486896,Strategic Management Journal,10.2307_2486896,Management & Organizational Behavior,1994.0,1,0.9989749193191528,1,0.6722378730773926,0,7.193890633061528e-05
,,,Moral Sanctions: Ethical Norms as a Solution to Corporate Governance Problems,"This paper hopes to make more plausible the claim that ethical norms offer a powerful basis to solve corporate governance and corporate responsibility problems. This is necessary because ethical norms have not tended to be given a significant role by conventional approaches to these problems, whether at the theoretical or the public policy level. The emphasis, instead, has been on government intervention and market mechanisms of various kinds. The paper provides a brief account of the new theoretical work on ethical norms, which shows how they can give rise to moral sanctions that provide powerful incentives for agents to exercise self-restraint. Drawing on this work, the paper presents a preliminary account of how ethical norms may be able to play a powerful role in addressing corporate governance and corporate responsibility problems. The paper calls for the development of a more complete ‘norms theory’ of corporate governance and corporate responsibility as the basis for more effective remedies to governance problems in the future.",https://www.jstor.org/stable/jcorpciti.15.49,Journal of Corporate Citizenship,10.2307_jcorpciti.15.49,Management & Organizational Behavior,2004.0,1,0.9948996901512146,1,0.7846099138259888,0,4.2568477510940284e-05
,,,"Institutional, cultural and contextual factors: Potential drivers of the culinary innovation process","This study compares the innovation process used by Michelin-starred chefs, and examines the potential impacts of institutional, cultural and contextual factors. The findings reveal a synthesis of similarities and differences used by the Spanish, German and US chefs. Similarities include a relatively sequential and top-down process and a stress on the importance of a closely connected network within culinary innovation. Key differences include the level of involvement throughout the process, the level at which technology is embraced in the process, the level of customer-focused decisions, and the likelihood of using test kitchens or food scientists in the innovation process.",https://www.jstor.org/stable/23745360,Tourism and Hospitality Research,10.2307_23745360,Management & Organizational Behavior,2009.0,1,0.999971866607666,0,0.009585533291101456,0,0.0003497750440146774
,,,For Love or Money? Commodification and the Construction of an Occupational Mandate,"This study examines how occupational mandates-the socially conferred right to perform a given set of tasks-are negotiated by nascent occupations. Because researchers typically examine occupational formation long after it has begun, they neglect activities that occur prior to the acquisition of key institutional supports. The commodification of work is one such activity. Work becomes a commodity when audiences deem a formerly unpaid activity worthy of remuneration. This study draws on ethnographic data to examine the strategic patterns of situated activity and interaction used by one fledgling occupation, emergency medical services, to convince key audiences that their work is indeed worthy of compensation. Strategies used to construct and communicate in situ impressions of expertise, consistency, fungibility, and contractual relations are examined. The results of the study shed light on the interactional foundation of institutionalization.",https://www.jstor.org/stable/2393652,Administrative Science Quarterly,10.2307_2393652,Management & Organizational Behavior,1997.0,1,0.9999351501464844,0,0.004499586299061775,0,0.0020649051293730736
