stance twd. demog persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,LIMITS OF MULTIPLE GROUP MEMBERSHIP IN R&D PROJECT GROUPS,"The moderating effect of single versus multiple group membership on the relationship between group characteristics and individual role perceptions was investigated within an R&D organization. Differential effects include cohesiveness on role overload and ambiguity; goal clarity on role clarity, internal fragmentation on role load. No effects were found for homogeneity and communications.",https://www.jstor.org/stable/43294952,Hitotsubashi Journal of Commerce and Management,10.2307_43294952,Management & Organizational Behavior,1995.0,0,5.7787110563367605e-05,0,0.0031149594578891993,1,0.985816478729248
,,,German Reunification -Impacts on the Situation of Female Employees,"• The reunification of Germany in 1989 resulted in drastic socio-economic change, including a transformation of the economic structures and technologies of the new German Länder. This empirical analysis based on 66 interviews and a sociological longitudinal-section survey, looks into the status of female employees in enterprises in East Germany and how it has changed. The study covers three main areas: 1) jobs and job conditions, such as employment opportunities for female employees, job security and chances for further education; 2) the actual work environment, i. e. for instance assessment by colleagues and superiors; and 3) the female employee as such, which examines, e. g., professional and career orientation.",https://www.jstor.org/stable/40835732,MIR: Management International Review,10.2307_40835732,Management & Organizational Behavior,1999.0,0,2.4430548364762217e-05,0,0.00043581167119555175,1,0.978538453578949
,,,Toward a game theory of organizational ecology: production adjustment costs and managerial growth preferences,"This paper merges two theoretical perspectives in a mathematical game-theoretic modeling approach: industrial organization on the one hand, which basically is the economic theory of market competition and firm strategies, and organizational ecology on the other hand, which is a major sociological tradition that studies the evolution of organizational populations. The merger is instrumental in analyzing a key question in strategic organization: what is the role of flexibility, inertia and efficiency in facilitating firm performance in a selection environment, in terms of both profitability and survival? We argue particularly that game theory can offer a mathematical model of organizational ecology. In this paper we explore two modeling examples. The first model introduces production adjustment costs and the second managerial growth preferences in a Cournot duopoly game. Both models support organizational ecology's claim that an inert firm may push a flexible rival from the market. Moreover, four additional results are worth mentioning. First, a firm's profit-enhancing flexibility or inertia profile is contingent upon the market's carrying capacity development. Second, the inert firm may even outperform its flexible rival when the inert market leader faces a cost disadvantage. Third, this may happen in a munificent environment, implying that cut-throat rivalry can be the result of strategic competition only, as it is facilitated by organizational inertia. Fourth, in response to the rival's flexibility or inertia profile, a firm can calculate its profit-maximizing production adjustment cost or managerial growth objective strategy.",https://www.jstor.org/stable/23727420,Strategic Organization,10.2307_23727420,Management & Organizational Behavior,2003.0,0,5.4787975386716425e-05,0,0.00021741421369370073,1,0.9992096424102783
,,,Impacts of entrepreneurs' stress and family members on SMEs' business success in Serbian family-owned firms,"This paper focuses on micro, small and medium-sized enterprises in Serbia, with a special emphasis on family-owned businesses. The main goal of this research is to analyze family business owners' perception of stress caused by high levels of responsibility and flexible working hours, as well as to analyze the influence of family member employees on the success of a company. This research has confirmed that high levels of responsibility and flexible working hours do not represent important factors for giving up on starting a business. Furthermore, owners perceive these two stressors as ""positive"" stress. The second important result of this study is that a large number of family member employees, and unclear hierarchy between them, can endanger a company's success in terms of annual income and annual turnover. Dieser Beitrag konzentriert sich auf kleinste, kleine und mittlere Unternehmen in Serbien, mit einem Fokus auf Familienunternehmen. Das Ziel dieser Studie ist die Analyse der Stresswahrnehmung des Eigentümers des Familienunternehmens, verursacht durch ein hohes Maß an Verantwortung und flexiblen Arbeitszeiten. Ebenso wird der Einfluss von mitarbeitenden Familienmitgliedern auf den Unternehmenserfolg untersucht. Diese Forschungsarbeit bestätigt, dass ein hohes Maß an Verantwortung und flexible Arbeitszeiten keine wichtigen Faktoren gegen die Unternehmensgründung sind. Darüber hinaus nehmen die Besitzer diese beiden Stressoren als ""positiven"" Stress wahr. Das zweite wichtige Ergebnis dieser Studie ist, dass eine große Anzahl an mitarbeitenden Familienmitgliedern, und eine unklare Hierarchie zwischen ihnen, den Unternehmenserfolg im Hinblick auf den jährlichen Ertrag und den jährlichen Umsatz gefährden können.",https://www.jstor.org/stable/24573642,Journal of East European Management Studies,10.2307_24573642,Management & Organizational Behavior,2015.0,0,1.8707702110987157e-05,1,0.967359721660614,1,0.9080982804298401
,,,"Power, Safety, and Learning in Racially Diverse Groups","We propose that power inequities drive dynamics in racially diverse teams, often leading to conflict withdrawal or assimilation--all of which can impede team learning. We suggest several elements to address these dynamics, including identity safety or the belief that one is safe despite one's racial identity; a perspective that values cultural identity as a resource for thinking about work; and a welcoming stance toward new information and differing opinions.",https://www.jstor.org/stable/40214569,Academy of Management Learning & Education,10.2307_40214569,Management & Organizational Behavior,2009.0,0,3.883451427100226e-05,0,0.0005943063297308981,1,0.997853696346283
,,,Gender and technological hazards: women at risk in hospital settings,"In this paper, we describe and analyze hospitals as dangerous places to work. We summarize into four major areas the technological and social hazards to which health care workers are exposed: physical hazards and accidents, chemical or toxicological hazards, infectious diseases, and social hazards — including stress and sexual harassment. Further, we discuss the structural barriers which mitigate workers' perceptions of these risks and limit their ability to define their workplace as dangerous. Primary among these are the occupational hierarchy, including sex and race segregation, and the differential vulnerability related to that hierarchy. We conclude that in place of a narrow research focus on the biological and technological nature of workplace hazards, we must also bring the worker in as a central and necessary actor to achieving a safe environment.",https://www.jstor.org/stable/26162822,Industrial Crisis Quarterly,10.2307_26162822,Management & Organizational Behavior,1992.0,0,0.0069159651175141335,0,0.01300249807536602,1,0.9995404481887817
,,,Strategic Leadership and Executive Innovation Influence: An International Multi-Cluster Comparative Study,"This study investigates the relationship of strategic leadership behaviors with executive innovation influence and the moderating effects of top management team (TMT)'s tenure heterogeneity and social culture on that relationship. Using survey data from six countries comprising three social cultures, strategic leadership behaviors were found to have a strong positive relationship with executive influence on both product--market and administrative innovations. In addition, TMT tenure heterogeneity moderated the relationship of strategic leadership behaviors with executive innovation influence for both types of innovation, while social culture moderated that relationship only in the case of administrative innovation.",https://www.jstor.org/stable/20142257,Strategic Management Journal,10.2307_20142257,Management & Organizational Behavior,2005.0,0,0.0011233289260417223,0,0.00012180118937976658,1,0.8413307070732117
,,,PERSPECTIVES ON THE QUALITY OF WORKING LIFE,None,https://www.jstor.org/stable/41575562,International Studies of Management & Organization,10.2307_41575562,Management & Organizational Behavior,1978.0,0,0.0001343451876891777,0,0.0003581822966225445,1,0.9604243040084839
,,,Pay Satisfaction And Sales Force Turnover: The Impact Of Different Facets Of Pay On Pay Satisfaction And Its Implications For Sales Force Management,"Of all the many properties that characterize work in formal organizations, pay is one of the most important. Pay satisfaction has been found to influence significant organizational behavior variables, including turnover. What has received little attention in the sales literature is how different aspects of a salesperson's pay affect his or her satisfaction with that pay. The primary objective of this study is to investigate how pay type, pay level, and internal and external perceptions of pay equity affect salespersons' satisfaction with pay. Results suggest that internal and external perceptions of pay equity were the most important variables in explaining salespersons' satisfaction with pay, even more important than level of pay. Implications for sales force management and future research are presented based on these findings.",https://www.jstor.org/stable/40604098,Journal of Managerial Issues,10.2307_40604098,Management & Organizational Behavior,1996.0,0,6.578715328942053e-06,0,0.00020266826322767884,1,0.9583014845848083
,,,Job Reward Preferences of Mexican-American and Anglo Public Employees,"The authors compare job reward preferences of Chicano and Anglo public employees in a Southwestern metropolitan area. They find that Anglos are significantly more likely to prefer intrinsic reward, e.g. a challenging job assignment, than their Mexican-American counterparts. This difference was unaffected by controls for age, gender, job tenure, occupational level, and education. Local managers should consider selective application of management strategies dealing with interpersonal communications and cooperation in the task environment.",https://www.jstor.org/stable/3379853,Public Productivity Review,10.2307_3379853,Management & Organizational Behavior,1980.0,0,2.9080834792694077e-05,0,0.0005264266510494053,1,0.9992577433586121
