stance twd. demog_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Sticky Aspirations: Organizational Time Perspective and Competitiveness,"Managers evaluate the organizational performance by comparing it with historical aspiration levels, and are more likely to make strategic changes when the performance falls below the aspiration level. Historical aspiration levels can be updated with different speed, because a focus on current performance will lead to quickly adjusting aspiration levels where historical performance has low weight, while a focus on past performance will lead to slowly adjusting performance levels where the current performance has low weight. A simulation model of aspiration-level learning and strategic change under uncertainty yields the following findings: (1) Slow adjustments of an aspiration level gives higher performance across different levels of environmental uncertainty, (2) slow adjustments of aspirations will dominate in populations with different adjustment levels if low-performing organizations are removed and replaced by organizations of the form currently performing best, and (3) stronger selection leads to faster domination by slow adjusters. Empirical analysis of format changes in radio stations finds slow adjustment of aspiration levels to be prevalent, and finds slower adjustment in competitive markets, as predicted.",https://www.jstor.org/stable/3086063,Organization Science,10.2307_3086063,Management & Organizational Behavior,2002.0,0,1.3906811545894016e-05,1,0.6288113594055176,1,0.8839653730392456
,,,The Predictive Validity of the Karnani and Wernerfelt Model of Multipoint Competition,"This study is the first to examine the predictive validity of the Karnani and Wernerfelt theoretical model. We developed measures for four variables, and explored whether they successfully operationalized the dimensions in the theoretical model. The model proposed four response strategies, and six were observed in the data. Incumbent firms most frequently did not respond at all to another firm's entry, even though a counterattack response was predicted by the model. Since the independent variables did not predict responses as proposed by the model, exploratory analyses identified ""best"" predictors of responses.",https://www.jstor.org/stable/2486916,Strategic Management Journal,10.2307_2486916,Management & Organizational Behavior,1995.0,0,1.5247645933413878e-05,1,0.9979141354560852,1,0.9894877672195435
,,,The Impact of Path-Goal Leadership Styles on Work Group Effectiveness and Turnover Intention,"Leaders continuously seek to improve organizational performance and enhance work group effectiveness to drive competitiveness and curtail the cost of employee turnover. The diversity of many work groups in the U.S. creates potential benefits and challenges for their leaders. Using data gathered from a manufacturing facility in southeastern U.S., this study examines how Path-Goal leadership styles, diversity, work group effectiveness, and work group members' turnover intention are related. Although all three Path-Goal leadership styles demonstrated significant positive correlations with work group effectiveness, only the Supportive style showed a significant negative relationship with turnover intention. Interestingly, work group effectiveness showed no significant correlation with turnover intention.",https://www.jstor.org/stable/25822515,Journal of Managerial Issues,10.2307_25822515,Management & Organizational Behavior,2010.0,0,1.6183599655050784e-05,1,0.995940089225769,1,0.9999455213546753
,,,Government Reinvention and Affirmative Action: Implications for Women and Minorities,"Government reinvention and downsizing threatens the past accomplishments and future opportunities for women and other minorities in public service. This collective threat, the implication for discriminatory practices, and the resulting social inequities have not been addressed. It is politically and socially important for women and minorities, who achieved middle-class status because of affirmative action, to reemphasize the importance of the policy and the substantive role it must play in public service.",https://www.jstor.org/stable/3380978,Public Productivity & Management Review,10.2307_3380978,Management & Organizational Behavior,1997.0,0,0.0515076145529747,1,0.5712891221046448,1,0.9999183416366577
,,,"East German economic elites and their companies two decades after the transformation (""Wende""): Still following the patterns of the 1990s","Surveys among entrepreneurs and managing directors of companies with 50 to 1,000 employees are used to describe features of managerial elites in East Germany. The paper looks at four dimensions: (1) the reproduction of economic elites during the transformation period and its current consequences; (2) the development of ""family capitalism"" and processes of social closure; (3) qualification patterns of management; and (4) different attitudes of East and West German elites. Managers who were socialised in state socialist combines are still a large proportion of East German economic elites. Owing to their age distribution, changes in top management will be probable, and their effects on enterprises and social relations are discussed in the paper. Befragungsdaten von Leitern eigenständiger Industrieunternehmen der Größenklassen 50 bis 1,000 Beschäftigte werden genutzt, um gegenwärtige Entwicklungen ostdeutscher Wirtschaftseliten zu beschreiben. Es werden vier Analysedimensionen berücksichtigt: (1) die Reproduktion ökonomischer Eliten nach der Wende und ihre Auswirkung auf die Unternehmensführungen heute; (2) die Entwicklung „familienkapitalistischer“ Strukturen in Ostdeutschland und Prozesse der sozialen Schließung; (3) Qualifikationsprofile des Managements sowie (4) Einstellungsunterschiede zwischen ost- und westdeutschen Wirtschaftseliten. Die ostdeutschen Unternehmungsleitungen umfassen immer noch viele Personen, die in der DDR-Wirtschaft sozialisiert wurden. Aufgrund der Altersstruktur dieser ostdeutschen Eliten ist ein künftiger Generationswechsel an der Spitze von Unternehmen wahrscheinlich, dessen mögliche Folgen für Unternehmen und betriebliche Sozialordnungen diskutiert werden.",https://www.jstor.org/stable/23280964,Journal of East European Management Studies,10.2307_23280964,Management & Organizational Behavior,2008.0,0,0.03442341461777687,0,0.14719107747077942,1,0.8415443897247314
,,,MEASURING RACIAL DISPARITIES IN TRAFFIC TICKETING WITHIN LARGE URBAN JURISDICTIONS,"As racial profiling has emerged as one of the most contentious and persistent issues confronting law enforcement and public officiais across the nation in the last 20 years, research in this area has evolved rapidly. Although an increasing number of studies have been conducted on racial profiling in traffic enforcement, scholars have not reached a consensus on how best to estimate the driving population to compare with racial traffic ticketing data from a jurisdiction. This study combines traffic flow data for the city of Cleveland with residential census data to estimate the city's driving population. This provides a more precise estimate of the driving population than estimates obtained from traffic flow and census data used separately, as in earlier studies. This study finds that although blacks are a majority of city residents, they are not the majority of the driving population, yet are more likely to be ticketed than whites.",external-fulltext-any,Public Performance & Management Review,10.2307_40586772,Management & Organizational Behavior,,0,8.988193258119281e-06,0,0.00022109424753580242,1,0.9994016885757446
,,,Embracing Jazz: Exploring Audience Participation in Jazz Music in Its Birthplace,"Jazz is an American art form that has become a reflection of universal passions, emotions and the human experience. However, American audience participation for the art form is declining. New Orleans has long been heralded as the birthplace of jazz, and although jazz music can be heard at various venues as well as music festivals throughout the city, local audiences do not make up the majority at venues dedicated to jazz performance. This study examines barriers to audience participation for jazz music. Specifically, audience participation in New Orleans is explored using the Motivation, Ability, Opportunity model as a guiding framework. Empirical evidence, consisting of residents' insights concerning jazz and possible barriers to participation, was gathered via in-depth interviews. Further, drawing from the literature on consumer engagement and brand experience, a model is proposed to address how such barriers might be overcome through strategic marketing efforts that create meaningful and engaging jazz consumption experiences. Le jazz est une forme d'art américaine qui a su refléter les passions, les émotions et l'expérience humaine. Cependant, la participation du public américain à cet art est en déclin. La Nouvelle-Orléans est reconnue pour être le berceau du jazz, et bien qu'il soit possible d'entendre cette musique dans divers lieux de la ville tels que les festivals de musique, le public local ne constitue pas la majorité dans les lieux dédiés aux spectacles de jazz. Cette étude examine les barrières à la participation du public aux spectacles de jazz. En particulier, cette participation du public à La Nouvelle-Orléans est examinée à travers le modèle des motivations, des compétences et des occasions, lequel sert de cadre de référence. Les évidences empiriques, consistant dans les opinions des résidants au sujet du jazz et dans les possibles barrières à la participation, ont été recueillies au moyen d'entrevues en profondeur. De plus, s'appuyant sur la littérature concernant le comportement du consommateur et l'expérience de marque, un modèle indique comment de telles barrières peuvent être surmontées grâce à l'élaboration de stratégies de marketing susceptibles de créer des expériences de consommation du jazz signifiantes et engageantes. Eljazz es una forma de arte estadounidense que se ha vuelto el reflejo de pasiones, emociones y experiencia humana universales. Sin embargo, la participación del público estadounidense en esta forma de arte va disminuyendo. En Nueva Orleans, la proclamada cuna deljazz, sigue oyéndose esta música en varios lugares y festivales sin embargo en estos eventos dedicados al jazz el público local es minoría. En este estudio se analizan los obstáculos para la participación en la música jazz, y más específicamente, la participación del público de Nueva Orleans utilizando el modelo Motivación, Capacidad, Oportunidad como marco rector. Los datos empíricos se recogieron mediante entrevistas detalladas en las cuales se buscaban la percepción de los residentes del jazz y los posibles obstáculos a su participación. Basándose en la documentación sobre el compromiso del consumidor y la experiencia de marca, se propone un modelo que permita vencer dichos obstáculos mediante esfuerzos estratégicos de mercadotecnia que lleven a la creación de experiencias valiosas y atractivas de consumo de jazz.",https://www.jstor.org/stable/24587099,International Journal of Arts Management,10.2307_24587099,Management & Organizational Behavior,2013.0,0,0.00021006364841014147,0,0.0007514323806390166,1,0.9910741448402405
,,,Conflict between Work and Life: The Case of Contract Workers in the German IT and Media Sectors,"Many studies examine issues of work-life conflict of employees. However, in research on work-life conflict little attention has been given to contract workers to date. This is rather surprising as there are indications that the specific working conditions of contract workers can have consequences for their work-life conflict. Therefore, the purpose of this paper is to reduce the existing research gap by presenting a study which analyzes the antecedents of the work-life conflict of contract workers in the IT and media sectors. Results show that the work-life conflict of contract workers is significantly influenced by working hours and income. Furthermore, the number of younger children has a significant impact on their work-life conflict when regarded in interaction with gender. All in all, this study contributes to a differentiated understanding of work-life conflict in the specific case of contract workers.",https://www.jstor.org/stable/23610680,Management Revue,10.2307_23610680,Management & Organizational Behavior,2013.0,0,1.4466360880760476e-05,0,0.0012746223947033286,1,0.8960678577423096
,,,"Explaining Organizational Diseconomies of Scale in R&D: Agency Problems and the Allocation of Engineering Talent, Ideas, and Effort by Firm Size","The comparative efficiency and success of small firms in R&D remains largely unexplained. This paper empirically examines scale diseconomies in offering employment contracts as an explanation for diseconomies of scale in R&D. The paper argues that small firms more efficiently resolve the severe agency problems of hidden information and hidden behavior in R&D. Small firms more efficiently offer contracts that reward performance than large firms, and consequently, small firms attract and retain engineers with higher ability and skill. Further, small firms through these more performance-contingent contracts induce higher levels of effort than large firms. The study tests and generally confirms these hypotheses using data collected from 912 current and former engineering employees of two large high-technology companies.",https://www.jstor.org/stable/2633051,Management Science,10.2307_2633051,Management & Organizational Behavior,1994.0,0,1.4476311662292574e-05,0,0.0002451412728987634,1,0.9989275336265564
,,,The Boundaryless Career: A Competency-Based Perspective,"This paper proposes a competency-based view of careers, derived from competency-based models of employer firms. The implications for boundaryless careers are explored by reference to changing organizational, occupational and industry community contexts. All of these contexts are seen as likely to promote boundaryless career behaviors. Future research possibilities for each of three career competencies, and for interdependence among the competencies, are briefly examined.",https://www.jstor.org/stable/2488429,Journal of Organizational Behavior,10.2307_2488429,Management & Organizational Behavior,1994.0,0,0.00023469817824661732,0,0.0003983978240285069,1,0.9849338531494141
