stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Configurations Revisited,"My 1986 article in SMJ represented an early attempt to apply the approach of configuration to the field of strategy. Now, 10 years later, we still have far to go. What is often lacking from the configurational literature is the search for configuration itself: for complex systems of interdependency and their core orchestrating themes. In this note I address the two major approaches to configuration: conceptually derived typologies and empirically based taxonomies. Some shortcomings of this work are identified and a few ambitious remedial suggestions are advanced. I then propose a third approach-studying configuration as a variable or quality within each organization that can create or destroy competitive advantage.",https://www.jstor.org/stable/2486729,Strategic Management Journal,10.2307_2486729,Management & Organizational Behavior,1996.0,0,0.001094156177714467,1,0.9999752044677734,0,0.001912906183861196
,,,Exploring the myth: The sinking of the Titanic,None,https://www.jstor.org/stable/26162281,Industrial & Environmental Crisis Quarterly,10.2307_26162281,Management & Organizational Behavior,1994.0,0,0.13191381096839905,1,0.9999593496322632,0,0.02646261267364025
,,,After-Effects of Job-Related Stress: Families as Victims,"In recent years, the unique stress experienced by those who do `people work' has been acknowledged by the helping professions as a widespread problem and has been recognized by social scientists as a topic requiring systematic research. This paper begins by briefly reviewing research on the type of job stress experienced by workers in the helping professions. Then, a study of 142 police couples is reported, illustrating the effects of job stress on family life. In a survey study, police officers and their wives described family interactions. Officers who were experiencing stress, as measured by the Maslach Burnout Inventory, were more likely to display anger, spend time off away from the family, be uninvolved in family matters, and to have unsatisfactory marriages. An examination of the coping patterns used to deal with the stress of police work highlights differences between coping strategies used by husbands versus wives.",https://www.jstor.org/stable/3000298,Journal of Occupational Behaviour,10.2307_3000298,Management & Organizational Behavior,1982.0,0,1.947576856764499e-05,1,0.9992474317550659,0,0.0667526051402092
,,,Editorial,None,https://www.jstor.org/stable/jcorpciti.61.3,Journal of Corporate Citizenship,10.2307_jcorpciti.61.3,Management & Organizational Behavior,2016.0,0,0.002183054806664586,1,0.9993372559547424,0,8.314904698636383e-05
,,,National Factors Determining Indian and British HRM Practices: An Empirical Study,"This paper initially highlights the strong need for more cross-national HRM studies and presents four national factors of national culture, institutions, dynamic business environment and business sector (along with their main aspects) which are expected to influence HRM in different national settings. It then reports the results from two large scale parallel surveys regarding the impact of these four national factors on Indian and British HRM in a comparative context.",https://www.jstor.org/stable/40228485,MIR: Management International Review,10.2307_40228485,Management & Organizational Behavior,1998.0,0,9.747598596732132e-06,1,0.9997919201850891,0,0.00020093098282814026
,,,Thirty Years after Michael E. Porter: What Do We Know about Business Exit?,"Although a business exit is an important corporate change initiative, the buyer's side seems to be more appealing to management researchers than the seller's because acquisitions imply growth, i.e., success. Yet from an optimistic viewpoint, business exit can effectively create value for the selling company. In this paper we attempt to bring the relevance of the seller's side back into our consciousness by asking: What do we know about business exit? We start our exploration with Porter (1976), focusing on literature that investigates the antecedents of, barriers to, and outcomes of business exit. We also include studies from related fields such as finance and economics. Through this research we determine three clusters of findings: factors promoting business exit, exit barriers, and exit outcomes. Overall, it is the intention of this paper to highlight the importance of business exit for research and practice. Knowing what we know about business exits and their high financial value we should bear in mind that exit need not mean failure but a new beginning for a corporation.",https://www.jstor.org/stable/27747372,Academy of Management Perspectives,10.2307_27747372,Management & Organizational Behavior,2007.0,0,5.557466283789836e-05,1,0.9852398633956909,0,0.0017701723845675588
,,,Optimization of the Transient and Steady-State Behavior of Discrete Event Systems,"We present a general framework for applying simulation to optimize the behavior of discrete event systems. Our approach involves modeling the discrete event system under study as a general state space Markov chain whose distribution depends on the decision parameters. We then show how simulation and the likelihood ratio method can be used to evaluate the performance measure of interest and its gradient, and we present conditions that guarantee that the Robbins-Monro stochastic approximation algorithm will converge almost surely to the optimal values of the decision parameters. Both transient and steady-state performance measures are considered. For steady-state performance measures, we consider both the case when the Markov chain of interest is regenerative in the standard sense, as well as the case when this Markov chain is Harris recurrent, and thereby regenerative in a wider sense.",https://www.jstor.org/stable/2634461,Management Science,10.2307_2634461,Management & Organizational Behavior,1996.0,0,9.38066114031244e-06,1,0.8518699407577515,0,0.006384459789842367
,,,Competition in a Multimarket Environment: The Case of Market Exit,"Studies of competition typically have two underlying assumptions: that competition occurs within the boundaries of industries or markets and that all firms in a market or industry are affected equally by competitive pressures. The concept of multipoint competition challenges both assumptions. Multipoint theory addresses how different levels of contact between firms across multiple markets affect competition in individual markets. Its main argument is that high levels of contact between firms across markets will induce mutual forbearance, causing multipoint competitors to refrain from aggressively attacking each other. The restraint stems from the fact that high levels of intermarket contact enable a firm to respond to an aggressive action by a multipoint rival in markets other than the one in which the action takes place. That possibility raises the potential costs of aggressive moves and serves as a credible deterrent, especially if a firm can respond in several markets. In addition, multipoint competition helps firms to interpret their rivals' intentions and signal their own, reducing the likelihood of costly misunderstandings. The authors elaborate on those ideas to examine how a hospital's degree of intermarket contact with its competitors in a particular service market affects the likelihood that it will exit that market. They find that hospitals are less likely to exit markets in which they meet large numbers of their multipoint rivals. As a result of mutual forbearance, competitive rivalry is reduced across the markets that multipoint rivals share, lessening the types of pressures that typically prompt market exit. With lower levels of competitive rivalry, markets shared by multipoint rivals are relatively more hospitable environments in which to operate and are less likely to be exited. Rather than competing intensely, multipoint rivals appear to adopt a ""live and let live"" approach toward each other. The fact that multipoint contact across markets may lessen competitive pressures within individual markets has implications for the contact between firms in several settings. Multimarket contact can occur across different product or service markets and also across different geographic markets, thus affording an intriguing perspective for the investigation of the rivalry between emerging transnational firms. True transnationals, by successfully integrating global operations while still addressing local market concerns, have been seen by some as having the capabilities necessary for successful performance in international competition. Perhaps transnational firms, because they have an integrated decision-making structure, can coordinate their actions to reduce competitive rivalry with each other across the markets they share. If so, markets dominated by transnationals may become more stable than the current state of international competition would predict.",https://www.jstor.org/stable/2635306,Organization Science,10.2307_2635306,Management & Organizational Behavior,1997.0,0,0.001351971528492868,1,0.9584038257598877,1,0.9995865225791931
,,,"Tourism sustainability, resiliency and dynamics: Towards a more comprehensive perspective","This paper uses insights from a basic but formal model of tourism dynamics to frame a discussion of sustainability in tourism planning, with a particular focus on the role of dynamic resilience — or the ability of social, economic or ecological systems to recover from tourism-induced stress. The paper presents a theoretical approach to model resiliency in the ecological-environmental quality, economic-fiscal quality and social-cultural quality of tourist destinations. The model also formalises the difference between actual and perceived changes in these vectors. The specific goals of the paper are to characterise a more quantitative approach towards tourism sustainability and resilience, to summarise results in the tourism literature that might contribute to initial empirical implementation of such quantitative models, and to stimulate debate regarding the potential role of such approaches in guiding tourism policy.",https://www.jstor.org/stable/23746749,Tourism and Hospitality Research,10.2307_23746749,Management & Organizational Behavior,2008.0,0,2.1968842702335678e-05,1,0.9940713047981262,0,0.0003342132258694619
,,,Does Business School Research Add Economic Value for Students?,"The scholarly research conducted by business school faculty has long been the subject of intense criticism for lacking relevance and value to practice. In contrast, we theorize that such research is relevant and valuable in that it contributes to what is arguably the most critical metric of relevance for business school students: the economic value they accrue from their education. We investigate this counterargument on a sample of 658 business schools over an 8-year period. We find that research adds significant value in that it can potentially enhance student salaries by up to $24,000 per year. However, we also observe that ""excessive"" research activity can lead to diminishing or even negative returns for students, and a research focus solely on elite journals might rob students of the benefits of exposure to a broader array of new ideas.",https://www.jstor.org/stable/25782051,Academy of Management Learning & Education,10.2307_25782051,Management & Organizational Behavior,2010.0,0,1.905165299831424e-05,1,0.9920180439949036,0,0.00015408881881739944
