,stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
0,,,,Three Types of Italian Top Managers,None,https://www.jstor.org/stable/40384374,International Studies of Management & Organization,10.2307_40384374,Management & Organizational Behavior,1975.0,0,0.0014682657783851027,0,0.00020138687978032976,0,0.08717095851898193
1,,,,Interview with Stephen Frost,None,https://www.jstor.org/stable/jcorpciti.31.18,Journal of Corporate Citizenship,10.2307_jcorpciti.31.18,Management & Organizational Behavior,2008.0,0,0.2374953031539917,0,0.00026928240549750626,0,0.00020803752704523504
2,,,,From Expectation to Experience: Graduates Entering a Large Corporation,"The paper reports a longitudinal study of new and recently recruited graduates to an oil company, to evaluate how initial expectations compared with experience, and how needs, interests and work activities changed over time post-entry. Results showed that new entrants had unrealistic expectations, especially of having more managerial job content than they were assigned initially, but this increased with subsequent experience to reach expected levels. Socialization effects were evident, especially by job function, but not by gender. The work orientations and job experiences of commercial and technical graduates developed on divergent paths over time, suggesting more positive personal growth over their early careers for the commercial graduates.",https://www.jstor.org/stable/2488461,Journal of Organizational Behavior,10.2307_2488461,Management & Organizational Behavior,1991.0,0,3.273009497206658e-05,0,0.00022048040409572423,1,0.9888924956321716
3,,,,Health Administration Education: A Challenge for the 1990s,"Owing to various factors in the organizational and external environment, health services administration has become a uniquely complex enterprise. Today's administrator confronts a never-ending challenge in trying to balance competing interests while maintaining organizational viability. To meet this challenge, health care professionals need advanced training in managing financial and human resources. This article describes one program that seeks to fill this need on a statewide level.",https://www.jstor.org/stable/3380966,Public Productivity & Management Review,10.2307_3380966,Management & Organizational Behavior,1990.0,0,0.00043606990948319435,0,0.0009275595075450838,0,6.816886889282614e-05
4,,,,Television representations of food: A case study,"This paper describes the results of a semiotic analysis of one popular television food programme: 'Rick Stein's Taste of the Sea'. The analysis suggests that this programme produces a number of conventional meanings within which specific messages about food are embedded. These findings indicate that television food programmes offer the hospitality provider important insights into the contemporary cultural formation of the consumer and into the ways by which key product concepts can be marketed, which can be of benefit to the hospitality industry. In addition, the categorisation of concepts and discourses upon which food programmes draw for their meanings offers a methodological and conceptual framework for future research of the genre.",https://www.jstor.org/stable/42919209,International Journal of Tourism and Hospitality Research,10.2307_42919209,Management & Organizational Behavior,1999.0,1,0.9563668370246887,0,0.00505705364048481,0,9.099447925109416e-05
5,,,,Corporate Citizenship: Perspectives from India,"This paper explores corporate citizenship ideologies and practices in India. It is noted that business involvement in social welfare and national development has been a tradition in India. However, the traditional philanthropy or merchant charity of business in India has changed over time to become social responsibility of business and corporate citizenship. The paper presents examples of current practice of both indigenous and foreign businesses in India in order to examine the trends of corporate citizenship. It argues that these practices correspond to the social and economic systems in which companies are embedded and, thus, that these may be peculiar to developing-country contexts or else reflect the paradox of Western and Eastern approaches to corporate citizenship.",https://www.jstor.org/stable/jcorpciti.2.107,Journal of Corporate Citizenship,10.2307_jcorpciti.2.107,Management & Organizational Behavior,2001.0,0,0.05993959307670593,0,0.0013853854034096003,0,6.509605009341612e-05
6,,,,The Teacher Stress Process: A Cross-Cultural Analysis,"A cross-cultural systems analysis was performed on teacher stress data from Canada and Sweden. The LISREL structural analysis was based on a conceptual model adapted from Kyriacou and Sutcliffe. Although the LISREL solution did not reach statistical significance it was concluded that the conceptual model in the essential features was corroborated by the LISREL analyses. Measurement errors, as well as the sensitivity of the used goodness of fit test (chi square) to the size of the samples was put forward as explanations of the failure to reach statistical significance for the LISREL structural solutions. Furthermore, it was argued that the heterogeneity of the teachers with respect to the stages of their professional careers should be considered in further research on teacher stress, to be able to capture the process aspects more adequately.",https://www.jstor.org/stable/3000130,Journal of Occupational Behaviour,10.2307_3000130,Management & Organizational Behavior,1984.0,0,8.87686383066466e-06,1,0.995257556438446,0,0.0030965085607022047
7,,,,Enantiodromia and crisis management: a Jungian perspective,"In this paper, using Carl G. Jung's psychological theory of types, we propose that the process of enantiodromia hinders decision-making in crisis management. This process produces a double reversal in the decisions and actions made by individuals: first, good and usual strategies are pushed to absurdity and second, archaic strategies, loaded with unconscious material, are substituted for the efficient and common ones. Providing a number of key definitions in analytical psychology, we explain the nature and the effects of enantiodromia with the help of diverse case analyses, and we propose several possibilities for managing the negative side of this process.",https://www.jstor.org/stable/26162510,Industrial & Environmental Crisis Quarterly,10.2307_26162510,Management & Organizational Behavior,1993.0,0,0.00012155811418779194,0,0.3811923861503601,0,0.0005407342687249184
8,,,,World Review: July–September 2000,A synopsis of the key strategic environmental developments around the globe over the last quarter,https://www.jstor.org/stable/greemanainte.31.5,Greener Management International,10.2307_greemanainte.31.5,Management & Organizational Behavior,2000.0,0,0.0016124179819598794,0,0.0002873544581234455,0,0.0005518299876712263
9,,,,Bridging the Research—Practice Gap,"Management research often bears little resemblance to management practice. Although this research—practice gap is widely recognized and frequently lamented, there is little discussion about how it can be bridged. We partly remedy this problem in this paper by describing our experiences with the Network for Business Sustainability. Our experiences showed that the paradoxes underlying the relationship between research and practice make bridging this gap difficult. We argue that the reason why the research—practice gap endures is that bridging it is beyond the capabilities and scope of most individuals, and we call for the creation of intermediary organizations like the Network for Business Sustainability. We close by outlining some of the activities that can be undertaken by these boundary-spanning intermediary organizations, with the hopes of better aligning management research and practice.",external-fulltext-any,Academy of Management Perspectives,10.2307_23208286,Management & Organizational Behavior,,0,0.00044740329030901194,0,0.008836331777274609,0,0.00017743237549439073
