,stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score,org_score,org_pred
0,,,,INDUSTRIALIZATION AND THE FAMILY TYPE: AN INTEGRATED OVERVIEW,"This paper codifies and analyzes the theoretical arguments and the empirical findings concerning the relationships between industrialization and the family type. Both the ""orthodox"" view, which sees industrialization the cause leading to change of the family type, and the challenges against it are presented. The orthodox view is analyzed in terms of the arguments regarding the ""isolated nuclear family"" as an ideal type, the dysfunctional relationships between the extended family and industrialization, and the functional ""fitness"" between the nuclear family and industrialization. The general assumptions of the orthodox view are also discussed. Challenges against the orthodox view are grouped under the following categories: (a) The arguments that the extended family may not be dysfunctional, that the extended family may in fact be functional, and that the nuclear family may be dysfunctional. (b) Findings showing that the asserted prevalence of the extended family in the past and the isolation of the nuclear family in the industrial society today may both be myths. (c) The direction of the causal link, arguments that the two key variables may be reversed and that some other variables should be taken into consideration. The author concludes that the issue is yet unsettled and that a synthesized study is needed.",https://www.jstor.org/stable/23027127,International Journal of Sociology of the Family,10.2307_23027127,Sociology,1974.0,0,0.005006767809391022,0,0.0008237379952333868,0,0.37053751945495605,0.9648167490959167,1
1,,,,Trends in Residential Segregation: 1960-1970,"The literature on racial residential segregation in American metropolitan areas reports contradictory findings on the decade of the sixties. Some researchers have concluded that average scores declined between 1960 and 1970, while other point to evidence of increases. This paper presents tract-based indexes for all 237 SMSAs (and their central cities) in 1970 and a comparable set of indexes for 1960. These are also cross-tabulated against region, population size, and minority proportion. Several conclusions are drawn: (1) overall, the data indicate a general decline in the average level of segregation between 1960 and 1970; (2) much of that decline is due to the relatively low scores among SMSAs added during the decade; (3) contradictory findings reported in the literature are likely to be due to sampling or other methodological inconsistencies; and (4) clear variations in levels of segregation persist with regard to region, population size, and minority proportion. The importance of these findings for future research is discussed.",https://www.jstor.org/stable/2777682,American Journal of Sociology,10.2307_2777682,Sociology,1977.0,0,3.0827821319689974e-05,0,0.18590563535690308,1,0.9986975193023682,0.9999531507492065,1
2,,,,Czechs and Slovaks 1918-1938,"This article analyzes the relations between Czechs and Slovaks as a problem of the position of Slovakia in the Czechoslovak Republic, that is, as a solution to the decentralization of administration and autonomy, which are underscored by the issues of the Pittsburgh Agreement, Prague centralism and ""Czechoslovakism"". A revision of the place of Slovakia in the Czechoslovak Republic was accepted in regard to the requirements of Slovakia (the absence of its own intelligentsia and the presence of the Magyar element in the civil service) and the conditions in the democratic state. When the Slovak intelligentsia finally came of age and wished to participate in public administration, the existential conditions of the Czechoslovak state had changed (Hitler's rise to power, the birth of the Henlein movement in the Czechoslovak Republic). The situation got worse socially as a result of the world-wide depression. Without the Munich Agreement and Germany's share in the birth of the Slovak State, the conditions for the break-up of the Czechoslovak Republic would not have been present. The population formed a consensus in favour of the state, as is clear from the electoral returns, especially the success of Slovenská jednota za Česko-slovenskú republiku a demokraciu [Slovak unity for the Czecho-Slovak Republic and democracy] in the local elections of May 1938.",https://www.jstor.org/stable/43945168,Czech Sociological Review,10.2307_43945168,Sociology,1993.0,0,0.003185616573318839,1,0.9999500513076782,0,0.0034053672570735216,0.9999982118606567,1
3,,,,"Outliers, Leverage Observations, and Influential Cases in Factor Analysis: Using Robust Procedures to Minimize Their Effect","Parallel to the development in regression diagnosis, this paper defines good and bad leverage observations in factor analysis. Outliers are observations that deviate from the factor model, not from the center of the data cloud. The effects of each kind of outlying observations on the normal distribution-based maximum likelihood estimator and the associated likelihood ratio statistic are studied through analysis. The distinction between outliers and leverage observations also clarifies the roles of three robust procedures based on different Mahalanobis distances. All the robust procedures are designed to minimize the effect of certain outlying observations. Only the robust procedure with a residual-based distance properly controls the effect of outliers. Empirical results illustrate the strength or weakness of each procedure and support those obtained in analysis. The relevance of the results to general structural equation models is discussed and formulas are provided.",https://www.jstor.org/stable/20451157,Sociological Methodology,10.2307_20451157,Sociology,2008.0,0,2.7226842576055788e-05,0,0.0012117911828681827,0,0.055198825895786285,0.9887053370475769,1
4,,,,Negotiating Strangerhood: Interviews with Homeless Immigrants in Copenhagen,"The results from a study on homeless immigrants in Copenhagen are analysed in this article. Based on 25 life-history interviews with male immigrants living in institutions for the homeless, my focus of concern is the interviewees' self-presentations and their attempts to handle their stigmatized position. Two theoretical approaches are combined. First, the narratives are analysed as representations of the immigrants' marginalized status in their new society. Many narratives echo Bauman's (1991) descriptions of the stranger as someone constructed as a 'permanent other'; someone discredited, blamed and discriminated against because he/she 'threatens the natural order of things'. Second, the narratives are analysed as presentations, i.e. as the narrators' preferred interpretations of their present and past situations (Scott and Lyman, 1968). The narratives are therefore read not just as reflections of 'things that actually happened' to the interviewees, but also as reflections of their strategies in handling these incidents and of their attempts to present themselves in the interviews as persons 'permanently on trial', persons who are 'respectable after all'.",https://www.jstor.org/stable/4194984,Acta Sociologica,10.2307_4194984,Sociology,2003.0,0,0.00020152614160906523,0,0.15324485301971436,1,0.952981173992157,0.9922515749931335,1
5,,,,'Losing My Religion': A Dynamic Analysis of Leaving the Church in the Netherlands,"In this article, we examine the influence of individual attributes (education, parental education, religious homogamy of parents, religious homogamy of respondent and spouse, frequency of attending religious services, and denomination) and contextual characteristics (cohort and period effects of secularization) on the risk of leaving a faith, using life-event data from the Dutch Family Survey 1992-1993. This approach allows a stronger test of the direction of causality, and enables us to disentangle life-cycle, period, and cohort effects. The results show that education, parental education, and marrying a non-religious spouse significantly increase the risk of becoming unchurched. With regard to the influence of both one's own and one's parents' education, it appears that up to the level of higher secondary education (HAVO) each higher level of education linearly increases the risk of becoming unchurched. Also, the results show a non-linear life-cycle effect: people are more likely to leave their faith when they are in their late teens. Furthermore, our results suggest a period effect: the current level of secularization increases the risk of becoming unchurched.",https://www.jstor.org/stable/522776,European Sociological Review,10.2307_522776,Sociology,1996.0,0,0.0004219808033667505,0,0.00034312496427446604,0,0.2542465031147003,0.9999988079071045,1
6,,,,The Critical Interrogation of a Category: An Interview with Jack Halberstam,None,https://www.jstor.org/stable/10.14321/qed.0177,QED: A Journal in GLBTQ Worldmaking,10.14321_qed.0177,Sociology,2013.0,0,0.03500058129429817,0,0.0002468341263011098,1,0.8660107851028442,0.9975317716598511,1
7,,,,"[cool stores, bad jobs]",None,https://www.jstor.org/stable/24710862,Contexts,10.2307_24710862,Sociology,2013.0,0,0.0016105582471936941,0,0.06722475588321686,0,0.42853838205337524,0.9999983310699463,1
8,,,,The Developing Trend of the People's Mediation in China,"Mediation has long been the preferred method for dispute resolution in China because it serves multiple functions, such as maintaining harmonious social relationships, smoothing away discord, and repressing social conflict. The sustaining forces that support mediation, however, have been weakened since the late 1970s with the profound economic and social transformation, cultural changes, and legal reforms that have taken place in China. As a result, mediation faced unprecedented challenges and was on the wane in the 1990s in urban China and some rural areas. To address this problem, the Chinese government has been making efforts to revitalize mediation since the late 1990s. This study discusses the social and cultural background under which mediation declined during the 1990s; examines the differently evolving patterns of mediation in urban and rural China; discusses the recent reform policies and practices aimed at reviving mediation; and, finally, explains implications for future development of mediation and research.",external-fulltext-any,Sociological Focus,10.2307_41633831,Sociology,,0,0.0012318510562181473,0,0.00022644063574261963,0,0.00013547763228416443,0.999996542930603,1
9,,,,"Scholarship, Partisanship, Sponsorship and ""The Moonie Problem"": A Comment",None,https://www.jstor.org/stable/3711060,Sociological Analysis,10.2307_3711060,Sociology,1985.0,0,0.0038968417793512344,0,0.00018159531464334577,0,0.00018144458590541035,0.999990701675415,1
