stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,The Erosion of Nationalism in the West European Community,None,https://www.jstor.org/stable/20628403,International Journal of Sociology,10.2307_20628403,Sociology,1994.0,1,0.899520218372345,1,0.9977340698242188,0,0.01686074584722519
,,,The Federalist Authors and the Problem of Equality between the Branches of Government: A Study in Institutional Development,"An important concern addressed in the Federalist Papers was how there could be a system of three coequal branches of government when the legislature had the power to appropriate funds needed by the other two branches. This study compares treatment by the Appropriations committees of funds for the Supreme Court before and after recent controversial decisions; it also compares the treatment by these committees of funding necessary to run the presidency during periods of relative calm with periods of turbulence during the Johnson and Nixon administrations. The author finds that except for the case of the Nixon administration during the Watergate crisis, the Appropriation committees did not reduce, or threaten to reduce, requests for funding of the coequal branches more during periods of controversy than other times. In effect, the authors of the Federalist need not have worried.",https://www.jstor.org/stable/42863215,Social Science Quarterly,10.2307_42863215,Sociology,1993.0,1,0.99978107213974,0,0.0004339403531048447,0,0.00018139889289159328
,,,"Advertising Motherhood: Image, Ideology, and Consumption","Using five decades of magazine advertisements, I document changes in advertising images of mothers and examine the relationship between the ideology of motherhood presented in the ads and patterns of consumption. In terms of the representation of mothers, three findings stand out. First, the images presented are consistent between magazines in terms of the layout of the ads, the figures presented, the physical attributes of mothers, and suggested maternal roles. Second, the portrayal of motherhood over time is nonlinear and can be divided into distinct phases by decade. These phases highlight an ideological shift in the presentation of motherhood from domestically centered to childcentered expertise. Third, the advertised products presented in each phase vary significantly. I link these shifts to shifts in consumption patterns and examine the processes by which ""intensive mothering"" emerged as a central focus and force in modern consumer culture.",https://www.jstor.org/stable/41035601,Berkeley Journal of Sociology,10.2307_41035601,Sociology,2005.0,1,0.9953267574310303,0,0.00017814045713748783,0,0.0005238408339209855
,,,"Theoretical Approaches to Science, Technology and Social Change: Recent Developments",None,https://www.jstor.org/stable/24492678,Southeast Asian Journal of Social Science,10.2307_24492678,Sociology,1998.0,1,0.9982370138168335,1,0.8744350075721741,0,0.00011752428690670058
,,,CONSTRUCTING ISOMORPHISM IN AN INTERORGANIZATIONAL NETWORK,"DiMaggio and Powell's isomorphic model recognizes the potential for social construction within a social system. Simultaneously, they argued for the existence of specific isomorphic processes as structuring devices leading to organizational similarity based on sensitizing concepts other than efficiency. Nevertheless, they do not adequately account for planned social construction and pressures applied by dominant actors in an inter-organizational network which result in isomorphic outcomes. In the state and local education policy arena, we argue, that while some of the prerequisites of DiMaggio and Powell's model appeared to be structurally present in the form of resource dependency relationships and varying degrees of shared normative values, these did not lead to institutional isomorphism as they envision. Rather, isomorphic characteristics of the network were socially constructed beginning with legislation mandating educational reform and ending with local program formulation and implementation.",https://www.jstor.org/stable/23263031,Humboldt Journal of Social Relations,10.2307_23263031,Sociology,1996.0,1,0.9998979568481445,0,0.0001789701054804027,0,0.006848303135484457
,,,The Bound Prometheus. Institutional Analyses of Polish Modernization,"The author argues that it is worth applying the theoretical-methodological schémas of institutionalism to the analysis of modernization. He views institutions as bridges or in fact ""engines"" which are planes of inclusion of agencies (individuals, businesses, states etc.) in the structural processes of modernization, globalization, liberalization, democratization etc. He demonstrates how mechanisms differ depending on the type of institutionalism: rationalistic choice, dependence on structural heritage, sociological (functionalistic), political-legal, international. He makes references to Polish reality, past and present, in his analyses.",https://www.jstor.org/stable/41275149,Polish Sociological Review,10.2307_41275149,Sociology,2010.0,1,0.999984622001648,0,0.3427232801914215,0,8.5262960055843e-05
,,,TOWARD A NEW NORMATIVE (ECONOMIC) THEORY OF POLITICS,None,https://www.jstor.org/stable/29769047,Review of Social Economy,10.2307_29769047,Sociology,1981.0,1,0.9712384939193726,0,0.00038792224950157106,0,7.517770427512005e-05
,,,Searching for Ideal Types: The Potentialities of Latent Class Analysis,"Typologies play an important role in sociological theory and research. Basic to the use of (ideal) types is the notion that a subject's overt behavior can be conceived of as governed by his/her belonging or closeness to a particular underlying pure type. Many statistical techniques are in use to detect or construct these fundamental types, especially factor analysis. Much less attention has been paid to the possibilities that latent class analysis has to offer. Through an elaborate example, it is shown that the basic ideas of latent class analysis correspond eminently well with the use social scientists make of (ideal) types. Several important extensions of the basic latent class model along with significant new developments are discussed.",https://www.jstor.org/stable/522517,European Sociological Review,10.2307_522517,Sociology,1989.0,1,0.8792644143104553,1,0.9999327659606934,0,0.03384839743375778
,,,THE INVISIBLE WEIGHT OF WHITENESS: THE RACIAL GRAMMAR OF EVERYDAY LIFE IN AMERICA,None,https://www.jstor.org/stable/23292648,Michigan Sociological Review,10.2307_23292648,Sociology,2012.0,1,0.7050918340682983,0,0.029124513268470764,0,0.0202696081250906
,,,"Media Representations of 'Youth' and the South African Transition, 1989-1994","This article examines representations of black 'youth' in the Sunday Times and other newspapers during the South African transition of 1989-94. The article charts a series of episodes of moral panic in this period, in which media concern over black 'youth' rose and fell in line with the meandering path of inter-party negotiations over constitutional change. The category of 'youth' provided a concrete form and supposed justification for white South Africans fears of social transformation: amoral 'youth' somehow both symbolised and constituted the dreaded scenario of anarchy which negotiations were supposed to avert. The 'youth' were initially deemed the product of the strategies and practices of the African National Congress (ANC). Ultimately, however, it was the ANC leadership which defused the moral panic over the 'youth' through maintaining order during the crisis following the assassination of Chris Hani in 1993. South Africa's political transition was paralleled by a shift in discourse, as fears of a ANC-linked anarchy gave way to an acceptance of the ANC as a guarantor of order.",https://www.jstor.org/stable/44461287,South African Sociological Review,10.2307_44461287,Sociology,1995.0,1,0.8929129242897034,0,0.08207028359174728,0,0.12576398253440857
,,,"The Market Model and the Growth and Decline of Academic Fields in U.S. Four-Year Colleges and Universities, 1980—2000","Conventional sociological accounts of the rise and fall of academic fields have been challenged by accounts based on the idea of market-responsive change. In this article, we focus on the period 1980—2000, the period during which, according to its proponents, the market model of change became dominant in academe. We find changes in the student market to be strongly associated with increased institutionalization of academic fields. We also find the preferences of donors to be associated with increased institutionalization of academic fields. By contrast, we find relatively little support for labor market signals or changes in federal funding priorities as important influences on the institutionalization of academic fields. We find that higher-status institutions are more market responsive than lower-status institutions.",external-fulltext-any,Sociological Forum,10.2307_23262109,Sociology,,1,0.9999912977218628,0,0.0004067117115482688,0,0.2792401611804962
