stance twd. demog persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Human Work in Catholic Social Thought,"In Catholic Social Thought, work is at the center of issues related to morality and economic life. It is simultaneously objective and subjective. Workers are the real agents of production, and therefore labor should have priority over capital. The able-bodied have a moral obligation to work to obtain the things they need, but everyone has a claim on the basic necessities of life. Hence the property claims of the well-to-do are not to exclude the poor from what they need. The property-right claim of stockholders depends on the firm serving work and the interests of workers. In unions, workers' natural right to form associations aligns with the right to participate in decisions affecting their lives. Numerous groups and organizations have some degree of complicity in workplace injustice and some degree of responsibility to address it.",external-fulltext-any,American Journal of Economics and Sociology,10.2307_41721429,Sociology,,0,0.0022752590011805296,0,0.05871163681149483,0,0.001360577531158924
,,,On Zhongyong Rationality: The Confucian Doctrine of the Mean as a Missing Link between Instrumental Rationality and Communicative Rationality,None,https://www.jstor.org/stable/23655096,Asian Journal of Social Science,10.2307_23655096,Sociology,2003.0,0,0.00031231672619469464,0,0.0017448540311306715,0,0.00016855694411788136
,,,FEMINIST CROSS-CULTURAL RESEARCH: OBSERVATIONS FROM A RESEARCH PROJECT IN GERMANY,"Recent research indicates that the rapid imposition of West German structures (policy, economy, culture) on East Germany caused economic hardships and personal insecurities which leave many East German women feeling vulnerable. This essay depicts the experiences involved in conducting an ethnographic study to examine the situation of women East and West of the former German border. Secondary analysis, survey research, observation and interviews with women's representatives show significant differences in the actual and perceived consequences of unification for women's lives in East and West. The feminist nature of the research and the complex structure of German bureaucracy were often impediments to the progress of this study. Recommendations for researchers planning to do cross-national studies on women are discussed.",https://www.jstor.org/stable/23252136,Social Thought & Research,10.2307_23252136,Sociology,1997.0,0,0.0011200107401236892,0,0.00022796852863393724,0,0.48865649104118347
,,,Who’s Afraid of Research?,"This article revisits critical encounters and engagements with educational research projects over a 10-year period. Drawing upon empirical data and project documentation, the article seeks to open up the powers of production that are at play and asks: What room is there for both experience ",https://www.jstor.org/stable/10.1525/irqr.2013.6.3.460,International Review of Qualitative Research,10.1525_irqr.2013.6.3.460,Sociology,2013.0,0,0.011368675157427788,0,0.00018598604947328568,0,0.00020291631517466158
,,,from summer camps to glass ceilings: the power of experiments,None,https://www.jstor.org/stable/41800814,Contexts,10.2307_41800814,Sociology,2003.0,0,0.0003112276317551732,0,0.4964978098869324,1,0.9851461052894592
,,,Work and Family in the Virtual Office: Perceived Influences of Mobile Telework,"Telework is a rapidly emerging reality in the workplace. This study explores the influence of mobile telework on family life as reported by teleworkers in a large national corporation (n = 157). In addition, this group is compared to an equivalent group of office workers (n = 89) from the same corporation. Mobile teleworkers reported much greater work flexibility. Some reported that their families thrived because of this flexibility. Others reported that their families struggled because workplace and schedule flexibility blurred the boundaries between work and family life. Suggestions are given for how family life educators might help mobile teleworkers ease the transition from traditional work to the virtual office.",https://www.jstor.org/stable/585501,Family Relations,10.2307_585501,Sociology,1996.0,0,0.0001356746506644413,0,0.00014199194265529513,0,0.001665472867898643
,,,Stanisław Ossowski as a Sociologist,None,https://www.jstor.org/stable/44815584,The Polish Sociological Bulletin,10.2307_44815584,Sociology,1974.0,0,0.0001301406155107543,0,0.0005268179229460657,0,0.0025557433255016804
,,,On Bullying and School Violence,None,https://www.jstor.org/stable/10.14321/qed.0043,QED: A Journal in GLBTQ Worldmaking,10.14321_qed.0043,Sociology,2013.0,0,0.0007672153296880424,1,0.9999741315841675,1,0.9975060820579529
,,,THE FALL OF ROME RECONSIDERED: A SYNTHESIS OF MANPOWER AND TAXATION ARGUMENTS,"The arguments given for the decline and fall of Rome are many and varied. Two in particular have dominated the literature. One, supported by Max Weber, A.E.R. Boak and others, contends that the transition from ancient civilization to feudalism was due to the fall in supply of slaves and the ramifications of that fall on the ability of other elements in the system to be reproduced. A.H.M. Jones, A. Bernardi, C.M. Cipolla, and others have challenged this argument and have offered an alternative which focuses on the economic limitations of an agrarian based empire. The problem was manifest in an exceedingly oppressive system of taxation which also prevented system reproduction. These alternative arguments are synthesized in this paper by employing Marx's concept of reserve industrial army and explaining its operation with respect to various rates of exploitation. The result is a step to a more comprehensive explanation of Rome's decline and fall.",https://www.jstor.org/stable/23252728,Mid-American Review of Sociology,10.2307_23252728,Sociology,1982.0,0,1.9550108845578507e-05,0,0.05242518335580826,0,0.007750426884740591
,,,THE TATTOO: A SOCIAL PSYCHOLOGICAL EXPLANATION,The purpose of the present study is to determine the extraversión level of people with tattoos and to lend support to a Stimulation Theory of tattoos. This theory states that tattoos are not representations of psychological disorders but simply results from an extravertedpersonality type. A convenience sample of 138 males were used. Findings were supportive of the theory.,https://www.jstor.org/stable/41421610,International Review of Modern Sociology,10.2307_41421610,Sociology,1993.0,0,9.512194083072245e-05,0,0.0003115111612714827,0,0.1283976286649704
,,,Medical Journals,None,https://www.jstor.org/stable/2076942,Contemporary Sociology,10.2307_2076942,Sociology,1996.0,0,0.052408814430236816,0,0.48059892654418945,0,0.0020723550114780664
