stance twd. demog_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,CITYWARD MIGRATION AND URBAN FERTILITY IN THE PHILIPPINES,Studies of fertility differentials between native urbanites and rural migrants in developed countries usually show that the latter have higher fertility. That differentials of the same type are not necessarily found in a less developed country like the Philipines is demonstrated by a comparison of fertility levels of rural migrants originating in north-western Luzon and in Panay Island with those of native Manileños. A partial explanation of the relatively low fertility of Manila in-migrants is provided by the social-mobility theory which states that cityward migration is selective of persons with high-mobility aspirations and that migrants tend to participate in urban life — and consequently are exposed to its fertility-reducing tendencies — as least as much as native urbanites. Discrepancies between native-migrant fertility differentials found in the Philippines and in developed countries are reconciled by a theory of stages in the urbanization process. Hendershot's Manila data are from a 1966 survey; his rural data were gathered in 1967.,https://www.jstor.org/stable/23892517,Philippine Sociological Review,10.2307_23892517,Sociology,1971.0,0,2.982830483233556e-05,0,0.00016413723642472178,1,0.9489396214485168
,,,Relationships in Adolescence,"In this chapter I review recent research on the nature, meaning, and impact of extrafamilial relationships during adolescence. I use findings of quantitative and qualitative studies to develop the idea that close friendships, wider networks of peers, and romantic relationships have distinct meanings and significance for the developing adolescent. Sociologists' work inevitably focuses attention on the ways in which the adolescent's social addresses and locations (gender, race, social class) influence many aspects of these early relationships. The review also highlights some limitations of the dominant perspective on adolescent relationships, attachment theory, and provides suggestions for future research (particularly in the area of romantic relationships, where the literature is growing but still relatively undeveloped).",https://www.jstor.org/stable/30036968,Annual Review of Sociology,10.2307_30036968,Sociology,2003.0,0,4.084994725417346e-05,1,0.836952805519104,1,0.8610424399375916
,,,Mediation and Minority Members of Academe,"Focus groups are used to gather information from minorities in a university setting. Minority members of three campus groups (students, staff, and faculty) identified issues that could lead to relational conflicts. Alternative methods of dispute resolution are discussed in terms of their suitability and viability for use by minorities in academe. Mediation is presented as the preferred process for conflict resolution on an increasing number of college and university campuses. Mediation as a form of sociological practice in academia is a wide-open field of opportunity.",https://www.jstor.org/stable/43735727,Sociological Practice,10.2307_43735727,Sociology,2000.0,0,2.6742440240923315e-05,0,0.0007049210835248232,1,0.9345951080322266
,,,Rapid Changes in Household Composition among Low Income Mothers,"Change in family structure over a 17 month period in a sample of 123 low-income urban and rural Wisconsin mothers who gave birth in 1974 is examined. One-third of the households changed household types as measured by presence or absence of male partner and/or extended family members. One-third of the mothers were heads of households at the study's outset; of these, two-thirds remained heads over the time period. Mother's age, education, and poverty status were characteristics most strongly related to household composition changes. These results suggest that considerable fluidity occurs in family composition over relatively short time periods, and caution should be taken when relating characteristics of families at one point in time to an outcome measure, such as child development, which depends on the passage of time.",https://www.jstor.org/stable/584076,Family Relations,10.2307_584076,Sociology,1980.0,0,1.9731944121303968e-05,0,0.039169639348983765,1,0.9998916387557983
,,,WE ARE HUMANS AND NOT DOGS: THE CRISIS OF HOUSING DELIVERY IN POST-APARTHEID CAPE TOWN,None,https://www.jstor.org/stable/24583209,Berkeley Journal of Sociology,10.2307_24583209,Sociology,2014.0,0,0.003953968174755573,1,0.9999775886535645,1,0.9470977783203125
,,,"A Skeptical Note on ""Sophisticated"" Statistics: The Misuse of Loglinear Analysis to Measure Racial Bias",None,https://www.jstor.org/stable/20831388,Sociological Focus,10.2307_20831388,Sociology,1986.0,0,4.383788473205641e-05,0,0.00019244536815676838,1,0.8557202816009521
,,,Marxism and Social Movements: Theory and Practice for Social Justice,None,https://www.jstor.org/stable/2654138,Contemporary Sociology,10.2307_2654138,Sociology,1999.0,0,0.030868062749505043,0,0.02188711427152157,1,0.9760257005691528
,,,Segregation Shaped the San Mateo Housing Crisis,None,https://www.jstor.org/stable/43873239,"Race, Poverty & the Environment",10.2307_43873239,Sociology,2015.0,0,0.0014971400378271937,0,0.00019338181300554425,1,0.9990264177322388
,,,"Race, Sex, Class and Multicultural Education: Women's Angle of Vision",None,https://www.jstor.org/stable/41680218,"Race, Sex & Class",10.2307_41680218,Sociology,1994.0,0,2.6716999855125323e-05,0,0.000371840491425246,1,0.9949163198471069
,,,"Sociologists in Research, Applied, and Policy Settings: Bringing Professionals in from the Cold","Historically, U.S. sociologists employed outside the professoriate had lower status and were less likely to be considered professionals than those inside. Academic restructuring may result in a closing of the status gap. This article, based on the responses of 600 PhD sociologists employed in applied, research, and policy positions, focuses on whether historically agreed upon professional characteristics, such as use of specialized knowledge, autonomy, ethical norms, and basic research, are related to overall job satisfaction and satisfaction with economic security. We expected that professional characteristics were significantly related to overall satisfaction, but not to satisfaction with economic security. Our expectations were generally met. Respondents used sociological theories, methods, and concepts to analyze social issues, design interventions, and evaluate solutions. Professional job characteristics result in higher job satisfaction, when other factors are held constant. In contrast, professional characteristics do not significantly increase satisfaction with economic security; rather sector, occupation, and age cohort appear to do so.",https://www.jstor.org/stable/23548730,Journal of Applied Social Science,10.2307_23548730,Sociology,2007.0,0,0.001064806361682713,0,0.007014630828052759,1,0.8020340204238892
,,,Habitat Defense in Southeast Asian Cities,None,https://www.jstor.org/stable/24490868,Southeast Asian Journal of Social Science,10.2307_24490868,Sociology,1985.0,0,0.00020737746672239155,0,0.010416185483336449,1,0.8451919555664062
,,,Sociohistorical and Demographic Perspectives on U.S. Remarriage in 1910,None,external-fulltext-any,Social Science History,10.2307_1171555,Sociology,,0,4.412935231812298e-05,0,0.0004712999507319182,1,0.9748347401618958
,,,Educational Stratification and Social Change: Evidence from German Unification,"This research examines educational stratification over the course of German unification. During this transition, eastern German states experienced rapid educational restructuring and expansion of the upper secondary curriculum in the context of dramatic macro-level changes. The analysis, based on German Social Survey (ALLBUS) data, explores educational inequality at the secondary-school level with respect to social origins over the course of unification, comparing four settings: the pre-unification German Democratic Republic and Federal Republic of Germany, and eastern and western states of a now-united Germany. Empirical findings suggest widespread similarities in educational inequality between East and West Germany among cohorts schooled in the 1980s. Among those schooled in the 1990s, the two regions diverge somewhat more as the result of a moderate decline in the effects of social origins in eastern states.",https://www.jstor.org/stable/3559535,European Sociological Review,10.2307_3559535,Sociology,2003.0,0,1.3277931429911405e-05,0,0.0002088685578200966,1,0.9744805097579956
,,,Religious Service Attendance and Distress: The Moderating Role of Stressful Life Events and Race/Ethnicity,"Research findings on religiosity and mental health have been somewhat inconsistent over the years, leading researchers to examine different dimensions of religiosity to determine their individual and combined impacts on mental health. Aside from varying operationalizations of religiosity, stressful life events and race/ethnicity may be important moderators of the impact of religiosity on mental health. Secondary data analyses on a nationally representative sample of U.S. adults reveal a curvilinear relation of religious service attendance on distress. Specifically, those reporting moderate levels of service attendance also report lower levels of distress than their counterparts. Moreover, there were racial/ethnic differences with Hispanics and African Americans showing a stronger relationship between attendance and distress than non-Hispanic whites. However, there was no evidence that stressful life events interacted with attendance to explain distress.",https://www.jstor.org/stable/27652587,Sociology of Religion,10.2307_27652587,Sociology,2009.0,0,8.729262845008634e-06,0,0.0003205032553523779,1,0.9421877264976501
,,,Women and Urbanization,"The article generalizes on the basis of two field studies conducted in slum areas (Ratmalana near Colombo in Sri Lanka and Khlong Toey in Bangkok, Thailand) by Susanne Thorbek, who has her doctorate in Cultural Sociology. The article introduces some reflections on the most fundamental changes as a result of urbanization, the radical separation between factory and family, between the social units which are responsible for the production of things (and value) and of human life. This separation has grave consequences for women (and thus also for men) it is argued, and it becomes manifest and more extensive with urbanization. This separation is the structural basis for the sharpened gender-struggle which develops in the cities, some outcomes of which are seen in terms of the changed definitions of the genders and their relationships, as well as the worldwide tendency to feminization of poverty. The impact of gender-struggle on women's work for incomes is discussed, a struggle which seems to be considerable since most women are dependent on men's networks or their relationship to individual men for access to reasonably paid work in both the registered firms and in most of the informal sector, or they are dependent on their male relatives' networks. Even in that part of the informal sector where they extend household chores into the market place (food, drinks, loans, small shops, prostitution), women are still partly dependent on such networks although the form may differ somewhat between the two areas. The forms and functions of families are likewise areas for gender-struggle and it is not only argued that city-life poses the extended and especially the women-centered family as a need for women but also that the cultural ramifications of gender-struggle have an important impact on the realization of such needs. The mothers without husbands are also discussed in this context. Finally, a few clues are given concerning the differences between the slum cultures and women's integration in these slum cultures. It is argued that either women's problems, that is problems with the production of life, are taken up as important topics by the whole slum culture, or women's problems are seen as their's alone, which then means that women become the problem in the slum culture. The study from Khlong Toey in Bangkok is published in ""Voices from the City"" (Zed Books 1987) and the other is forthcoming.",https://www.jstor.org/stable/4200719,Acta Sociologica,10.2307_4200719,Sociology,1988.0,0,0.0001325096673099324,0,0.0004406337393447757,1,0.9891448616981506
