stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,The Politics of Race During the Obama Era,"In recent years various mainstream social and political scientists have argued that race is no longer a compelling factor in national politics, particularly since the election of President Barack Obama. For many social and political scientists, race was a significant factor in the 2008 and 2012 presidential elections and continues to be significant today. This paper examines the impact of the African American vote on the election of President Barack Obama to better understand the role race plays in contemporary presidential elections.",https://www.jstor.org/stable/43496929,"Race, Gender & Class",10.2307_43496929,Sociology,2013.0,0,2.855740240192972e-05,1,0.9814808368682861,1,0.9903832077980042
,,,Colonialism and Development: A Comparative Analysis of Spanish and British Colonies,"Recent research shows that colonialism reversed levels of development in much of the non‐European world. To explain this reversal, analysts focus on conditions within the colonized areas. By contrast, drawing on evidence from Spanish and British colonialism, the authors show that the economic models of the colonizing nations also affected the reversals of fortune. Mercantilist Spain tended to colonize most extensively precolonial regions that were populous and highly developed; in turn, extensive Spanish colonization had negative consequences for postcolonial development. In comparison, liberal Britain tended to colonize most extensively precolonial regions that were sparsely populated and underdeveloped; in turn, extensive British colonialism had comparatively positive effects. Thus, both Spain and Britain reversed the fortunes of precolonial regions, but in largely opposite ways.",https://www.jstor.org/stable/10.1086/499510,American Journal of Sociology,10.1086_499510,Sociology,2006.0,0,1.819838144001551e-05,1,0.9201639890670776,1,0.7093670964241028
,,,THE ACADEMIC ELITE IN SOCIOLOGY: A REASSESSMENT OF TOP-RANKED GRADUATE PROGRAMS,"Changing Times (1983) listed the top eleven graduate programs according to a National Academy of Sciences study. Given the questionable and subjective nature of the evaluation process which produced these ratings this paper examined the composition of the faculties of these top eleven departments. It was found that these departments were substantially linked to each other by hiring each others' graduates, and hence, enhancing each others' reputations.",https://www.jstor.org/stable/23252973,Mid-American Review of Sociology,10.2307_23252973,Sociology,1985.0,1,0.9471979737281799,1,0.98940509557724,0,0.015045074746012688
,,,ROLL OF EXTENDED FAMILY NETWORKS IN THE INDUSTRIALIZATION PROCESS: THE CASE OF IRAN,"A number of unresolved issues remain when studying social change and the family. Past research, which has concluded that industrialization affects change in family structure, has been tested mainly in western cultures. Recent research in non-western societies has indicated that the extended family may also affect the industrialization process. This paper attempts to treat the latter question and test the hypothesis that ties with the extended family will influence a person's decision as to whether or not he should remain working in newly established industry in regional centers in order to bring about general regional economic and social development. Data were collected from 191 persons with a bachelor of arts or science degree or more, who were employed in four semi-public industries in two regional cities of Iran and 96 of their spouses. An ex post facto design was utilized to test the hypothesis. Indices used were an index of social ties consisting of four types of contact: (1) receiving help in looking after our children or looking after other's children, (2) discussing problems, both receiving and giving advice, (3) receiving or giving financial help in terms of money and goods, (4) visiting for talking, relaxation or performing leisure time activities with others, and an index of perceived problems concerning social ties. Frequency of contact and deviance in the number of types of contact before and after migration were also used. Social contact with extended family members did not seem to be related to the employee's attitude toward leaving his regional work environment. Whether persons increased or decreased their extended family contacts after migration was not significant related to the decision to remain in their new work environment for a shorter or longer period. Extended family ties did not seem to have an effect on decisions to live at some distance from other relatives. Therefore, in this study extended family could not be considered a deterrent to the industrialization process. Other variables were operating which has a push-pull effect on persons to man new industry. In general migrants were less likely to want to stay for any length of time than non-migrants irrespective of family contact. A number of other important variables were discovered and further analysis will clarify the major impetus for remaining a part of the newly industrializing region.",https://www.jstor.org/stable/23027038,International Journal of Sociology of the Family,10.2307_23027038,Sociology,1975.0,0,0.00020734347344841808,1,0.9999090433120728,0,0.1678122878074646
,,,"THE NECESSITY FOR, AND THE LIMITS OF, THE SOCIAL WELFARE STATE",None,https://www.jstor.org/stable/29768940,Review of Social Economy,10.2307_29768940,Sociology,1978.0,1,0.9793771505355835,1,0.9992591738700867,0,0.0004032848810311407
,,,Some Effects of Social Class and Ethnic Group Membership on Judgments of the Magnitude of Stressful Life Events: A Research Note,"Considerable research has been done on ratings of the magnitude of stressful life events that have been found to be related to different types of physical and psychological disorder. On the basis of studies comparing judgments from European, Japanese, and American samples of convenience, nearly universal agreement about the relative size of life event ratings has been claimed. In the present research, an expanded list of 102 life events was rated by a systematic New York City sample stratified by social class, ethnicity, and sex. Mean ratings supplied by the 92 New York City judges correlated highly with those previously published from the West Coast American, Japanese, and Western European samples. These correlations, however, decreased monotonically with New York social class. Further analyses show that these results can be explained both by true differences in ratings and by errors in the rating task that are related to the class and ethnic backgrounds of the New York City judges. The findings indicate that cultural differences in judgments about the magnitude of life events are greater than previous reports based largely on samples of convenience have suggested.",https://www.jstor.org/stable/2955350,Journal of Health and Social Behavior,10.2307_2955350,Sociology,1977.0,0,0.00025858095614239573,1,0.999482274055481,1,0.9919905066490173
,,,Funding Drug Elimination Programs in Public Housing: Effective or Wasteful?,"The following essay explores the decision to terminate a federally funded program, Drug Elimination Program (DEP), in public housing developments. This case study of one public house development incorporates qualitative and quantitative data derived from a program evaluation performed in year 2000. A feminist framework directs this research with findings suggesting that the DEP efforts had substantially decreased drug activity and crime in this research setting.",https://www.jstor.org/stable/43735980,Sociological Practice,10.2307_43735980,Sociology,2006.0,0,0.0001478332414990291,1,0.9998887777328491,0,0.010849977843463421
,,,Beyond Wives' Family Sociology: A Method for Analyzing Couple Data," In this paper, we examine the measurement properties and variable structure of wives' and husbands' reports of family life. We demonstrate the use of Jöreskog's (1973, 1977) maximum-likelihood methods to estimate measurement and structural parameters in a series of models of couple childbearing expectations. We find that wives' and husbands' responses about the utility of children are best represented by a model specifying wife's child utility to be distinct from husband's child utility. Contrary to our hypotheses, we find that wives and husbands are equally reliable reporters of this experience. ",https://www.jstor.org/stable/351459,Journal of Marriage and Family,10.2307_351459,Sociology,1982.0,0,3.6847253795713186e-05,1,0.8687165975570679,0,0.010096128098666668
,,,The National Rural Health Mission: A Critique,"The National Rural Health Mission (NRHM 2005–07) has been viewed as a holistic and democratic mission-mode state intervention in the field of health. It is based on innovative and comprehensive strategies for provisioning funds, creating new institutions, decentralisation of services, and providing new ideas and resources for health. Assuming the importance of NRHM in improving general health conditions and, in particular, improving infant mortality rate (IMR) and maternal mortality rate (MMR), the state has extended it till 2017. The Twelfth Five-Year Plan has also extended NRHM to urban poor, calling it a National Health Mission (NHM). This paper examines the goals and strategies of NRHM and discusses its strengths and weaknesses. It suggests that, to make health interventions effective, there is a need to strengthen the primary health care system in both rural and urban areas.",https://www.jstor.org/stable/24431852,Sociological Bulletin,10.2307_24431852,Sociology,2014.0,0,0.000651441456284374,1,0.9998160004615784,0,0.00025836064014583826
,,,The Early Parliamentary Elections of 1998: An Analysis of Voting Behaviour in Comparison to the Parliamentary Election of 1996,"The aim of the paper is to describe the voting behaviour of various social and demographic groups of voters in the early general election in 1998. It firstly compares the electorates of the left and of the non-left. Secondly it compares the electorate of particular left-wing parties (ČSSD and KSČM) and the electorate of particular non-left-wing parties (ODS, US, KDU-ČSL). Thirdly it focuses on the similarities and dissimilarities of ODS and ČSSD voters. In addition to this three levels of comparison it also deals with the changes in the voting behaviour between the 1996 and 1998 general elections. Finally it presents the profile of a typical voter of each of the parliamentary parties, e. g. ČSSD, ODS, KSČM, US and KDU-ČSL.",https://www.jstor.org/stable/41133145,Czech Sociological Review,10.2307_41133145,Sociology,2000.0,0,1.1248402188357431e-05,1,0.9997802376747131,0,0.037472259253263474
