stance twd. relt_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,"Liberty and Discipline: Making Sense of Postmodernity, or, Once Again, toward a Sociohistorical Understanding of Modernity",None,https://www.jstor.org/stable/657706,Theory and Society,10.2307_657706,Sociology,1992.0,1,0.9808930158615112,1,0.9999517202377319,0,0.0005169003852643073
,,,Beneficiary Attractiveness and Cost as Determinants of Responses to Routine Requests for Help,"An experiment was conducted to determine the effects of beneficiary attractiveness and cost on responses to a routine request for help. Subjects were almost twice as likely to promise to complete a questionnaire for a pleasant experimenter than for an unpleasant experimenter. This effect heald for both high and low cost requests. These results were contrasted with a number of previous studies which report failure to find a positive relationship between interpersonal attraction and helping. As expected, cost also affected compliance, with more subjects agreeing to complete a low cost questionnaire task; however, a predicted interaction between attractiveness, cost, and time between request and response was not confirmed. Only 28 percent of those who agreed to help actually completed the questionnaire.",https://www.jstor.org/stable/2786237,Sociometry,10.2307_2786237,Sociology,1975.0,0,3.929743616026826e-05,1,0.9998922348022461,0,0.014653571881353855
,,,WOMEN SHOULD SELL AND MEN MANAGE: JOB SEGREGATION BY GENDER IN A LARGE JAPANESE DEPARTMENT STORE,None,https://www.jstor.org/stable/43294402,Hitotsubashi Journal of Social Studies,10.2307_43294402,Sociology,1996.0,0,1.0887295502470806e-05,1,0.9999717473983765,1,0.999946117401123
,,,Cyberspace: Sociology's Natural Domain,None,https://www.jstor.org/stable/2655538,Contemporary Sociology,10.2307_2655538,Sociology,1999.0,0,0.0007642945856787264,1,0.997840404510498,0,0.0013966370606794953
,,,The Abortion Controversy: Conflicting Beliefs and Values in American Society,"This study examines the ideological and structural bases for attitudes and political action relating to abortion. Data on abortion attitudes from a random sample of ""Middletown"" in the fall of 1989 (N = 400) indicated that the strongest effects on abortion attitude stemmed from a belief that life begins at conception, a belief in privacy rights, and religion. Social traditionalism was also found to play an important role in a pro-life stand, but it was influential only for conservative Protestants and not for Catholics. A general commitment to avoid taking anyone's life was significantly related to abortion attitudes but only for Catholics. For political action, the data showed that the pro-life movement was still more important in 1989 than was the pro-choice movement. Party identification was not related to an expressed willingness to use abortion as a political litmus test, but attending pro-life churches did increase the likelihood that pro-life adherents would use abortion in making voting decisions.",https://www.jstor.org/stable/1386830,Journal for the Scientific Study of Religion,10.2307_1386830,Sociology,1992.0,0,0.0006480896845459938,1,0.9998990297317505,0,0.0019049810944125056
,,,The Early Parliamentary Elections of 1998: An Analysis of Voting Behaviour in Comparison to the Parliamentary Election of 1996,"The aim of the paper is to describe the voting behaviour of various social and demographic groups of voters in the early general election in 1998. It firstly compares the electorates of the left and of the non-left. Secondly it compares the electorate of particular left-wing parties (ČSSD and KSČM) and the electorate of particular non-left-wing parties (ODS, US, KDU-ČSL). Thirdly it focuses on the similarities and dissimilarities of ODS and ČSSD voters. In addition to this three levels of comparison it also deals with the changes in the voting behaviour between the 1996 and 1998 general elections. Finally it presents the profile of a typical voter of each of the parliamentary parties, e. g. ČSSD, ODS, KSČM, US and KDU-ČSL.",https://www.jstor.org/stable/41133145,Czech Sociological Review,10.2307_41133145,Sociology,2000.0,0,1.1248402188357431e-05,1,0.9997802376747131,0,0.037472259253263474
,,,Bringing Social Worlds Together: Computers as Catalysts for New Interactions in Health Care Organizations,"In this case study, computer systems are explored as catalysts for new interactions between departments in health care organizations. Hypotheses investigated changes in the extent to which members of different departments (1) exchange information and (2) understand each other's work following implementation of an integrated medical information system. Analyses showed that communication-based forms of involvement in implementation (communicating with systems personnel and trainers, communicating about new ways to use the system, and receiving support from supervisors for doing so) were overwhelmingly more important than either general participation or computer use in predicting increases in interdepartmental interaction. Changes in tasks and roles also led to new, informal, face-to-face contacts to support computer system use, as well as greater administrative control over the organization as a whole. In addition, results of interviews and observations over the two-year study period illustrate the importance of work group identification in predicting changes accompanying computerization.",https://www.jstor.org/stable/2137254,Journal of Health and Social Behavior,10.2307_2137254,Sociology,1992.0,0,2.6037261704914272e-05,1,0.9997524619102478,0,0.0008387314737774432
,,,"DEPENDENCY, REVOLUTION, AND SOCIOPOLITICAL CHANGE IN LATIN AMERICA : AN ATTEMPT AT NON-MARXIAN DIALECTICS","The recent proliferation of Latin American dependency paradigm proponents responds to the inadequacy of neoclassical gradualist or incrementalist theories to cope with increasing anomalies in the fields of economic, social, and political development. This paper analyzes the theoretical foundations ofneoclassicism, the rise and nature of dependency arguments, and speculation regarding the essence of the emerging whole in which both oppositesare reconciled. It examines comparative advantage, unequal exchange, and the role of ECLA within the Latin American context of the last quarter century. It also explores the initial impact of the New International Economic Order as a vehicle of socio economic and political change.",https://www.jstor.org/stable/41420867,International Review of Modern Sociology,10.2307_41420867,Sociology,1986.0,0,0.007126534357666969,1,0.9621525406837463,0,0.0004591494507621974
,,,ALTRUISM AND SOCIAL EXCHANGE THEORY: THE VICARIOUS REWARDS OF THE ALTRUIST,"The position is taken that the altruistic person who is giving a reward to another is in a one-up or dominating position. The person receiving the reward is in a submissive role by virtue of acceptance of the reward. They may even feel that the reward is a cost if they are unable to reciprocate. Equity may enter into the context as the target of the altruism seeks to reestablish balance. While altruistic behavior may not result in immediate reward on the part of the ""rewarder,"" there may be delayed or vicarious reward.",https://www.jstor.org/stable/23252591,Mid-American Review of Sociology,10.2307_23252591,Sociology,1981.0,1,0.9596002101898193,1,0.9999549388885498,0,0.0002742025535553694
,,,Silencing language: Of anthropologists and interpreters,"While the use of interpreters in fieldwork is far from marginal in anthropological practice, it has received curiously little attention in anthropological texts. On the basis of a review of what little has been written, and in consideration of some of the particularities of working with interpreters, the article argues that overlooking this theme has had two unfortunate consequences: concrete steps that can reduce the problems associated with interpreter use have not been discussed; and fundamental issues related to language competence have remained largely unexamined. The article argues that the silence regarding interpreter use is linked to the anthropologist's need for establishing authority and to the position that fieldwork has within the discipline.",https://www.jstor.org/stable/24047803,Ethnography,10.2307_24047803,Sociology,2003.0,0,0.0001737666898407042,1,0.9999381303787231,0,0.0026485868729650974
,,,"Max Weber, Parliamentarism and the Rhetorical Culture of Politics","In this article the concept of parliamentarism is extended to the concept of 'government by speaking' (Macaulay 1857), to a political form of rhetorical culture based on arguing for and against. Weber's relationship to parliamentarism is reassessed in this perspective. The first part deals with his 'parliamentary theory of knowledge', which refers to his view that the competition of perspectives is constitutive of the human sciences. In this sense the Weberian ideal of scientific practices resembles politics in its openness to change and re-valuation of controversy. In the second part Weber's critique of anti-parliamentarism is analysed as a rejection of political controversy and struggle. In the third part Weber's theory of knowledge serves as a point of departure for re-reading his late writings on suffrage, parliamentarism and politicians. The opposition between bureaucracy and politics in particular can be rendered more intelligible in terms of Weber's 'parliamentary theory of knowledge'.",https://www.jstor.org/stable/24579692,Max Weber Studies,10.2307_24579692,Sociology,2004.0,1,0.9995884299278259,1,0.9861477017402649,0,4.1439827327849343e-05
,,,Unmarried Cohabitation in Czechoslovakia,"Our paper tries to answer the question of whether there is or is not the phenomenon of unmarried cohabitation in Czechoslovakia. Despite the character of relevant demographic data (i.e. the relatively low mean age at first marriage, low proportion of children born out of wedlock and high nuptality rate) we argue that in terms of their trends they provide us with indication that there are more and more women and men for whom the traditional pattern of family formation does not hold any longer, and that living together unmarried as an early form of family life-course or as an alternative to previous experience with marriage is something that can be found in Czechoslovakia. To support our hypothesis we conducted two surveys among partners applying for marriage licenses in 1985 and 1990. Results showed that 31 % and 37 % of couples contracting their first marriage lived together in 1985 and 1990, respectively. The proportion of cohabitants among couples contracting a second or third marriage was 73 % and 77 %. Our conclusion is that unmarried cohabitation in Czechoslovakia does exist. It is not of a Scandinavian type, however. We call it ""engaged cohabitation"", which is oriented toward marriage.",https://www.jstor.org/stable/41133198,Czechoslovak Sociological Review,10.2307_41133198,Sociology,1992.0,0,1.4141080100671388e-05,1,0.9988527297973633,1,0.520933210849762
,,,"""Happier than Non-Christians"": Collective Emotions and Symbolic Boundaries among Evangelical Christians","This article uses qualitative data (participant-observation and interviews) to examine happiness talk in a university-based evangelical Christian organization (University Unity). Unity Christians claim that they are happier than non-Christians, but rather than viewing their happiness as a mental health outcome of their participation in a religious organization, I view it as a cultural phenomenon--a way of talking and thinking about their emotions. I show how Unity participants learn to think of themselves as happy, learn to adjust their emotional responses and view their managed emotions as authentic, and learn to link happiness to their moral selves. Unity's emotion work helps participants achieve happiness, but because it also disallows any negative emotions, such happiness is compulsory. One cannot be a Unity Christian if one is not happy. In Unity, then, happiness is a symbolic boundary--participants see themselves as happier (and more authentically so) than others--but this feeling is also material in the crafting of more complex moral boundaries in which happiness is both sign and cause of other kinds of ""goodness."" Happiness is an effective boundary not just because Unity Christians themselves want to be happy, but because most members of the middle class want to be happy, and because it builds on broader associations between happiness and morality. Inasmuch as happiness signals morality, unhappiness signals immorality.",https://www.jstor.org/stable/20141841,Social Psychology Quarterly,10.2307_20141841,Sociology,2008.0,0,0.10503178089857101,1,0.9983273148536682,0,0.0029940686654299498
,,,Age Strata Differences in Utilization of Health Care Services among Adults in the United States,"Differences in access to and use of physicians, hospitals and dentists were examined for three age strata (young adults, aged 18-44; middle-aged adults, aged 45-64; and older adults, aged 65 or more) using data from the 1975 Health Interview Survey (N = 142,431). Use of physicians and hospitals was greatest among the older adults and lowest among the younger adults, while the opposite was true of dentist utilization. Although illness level was the best predictor of use of physicians in all three strata, other specific predictors that emerged included sex and education among young adults; family income among the middle-aged; and private insurance coverage among older adults. Illness level was the best predictor of hospital utilization in all three strata although sex was also a significant predictor among the young adults. Dentist utilization was affected most strongly by sex, race, the education among the young adults; by education and family income among the middle-aged; and by age, education, and family income among the older adults.",https://www.jstor.org/stable/20831316,Sociological Focus,10.2307_20831316,Sociology,1984.0,0,1.0439135621709283e-05,1,0.9998346567153931,1,0.9581493139266968
,,,RACIAL DIFFERENCES IN ATTITUDES TOWARD MARRIAGE AND UNWED CHILDBEARING,"Illegitimacy rates are higher among blacks than whites in part because of differences in propensity to marry after a nonmarital conception. It has been suggested that blacks are less committed to marital childbearing and have less reason and desire to marry whether unwed mothers or not. These propositions are tested by comparing lower-income black and white women on a number of attitudinal items. Although little racial difference is found in commitment to legitimacy in terms of right or wrong behavior, the blacks show less preference for marital childbearing, less preference for marriage generally, and a more negative assessment of the behavior of husbands in a number of marriage-relevant areas. It is suggested that these attitudes, not just lack of opportunity for marriage, are operative in the pattern of nonmarriage or delay of marriage.",https://www.jstor.org/stable/23027857,International Journal of Sociology of the Family,10.2307_23027857,Sociology,1975.0,0,1.3529086572816595e-05,1,0.9996306896209717,0,0.1468089520931244
,,,Beyond Educational Inequality in Czechoslovakia,"This paper addresses questions of the applicability of the meritocratic thesis to the explanation of educational inequality in Czechoslovakia. I defend the hypothesis that ""non-meritocratic"" or even ""anti-meritocratic"" processes might have generated patterns of social fluidity almost identical to those based on meritocratic selection. The arguments backing this thesis come from comparative research in educational mobility and inequality, and from the first wave of the longitudinal survey ""Family 1989"" started in Czechoslovakia in January 1989, almost a year before the November revolution. This survey, among other things, dealt with strategies for life success among teenagers and their parents. A ""non-meritocratic"" hypothesis is discussed, which might explain the relatively strong direct effect of social background on educational attainment in Czechoslovakia and other socialist countries. The hypothesis is based on Bourdieu's concept of ""social capital"". It argues that, because of bureaucratic rules applied in admission policy, the spontaneous tendency of higher social strata to use their ""social capital"" and to pass on social advantages to their offspring in socialist countries seems to be less restricted by meritocratic competition than in advanced capitalist countries. Some preliminary results from the survey ""Family 1989"" show that this hypothesis might be plausible.",https://www.jstor.org/stable/41133194,Czechoslovak Sociological Review,10.2307_41133194,Sociology,1992.0,0,1.0586924872768577e-05,0,0.0028606008272618055,1,0.9991191029548645
,,,Family Context and Spanish-Language Use: A Study of Latino Children in the United States,"Objective. This article seeks to explain why Latino children maintain some knowledge of their native language even though past research has consistently supported the view that non-English-language use rarely lasts past the third generation. I argue that family context, in addition to assimilation characteristics, plays an important role in determining their language situation. Method. I use both logistic regression and tobit regression, as well as data from the 1988 National Education Longitudinal Study, to examine the use and proficiency of Spanish among Latino children. Results. The results demonstrate that language and family context strongly influence Spanish usage and proficiency for Latino children, regardless of generational status. Conclusions. These findings reveal a relationship between assimilation, family, and language that can have important implications for the future academic and economic success of Latino children.",https://www.jstor.org/stable/42956083,Social Science Quarterly,10.2307_42956083,Sociology,2005.0,0,3.9685037336312234e-05,0,0.00021784580894745886,0,0.1369961053133011
,,,Non-Convention Beliefs: Their Structure and Measurement,"This study explores the structure and measurement of non-convention religious beliefs. Items were written so as to represent systematically major classifications of the domain, and compiled with Law's (1974) Inventory of Personal Beliefs, which covered Christian Beliefs together with Ways to Live (derived from Morris, 1956). One hundred and eighty subjects, representing selected criterion groups, completed the resulting inventory; factor analyses of the responses to each of the three item sets produced five Non-Conventional Beliefs factors, three Christian Beliefs factors; and five Ways to Live factors. In view of the necessity of understanding the structure of religious beliefs and measuring the major variables as an important preliminary step in the psychology of religion, we submit that the Non-Conventional Beliefs items form a worthwhile addition to the Inventory of Personal Beliefs, making it a useful tool for further research in this area.",https://www.jstor.org/stable/1385501,Journal for the Scientific Study of Religion,10.2307_1385501,Sociology,1982.0,0,5.184323890716769e-05,0,0.00018305038975086063,0,0.0006382001447491348
,,,Uneven Development and National Income Inequality in Third World Countries: A Cross-National Study of the Effects of External Economic Dependency,"This article examines the extent to which Third World nations' dependent position in the world economy contributes to intercountry differences in income inequality. International economic dependence is measured using investment dependence -- the penetration of a country by foreign capital, commodity production concentration, and the degree to which a country relies on particular markets for its imports and exports. It is hypothesized that the effect of dependency on inequality is mediated by its effect on the uneven development of the productive capacities of a nation. Level of development is included as a control variable in the analysis. The results of a cross-sectional regression analysis indicate that dependency is related to uneven development, which in turn is associated with level of national income inequality.",https://www.jstor.org/stable/1389091,Sociological Perspectives,10.2307_1389091,Sociology,1983.0,0,8.161892765201628e-06,0,0.005627224687486887,0,0.005117170512676239
